time,low,high,open,close,volume
2022-11-19 15:33:00,0.534,0.535,0.534,0.535,17.58
2022-11-19 15:37:00,0.536,0.536,0.536,0.536,33.46
2022-11-19 15:38:00,0.537,0.538,0.537,0.538,2951.0
2022-11-19 15:41:00,0.536,0.537,0.536,0.537,134.79
2022-11-19 15:44:00,0.536,0.537,0.537,0.536,522.88
2022-11-19 15:48:00,0.538,0.538,0.538,0.538,631.96
2022-11-19 15:49:00,0.538,0.538,0.538,0.538,413.92
2022-11-19 15:52:00,0.537,0.538,0.537,0.538,111.01
2022-11-19 15:57:00,0.536,0.537,0.536,0.537,28.77
2022-11-19 16:01:00,0.536,0.537,0.537,0.536,47.51
2022-11-19 16:03:00,0.537,0.537,0.537,0.537,44.09
2022-11-19 16:05:00,0.536,0.538,0.538,0.536,397.13
2022-11-19 16:11:00,0.536,0.538,0.538,0.536,11.25
2022-11-19 16:33:00,0.537,0.539,0.537,0.538,78.44
2022-11-19 16:36:00,0.539,0.539,0.539,0.539,2043.72
2022-11-19 16:39:00,0.538,0.539,0.539,0.538,33.43
2022-11-19 16:44:00,0.538,0.539,0.539,0.538,197.15
2022-11-19 16:51:00,0.538,0.539,0.538,0.539,4431.23
2022-11-19 16:52:00,0.539,0.539,0.539,0.539,4.32
2022-11-19 16:53:00,0.54,0.543,0.54,0.543,9393.88
2022-11-19 16:54:00,0.541,0.543,0.542,0.542,2831.92
2022-11-19 16:55:00,0.54,0.54,0.54,0.54,500.0
2022-11-19 16:56:00,0.537,0.538,0.538,0.538,3913.35
2022-11-19 16:57:00,0.536,0.537,0.537,0.536,1144.22
2022-11-19 16:58:00,0.535,0.536,0.536,0.536,1161.92
2022-11-19 17:00:00,0.537,0.538,0.537,0.538,593.7
2022-11-19 17:06:00,0.536,0.538,0.538,0.536,212.05
2022-11-19 17:07:00,0.538,0.538,0.538,0.538,380.76
2022-11-19 17:13:00,0.537,0.539,0.539,0.537,1641.68
2022-11-19 17:21:00,0.536,0.537,0.537,0.536,108.19
2022-11-19 17:25:00,0.534,0.535,0.535,0.534,65.59
2022-11-19 17:30:00,0.535,0.536,0.535,0.535,80.77
2022-11-19 17:39:00,0.535,0.535,0.535,0.535,115.56
2022-11-19 17:50:00,0.535,0.535,0.535,0.535,133.41
2022-11-19 18:04:00,0.535,0.536,0.536,0.535,18.53
2022-11-19 18:25:00,0.536,0.537,0.536,0.537,39.52
2022-11-19 18:33:00,0.537,0.538,0.537,0.538,188.6
2022-11-19 18:43:00,0.538,0.538,0.538,0.538,21.05
2022-11-19 18:46:00,0.537,0.538,0.538,0.537,67.7
2022-11-19 18:54:00,0.538,0.538,0.538,0.538,16.44
2022-11-19 19:08:00,0.537,0.537,0.537,0.537,3.13
