time,low,high,open,close,volume
2022-11-19 14:34:00,0.1095,0.1098,0.1096,0.1095,1996.6
2022-11-19 14:35:00,0.1095,0.1097,0.1095,0.1096,1551.4
2022-11-19 14:39:00,0.1091,0.1095,0.1092,0.1095,3608.5
2022-11-19 14:43:00,0.1087,0.1092,0.109,0.1088,2040.6
2022-11-19 14:44:00,0.109,0.109,0.109,0.109,200.0
2022-11-19 14:45:00,0.1089,0.1091,0.1089,0.1091,600.0
2022-11-19 14:54:00,0.1098,0.1101,0.1101,0.1098,3434.0
2022-11-19 14:59:00,0.1094,0.1096,0.1094,0.1096,400.0
2022-11-19 15:02:00,0.1092,0.1097,0.1096,0.1094,2778.3
2022-11-19 15:05:00,0.109,0.1093,0.109,0.1093,218.6
2022-11-19 15:06:00,0.1094,0.1094,0.1094,0.1094,800.0
2022-11-19 15:10:00,0.1091,0.1091,0.1091,0.1091,1000.0
2022-11-19 15:13:00,0.1089,0.1095,0.109,0.1095,1563.4
2022-11-19 15:15:00,0.1096,0.1096,0.1096,0.1096,200.0
2022-11-19 15:18:00,0.1091,0.1094,0.1094,0.1091,4135.5
2022-11-19 15:25:00,0.109,0.1092,0.1092,0.109,400.0
2022-11-19 15:32:00,0.1093,0.1095,0.1095,0.1093,201.0
2022-11-19 16:00:00,0.1091,0.1093,0.1093,0.1091,403.6
2022-11-19 16:02:00,0.1093,0.1093,0.1093,0.1093,200.0
2022-11-19 16:08:00,0.1087,0.1091,0.1087,0.1091,1763.3
2022-11-19 16:14:00,0.1089,0.1089,0.1089,0.1089,2152.0
2022-11-19 16:22:00,0.1094,0.1096,0.1094,0.1096,9933.2
2022-11-19 16:26:00,0.1089,0.1093,0.109,0.1089,7420.1
2022-11-19 16:49:00,0.1098,0.1102,0.1098,0.1102,4396.9
2022-11-19 16:51:00,0.1106,0.1118,0.1106,0.1118,1448.2
2022-11-19 16:52:00,0.1115,0.1124,0.1121,0.1122,9736.9
2022-11-19 16:53:00,0.1122,0.1135,0.1122,0.113,5381.6
2022-11-19 16:54:00,0.1129,0.114,0.1129,0.1139,6250.3
2022-11-19 16:55:00,0.1123,0.1138,0.1137,0.1137,27050.5
2022-11-19 16:56:00,0.1112,0.1125,0.1122,0.1125,18679.3
2022-11-19 16:57:00,0.1108,0.1124,0.1123,0.1108,683.5
2022-11-19 16:58:00,0.1115,0.1122,0.112,0.1115,7059.1
2022-11-19 16:59:00,0.111,0.1139,0.1115,0.1115,36921.7
2022-11-19 17:00:00,0.111,0.1137,0.1123,0.1113,7800.4
2022-11-19 17:01:00,0.1095,0.1111,0.1111,0.1107,13155.0
2022-11-19 17:02:00,0.1105,0.1106,0.1105,0.1106,865.3
2022-11-19 17:03:00,0.1096,0.111,0.1102,0.1096,14066.8
2022-11-19 17:05:00,0.1089,0.1096,0.1096,0.109,27030.8
2022-11-19 17:07:00,0.109,0.1099,0.1099,0.109,1576.1
2022-11-19 17:14:00,0.1087,0.109,0.109,0.1087,1963.5
