time,low,high,open,close,volume
2022-11-19 14:45:00,16.88,17.01,16.92,16.88,80.1015
2022-11-19 15:14:00,16.95,16.98,16.98,16.95,7.4191
2022-11-19 15:19:00,16.98,16.98,16.98,16.98,0.0589
2022-11-19 15:21:00,16.99,17.03,16.99,17.03,3.3425
2022-11-19 15:41:00,16.97,17.05,17.04,16.97,6.8386
2022-11-19 15:48:00,17.06,17.08,17.06,17.08,0.8267
2022-11-19 15:51:00,17.06,17.11,17.09,17.06,9.647
2022-11-19 16:04:00,17.03,17.09,17.04,17.09,2.631
2022-11-19 16:36:00,17.05,17.1,17.06,17.1,6.4741
2022-11-19 16:40:00,17.12,17.18,17.12,17.18,12.398
2022-11-19 16:43:00,17.02,17.13,17.13,17.02,9.5027
2022-11-19 16:50:00,17.1,17.14,17.1,17.13,5.0119
2022-11-19 16:58:00,17.13,17.16,17.13,17.16,2.3016
2022-11-19 17:00:00,17.06,17.06,17.06,17.06,0.7534
2022-11-19 17:01:00,16.86,17.12,17.04,16.86,152.6139
2022-11-19 17:05:00,17.02,17.15,17.06,17.02,7.6424
2022-11-19 17:12:00,16.87,17.01,17.01,16.89,48.5799
2022-11-19 17:13:00,16.96,16.98,16.96,16.98,37.3311
2022-11-19 17:14:00,16.95,16.98,16.95,16.98,1.402
2022-11-19 17:15:00,16.94,16.98,16.94,16.98,13.1615
2022-11-19 17:16:00,16.97,16.98,16.97,16.98,2.3268
2022-11-19 17:20:00,16.89,16.92,16.92,16.89,1.2791
2022-11-19 17:25:00,16.94,16.97,16.97,16.95,8.6281
2022-11-19 17:28:00,16.86,16.91,16.87,16.9,3.0133
2022-11-19 17:36:00,16.83,16.9,16.86,16.9,10.3767
2022-11-19 17:51:00,16.9,16.94,16.9,16.94,13.4563
2022-11-19 18:11:00,16.93,16.93,16.93,16.93,6.5543
2022-11-19 18:15:00,16.89,16.89,16.89,16.89,0.4
2022-11-19 18:20:00,16.9,16.93,16.9,16.92,13.849
2022-11-19 18:32:00,16.76,16.92,16.92,16.76,102.8509
2022-11-19 19:00:00,16.83,16.84,16.84,16.83,6.002
2022-11-19 19:03:00,16.84,16.89,16.86,16.84,13.5247
2022-11-19 19:07:00,16.84,16.88,16.84,16.88,4.4264
2022-11-19 19:12:00,16.87,16.87,16.87,16.87,0.9351
2022-11-19 19:15:00,16.88,16.89,16.88,16.89,12.0102
2022-11-19 19:16:00,16.89,16.89,16.89,16.89,2.1468
2022-11-19 19:31:00,16.89,16.95,16.89,16.95,118.6229
2022-11-19 19:36:00,16.87,16.87,16.87,16.87,2.0
2022-11-19 19:38:00,16.77,16.87,16.87,16.77,143.9515
2022-11-19 19:43:00,16.79,16.87,16.81,16.87,7.647
2022-11-19 19:47:00,16.81,16.88,16.81,16.88,3.8398
2022-11-19 19:48:00,16.8,16.85,16.84,16.8,2.3524
2022-11-19 19:52:00,16.79,16.8,16.8,16.79,1.3977
2022-11-19 19:57:00,16.81,16.81,16.81,16.81,1.9688
2022-11-19 20:03:00,16.66,16.81,16.81,16.66,56.0644
2022-11-19 20:05:00,16.74,16.8,16.74,16.8,9.9257
2022-11-19 20:11:00,16.75,16.94,16.78,16.94,42.6827
2022-11-19 20:13:00,16.85,16.87,16.87,16.85,0.7953
2022-11-19 20:16:00,16.84,16.89,16.84,16.89,0.86
2022-11-19 20:20:00,16.83,16.85,16.85,16.83,2.9909
2022-11-19 20:22:00,16.88,16.89,16.89,16.88,1.0966
2022-11-19 20:25:00,16.72,16.85,16.85,16.83,31.0782
2022-11-19 20:30:00,16.57,16.83,16.83,16.82,84.9439
2022-11-19 20:31:00,16.82,16.85,16.82,16.85,12.5697
2022-11-19 20:36:00,16.77,16.95,16.82,16.77,102.7449
2022-11-19 20:45:00,16.8,16.85,16.84,16.8,1.4245
2022-11-19 20:50:00,16.81,16.85,16.85,16.81,1.3989
