time,low,high,open,close,volume
2022-12-28 18:19:00,3.633,3.635,3.633,3.635,404.68
2022-12-28 18:20:00,3.635,3.635,3.635,3.635,1.38
2022-12-28 18:22:00,3.634,3.635,3.634,3.634,292.12
2022-12-28 18:24:00,3.635,3.635,3.635,3.635,40.68
2022-12-28 18:25:00,3.637,3.638,3.637,3.638,200.27
2022-12-28 18:26:00,3.638,3.638,3.638,3.638,3.53
2022-12-28 18:27:00,3.638,3.639,3.638,3.639,19.46
2022-12-28 18:29:00,3.636,3.639,3.637,3.639,317.66
2022-12-28 18:36:00,3.637,3.637,3.637,3.637,0.08
2022-12-28 18:37:00,3.636,3.639,3.636,3.639,1063.93
2022-12-28 18:38:00,3.642,3.645,3.642,3.645,211.17
2022-12-28 18:39:00,3.642,3.645,3.643,3.643,4.48
2022-12-28 18:40:00,3.643,3.646,3.645,3.646,15.37
2022-12-28 18:41:00,3.644,3.645,3.644,3.645,36.45
2022-12-28 18:42:00,3.643,3.643,3.643,3.643,1.05
2022-12-28 18:43:00,3.642,3.643,3.642,3.643,17.65
2022-12-28 18:45:00,3.645,3.646,3.645,3.646,77.08
2022-12-28 18:47:00,3.642,3.643,3.643,3.642,726.56
2022-12-28 18:48:00,3.638,3.64,3.639,3.638,482.74
2022-12-28 18:49:00,3.639,3.64,3.639,3.64,7.95
2022-12-28 18:50:00,3.639,3.642,3.639,3.642,82.4
2022-12-28 18:51:00,3.638,3.64,3.638,3.64,1.16
2022-12-28 18:52:00,3.638,3.639,3.639,3.638,58.55
2022-12-28 18:53:00,3.637,3.638,3.638,3.637,224.18
2022-12-28 18:54:00,3.639,3.64,3.64,3.64,3.26
2022-12-28 18:56:00,3.641,3.641,3.641,3.641,3.67
2022-12-28 18:57:00,3.639,3.642,3.64,3.639,25.42
2022-12-28 18:58:00,3.639,3.642,3.639,3.642,146.93
2022-12-28 18:59:00,3.639,3.641,3.641,3.639,133.22
2022-12-28 19:01:00,3.641,3.641,3.641,3.641,28.42
2022-12-28 19:03:00,3.641,3.642,3.641,3.642,5.62
2022-12-28 19:07:00,3.639,3.639,3.639,3.639,82.42
2022-12-28 19:08:00,3.638,3.64,3.64,3.638,192.84
2022-12-28 19:10:00,3.638,3.638,3.638,3.638,10.0
2022-12-28 19:11:00,3.636,3.638,3.636,3.638,49.89
2022-12-28 19:15:00,3.637,3.641,3.64,3.638,3014.22
2022-12-28 19:16:00,3.637,3.638,3.638,3.637,101.49
2022-12-28 19:17:00,3.637,3.637,3.637,3.637,55.02
2022-12-28 19:18:00,3.638,3.64,3.639,3.64,79.67
2022-12-28 19:19:00,3.637,3.637,3.637,3.637,651.32
2022-12-28 19:22:00,3.638,3.639,3.639,3.639,36.21
2022-12-28 19:24:00,3.632,3.637,3.637,3.632,2373.67
2022-12-28 19:25:00,3.631,3.631,3.631,3.631,0.67
2022-12-28 19:26:00,3.629,3.63,3.629,3.63,551.08
2022-12-28 19:27:00,3.63,3.632,3.63,3.632,260.66
2022-12-28 19:29:00,3.628,3.632,3.632,3.628,8.65
2022-12-28 19:30:00,3.628,3.628,3.628,3.628,0.49
2022-12-28 19:33:00,3.628,3.631,3.628,3.631,5.22
2022-12-28 19:35:00,3.627,3.63,3.63,3.629,159.61
2022-12-28 19:36:00,3.624,3.625,3.625,3.624,17.6
2022-12-28 19:38:00,3.627,3.627,3.627,3.627,6.65
2022-12-28 19:39:00,3.626,3.627,3.627,3.626,278.29
2022-12-28 19:41:00,3.623,3.625,3.625,3.623,608.71
2022-12-28 19:44:00,3.623,3.627,3.625,3.623,1695.65
2022-12-28 19:45:00,3.624,3.627,3.627,3.624,7.32
2022-12-28 19:49:00,3.625,3.629,3.625,3.629,652.78
2022-12-28 19:51:00,3.625,3.629,3.629,3.625,53.93
2022-12-28 19:52:00,3.622,3.625,3.624,3.622,1112.73
2022-12-28 19:54:00,3.624,3.632,3.624,3.631,8946.38
2022-12-28 19:55:00,3.632,3.635,3.632,3.635,488.64
2022-12-28 19:56:00,3.635,3.641,3.635,3.64,1662.36
2022-12-28 19:57:00,3.641,3.647,3.641,3.641,6201.05
2022-12-28 19:59:00,3.64,3.643,3.643,3.643,757.04
2022-12-28 20:01:00,3.641,3.642,3.642,3.641,72.05
2022-12-28 20:02:00,3.638,3.641,3.641,3.638,1377.36
2022-12-28 20:03:00,3.636,3.637,3.637,3.637,171.12
2022-12-28 20:06:00,3.637,3.637,3.637,3.637,27.78
2022-12-28 20:07:00,3.638,3.638,3.638,3.638,2.11
2022-12-28 20:08:00,3.639,3.639,3.639,3.639,27.93
2022-12-28 20:10:00,3.636,3.638,3.638,3.638,427.06
2022-12-28 20:11:00,3.634,3.635,3.635,3.634,612.51
2022-12-28 20:12:00,3.634,3.636,3.634,3.636,117.49
2022-12-28 20:13:00,3.634,3.635,3.634,3.635,44.31
2022-12-28 20:15:00,3.632,3.636,3.636,3.634,1611.94
2022-12-28 20:16:00,3.634,3.638,3.634,3.638,154.16
2022-12-28 20:18:00,3.638,3.644,3.638,3.642,8528.2
2022-12-28 20:21:00,3.639,3.64,3.64,3.639,20.1
2022-12-28 20:23:00,3.637,3.641,3.637,3.641,2184.65
2022-12-28 20:24:00,3.639,3.643,3.64,3.641,1179.46
2022-12-28 20:25:00,3.639,3.644,3.642,3.642,3915.41
2022-12-28 20:26:00,3.64,3.644,3.642,3.641,1191.92
2022-12-28 20:28:00,3.632,3.64,3.64,3.634,2646.17
2022-12-28 20:30:00,3.636,3.641,3.636,3.641,821.75
2022-12-28 20:31:00,3.637,3.647,3.642,3.637,2732.56
2022-12-28 20:32:00,3.634,3.645,3.634,3.643,295.37
2022-12-28 20:34:00,3.641,3.643,3.643,3.641,97.15
2022-12-28 20:36:00,3.641,3.643,3.641,3.643,214.88
2022-12-28 20:37:00,3.64,3.642,3.64,3.642,7.76
2022-12-28 20:39:00,3.641,3.643,3.641,3.643,60.93
2022-12-28 20:41:00,3.642,3.644,3.642,3.644,1.4
2022-12-28 20:42:00,3.641,3.641,3.641,3.641,1.37
2022-12-28 20:43:00,3.642,3.643,3.643,3.642,19.19
2022-12-28 20:44:00,3.639,3.642,3.642,3.639,1.98
2022-12-28 20:46:00,3.64,3.641,3.641,3.64,135.96
2022-12-28 20:47:00,3.641,3.648,3.641,3.646,2029.82
2022-12-28 20:48:00,3.646,3.652,3.646,3.652,1581.87
2022-12-28 20:49:00,3.651,3.654,3.653,3.653,1066.51
2022-12-28 20:52:00,3.652,3.66,3.654,3.659,3909.75
2022-12-28 20:53:00,3.653,3.664,3.658,3.661,11421.8
2022-12-28 20:54:00,3.655,3.66,3.66,3.655,1125.86
2022-12-28 20:55:00,3.655,3.657,3.655,3.656,4.72
2022-12-28 20:57:00,3.652,3.656,3.655,3.652,1639.03
2022-12-28 21:00:00,3.651,3.656,3.651,3.656,269.51
2022-12-28 21:01:00,3.655,3.657,3.655,3.657,107.35
2022-12-28 21:03:00,3.656,3.66,3.658,3.656,202.84
2022-12-28 21:04:00,3.653,3.655,3.655,3.654,166.81
2022-12-28 21:05:00,3.656,3.662,3.656,3.662,710.87
2022-12-28 21:06:00,3.656,3.658,3.656,3.658,15.08
2022-12-28 21:07:00,3.657,3.658,3.658,3.657,141.22
2022-12-28 21:08:00,3.655,3.659,3.656,3.659,380.97
2022-12-28 21:09:00,3.66,3.662,3.661,3.66,160.03
2022-12-28 21:11:00,3.66,3.665,3.664,3.66,16.92
2022-12-28 21:12:00,3.66,3.66,3.66,3.66,20.91
2022-12-28 21:14:00,3.657,3.659,3.659,3.657,687.95
2022-12-28 21:15:00,3.647,3.655,3.655,3.649,5787.79
2022-12-28 21:17:00,3.644,3.649,3.648,3.644,159.63
2022-12-28 21:20:00,3.644,3.646,3.644,3.646,81.95
2022-12-28 21:21:00,3.643,3.643,3.643,3.643,39.01
2022-12-28 21:22:00,3.64,3.642,3.642,3.64,1064.46
2022-12-28 21:23:00,3.638,3.642,3.642,3.638,114.63
2022-12-28 21:25:00,3.616,3.634,3.634,3.616,1986.33
2022-12-28 21:26:00,3.601,3.621,3.619,3.601,2623.44
2022-12-28 21:27:00,3.611,3.623,3.611,3.623,2202.29
2022-12-28 21:28:00,3.622,3.626,3.622,3.626,1010.93
2022-12-28 21:30:00,3.624,3.629,3.624,3.629,67.49
2022-12-28 21:32:00,3.611,3.617,3.617,3.611,104.59
2022-12-28 21:34:00,3.61,3.619,3.61,3.619,1.68
2022-12-28 21:37:00,3.614,3.615,3.614,3.615,93.15
2022-12-28 21:39:00,3.614,3.617,3.617,3.614,8.51
2022-12-28 21:41:00,3.61,3.613,3.61,3.613,77.72
2022-12-28 21:42:00,3.616,3.616,3.616,3.616,0.54
2022-12-28 21:43:00,3.613,3.616,3.614,3.616,69.31
2022-12-28 21:45:00,3.614,3.619,3.617,3.619,126.37
2022-12-28 21:46:00,3.617,3.617,3.617,3.617,2.44
2022-12-28 21:47:00,3.622,3.624,3.622,3.624,2.33
2022-12-28 21:48:00,3.621,3.623,3.621,3.623,100.41
2022-12-28 21:50:00,3.619,3.619,3.619,3.619,0.7
2022-12-28 21:51:00,3.617,3.621,3.621,3.617,4030.07
2022-12-28 21:52:00,3.617,3.619,3.617,3.619,20.18
2022-12-28 21:53:00,3.614,3.616,3.616,3.616,719.86
2022-12-28 21:57:00,3.616,3.619,3.617,3.616,382.64
2022-12-28 21:58:00,3.618,3.618,3.618,3.618,55.83
2022-12-28 21:59:00,3.618,3.62,3.62,3.618,37.23
2022-12-28 22:00:00,3.613,3.616,3.616,3.613,736.35
2022-12-28 22:01:00,3.615,3.616,3.616,3.615,5.37
2022-12-28 22:02:00,3.61,3.61,3.61,3.61,4856.09
2022-12-28 22:03:00,3.604,3.61,3.61,3.607,10537.75
2022-12-28 22:04:00,3.609,3.61,3.609,3.61,2.94
2022-12-28 22:05:00,3.61,3.612,3.612,3.61,1299.12
2022-12-28 22:06:00,3.607,3.607,3.607,3.607,51.22
2022-12-28 22:07:00,3.606,3.61,3.606,3.61,231.58
2022-12-28 22:10:00,3.611,3.612,3.611,3.612,650.37
2022-12-28 22:12:00,3.611,3.614,3.611,3.614,60.64
2022-12-28 22:14:00,3.612,3.612,3.612,3.612,17.97
2022-12-28 22:15:00,3.611,3.614,3.612,3.614,179.4
2022-12-28 22:18:00,3.612,3.618,3.613,3.618,701.85
2022-12-28 22:19:00,3.617,3.622,3.622,3.617,105.04
2022-12-28 22:20:00,3.616,3.619,3.618,3.616,509.66
2022-12-28 22:21:00,3.616,3.616,3.616,3.616,55.19
2022-12-28 22:23:00,3.619,3.621,3.619,3.621,51.8
2022-12-28 22:25:00,3.619,3.62,3.619,3.62,218.79
2022-12-28 22:27:00,3.617,3.617,3.617,3.617,0.11
2022-12-28 22:28:00,3.618,3.62,3.62,3.62,1368.58
2022-12-28 22:29:00,3.615,3.62,3.616,3.62,1056.81
2022-12-28 22:31:00,3.624,3.624,3.624,3.624,365.25
2022-12-28 22:32:00,3.623,3.624,3.623,3.623,129.79
2022-12-28 22:33:00,3.621,3.624,3.624,3.621,21.62
2022-12-28 22:36:00,3.618,3.624,3.624,3.618,47.1
2022-12-28 22:37:00,3.618,3.62,3.618,3.619,30.76
2022-12-28 22:39:00,3.617,3.617,3.617,3.617,29.03
2022-12-28 22:41:00,3.618,3.619,3.619,3.618,17.96
2022-12-28 22:43:00,3.618,3.622,3.618,3.622,278.83
2022-12-28 22:44:00,3.622,3.626,3.622,3.623,184.55
2022-12-28 22:48:00,3.625,3.629,3.626,3.629,332.43
2022-12-28 22:49:00,3.631,3.631,3.631,3.631,84.89
2022-12-28 22:50:00,3.632,3.632,3.632,3.632,15.62
2022-12-28 22:52:00,3.629,3.629,3.629,3.629,14.11
2022-12-28 22:53:00,3.627,3.627,3.627,3.627,19.27
2022-12-28 22:54:00,3.623,3.626,3.625,3.623,30.1
2022-12-28 22:56:00,3.616,3.625,3.625,3.618,10033.05
2022-12-28 22:59:00,3.617,3.624,3.617,3.624,36.7
2022-12-28 23:01:00,3.62,3.623,3.623,3.62,70.69
2022-12-28 23:02:00,3.616,3.623,3.616,3.623,293.81
2022-12-28 23:03:00,3.618,3.619,3.619,3.618,27.6
2022-12-28 23:04:00,3.619,3.622,3.622,3.619,297.14
2022-12-28 23:06:00,3.62,3.622,3.62,3.622,274.87
2022-12-28 23:07:00,3.624,3.669,3.624,3.644,16219.97
2022-12-28 23:08:00,3.643,3.654,3.643,3.651,1488.95
2022-12-28 23:09:00,3.646,3.652,3.647,3.652,4340.36
2022-12-28 23:10:00,3.646,3.652,3.652,3.646,3091.54
2022-12-28 23:11:00,3.645,3.645,3.645,3.645,642.03
2022-12-28 23:12:00,3.645,3.646,3.646,3.645,101.59
2022-12-28 23:14:00,3.639,3.641,3.639,3.64,204.19
2022-12-28 23:16:00,3.633,3.639,3.639,3.633,345.04
2022-12-28 23:17:00,3.63,3.634,3.631,3.632,1089.99
2022-12-28 23:18:00,3.628,3.632,3.63,3.632,1103.96
2022-12-28 23:19:00,3.633,3.633,3.633,3.633,44.6
2022-12-28 23:20:00,3.627,3.633,3.633,3.627,1366.33
2022-12-28 23:21:00,3.623,3.63,3.623,3.629,751.67
