time,low,high,open,close,volume
2022-11-19 15:37:00,1.419,1.42,1.419,1.419,930.56
2022-11-19 15:43:00,1.418,1.419,1.418,1.419,14.31
2022-11-19 15:53:00,1.417,1.417,1.417,1.417,421.62
2022-11-19 15:56:00,1.417,1.418,1.418,1.417,923.32
2022-11-19 15:59:00,1.417,1.418,1.417,1.418,1436.77
2022-11-19 16:00:00,1.418,1.418,1.418,1.418,3.08
2022-11-19 16:01:00,1.418,1.421,1.418,1.421,548.2
2022-11-19 16:04:00,1.422,1.423,1.422,1.423,195.5
2022-11-19 16:08:00,1.422,1.425,1.423,1.422,3933.02
2022-11-19 16:15:00,1.423,1.424,1.423,1.424,818.18
2022-11-19 16:18:00,1.422,1.423,1.422,1.423,400.0
2022-11-19 16:20:00,1.422,1.422,1.422,1.422,0.49
2022-11-19 16:23:00,1.425,1.425,1.425,1.425,181.95
2022-11-19 16:27:00,1.426,1.43,1.426,1.427,5093.28
2022-11-19 16:30:00,1.429,1.429,1.429,1.429,339.62
2022-11-19 16:33:00,1.427,1.428,1.428,1.427,785.67
2022-11-19 16:39:00,1.427,1.427,1.427,1.427,67.59
2022-11-19 16:54:00,1.428,1.431,1.428,1.431,250.06
2022-11-19 16:55:00,1.429,1.43,1.429,1.43,244.32
2022-11-19 17:02:00,1.426,1.43,1.43,1.426,122.26
2022-11-19 17:26:00,1.423,1.424,1.423,1.424,221.79
2022-11-19 17:27:00,1.422,1.423,1.423,1.422,45.58
2022-11-19 17:33:00,1.418,1.421,1.421,1.418,67.49
2022-11-19 17:37:00,1.419,1.419,1.419,1.419,0.7
2022-11-19 17:59:00,1.417,1.417,1.417,1.417,19.58
2022-11-19 18:04:00,1.413,1.415,1.415,1.413,123.2
2022-11-19 18:07:00,1.415,1.417,1.415,1.417,254.27
2022-11-19 18:11:00,1.414,1.416,1.416,1.416,295.76
2022-11-19 18:25:00,1.415,1.416,1.415,1.416,461.15
2022-11-19 18:41:00,1.416,1.421,1.416,1.421,3.0
2022-11-19 18:49:00,1.42,1.42,1.42,1.42,421.43
2022-11-19 18:53:00,1.419,1.42,1.419,1.42,32.98
2022-11-19 18:57:00,1.419,1.419,1.419,1.419,0.78
2022-11-19 19:12:00,1.418,1.419,1.418,1.419,32.98
2022-11-19 19:27:00,1.418,1.421,1.418,1.421,521.62
2022-11-19 19:28:00,1.419,1.422,1.422,1.419,269.5
2022-11-19 19:40:00,1.418,1.421,1.421,1.418,175.9
2022-11-19 20:02:00,1.417,1.418,1.417,1.418,528.45
2022-11-19 20:19:00,1.416,1.417,1.417,1.416,90.97
2022-11-19 20:28:00,1.418,1.418,1.418,1.418,421.62
2022-11-19 20:34:00,1.417,1.417,1.417,1.417,364.48
2022-11-19 21:08:00,1.415,1.418,1.415,1.418,21.91
2022-11-19 21:12:00,1.416,1.416,1.416,1.416,15.43
2022-11-19 21:16:00,1.418,1.418,1.418,1.418,42.19
2022-11-19 21:20:00,1.42,1.42,1.42,1.42,84.38
2022-11-19 21:33:00,1.421,1.423,1.421,1.423,590.67
2022-11-19 21:36:00,1.421,1.423,1.421,1.423,322.63
2022-11-19 21:41:00,1.424,1.425,1.425,1.424,165.27
2022-11-19 21:51:00,1.426,1.426,1.426,1.426,184.26
2022-11-19 21:55:00,1.425,1.425,1.425,1.425,1035.11
2022-11-19 22:00:00,1.426,1.428,1.427,1.426,354.56
2022-11-19 22:11:00,1.43,1.43,1.43,1.43,19.58
2022-11-19 22:12:00,1.431,1.432,1.432,1.431,189.87
2022-11-19 22:25:00,1.433,1.435,1.433,1.435,52.03
2022-11-19 22:26:00,1.436,1.438,1.436,1.438,107.24
2022-11-19 22:27:00,1.439,1.44,1.439,1.44,767.49
2022-11-19 22:28:00,1.441,1.444,1.442,1.441,586.32
2022-11-19 22:40:00,1.441,1.442,1.441,1.442,19.66
2022-11-19 22:44:00,1.437,1.438,1.438,1.437,427.34
2022-11-19 22:46:00,1.436,1.438,1.438,1.436,42.03
2022-11-19 22:49:00,1.434,1.434,1.434,1.434,34.84
2022-11-19 22:59:00,1.434,1.435,1.434,1.435,990.47
2022-11-19 23:03:00,1.436,1.438,1.436,1.438,178.52
2022-11-19 23:11:00,1.436,1.438,1.438,1.436,273.0
2022-11-19 23:17:00,1.435,1.436,1.435,1.436,51.13
2022-11-19 23:26:00,1.435,1.435,1.435,1.435,2.08
2022-11-19 23:27:00,1.433,1.434,1.434,1.433,433.53
2022-11-19 23:28:00,1.43,1.432,1.432,1.43,154.81
2022-11-19 23:34:00,1.427,1.429,1.429,1.427,38.85
2022-11-19 23:36:00,1.424,1.426,1.426,1.425,831.89
2022-11-19 23:38:00,1.428,1.428,1.428,1.428,0.46
2022-11-19 23:39:00,1.429,1.429,1.429,1.429,431.61
2022-11-19 23:47:00,1.432,1.432,1.432,1.432,421.65
2022-11-19 23:51:00,1.432,1.434,1.433,1.434,812.88
2022-11-20 00:00:00,1.434,1.436,1.434,1.436,7.64
2022-11-20 00:04:00,1.434,1.434,1.434,1.434,739.94
2022-11-20 00:10:00,1.43,1.433,1.433,1.43,498.07
2022-11-20 00:14:00,1.424,1.424,1.424,1.424,13.9
2022-11-20 00:15:00,1.424,1.424,1.424,1.424,428.93
2022-11-20 00:30:00,1.426,1.428,1.426,1.427,850.19
2022-11-20 00:33:00,1.426,1.428,1.428,1.426,13.92
2022-11-20 00:39:00,1.429,1.429,1.429,1.429,19.76
2022-11-20 00:42:00,1.427,1.428,1.428,1.427,28.7
2022-11-20 00:53:00,1.429,1.43,1.43,1.429,847.47
2022-11-20 01:00:00,1.431,1.437,1.431,1.437,448.71
2022-11-20 01:02:00,1.437,1.439,1.437,1.439,13.54
2022-11-20 01:06:00,1.428,1.435,1.435,1.428,422.62
