time,low,high,open,close,volume
2023-01-27 17:51:00,1.654,1.657,1.654,1.657,608.34
2023-01-27 17:53:00,1.657,1.658,1.658,1.658,42.15
2023-01-27 17:56:00,1.654,1.659,1.659,1.654,452.9
2023-01-27 18:03:00,1.653,1.659,1.654,1.659,513.41
2023-01-27 18:16:00,1.655,1.659,1.655,1.659,11.36
2023-01-27 18:28:00,1.652,1.656,1.652,1.656,438.91
2023-01-27 18:32:00,1.655,1.658,1.658,1.655,74.78
2023-01-27 18:36:00,1.659,1.661,1.659,1.661,55.09
2023-01-27 18:38:00,1.661,1.661,1.661,1.661,20.0
2023-01-27 18:42:00,1.66,1.662,1.66,1.662,23.41
2023-01-27 18:44:00,1.659,1.662,1.662,1.659,1076.99
2023-01-27 19:00:00,1.661,1.663,1.661,1.663,15.2
2023-01-27 19:12:00,1.664,1.664,1.664,1.664,2105.31
2023-01-27 19:19:00,1.664,1.664,1.664,1.664,103.75
2023-01-27 19:21:00,1.665,1.666,1.665,1.666,497.71
2023-01-27 19:22:00,1.664,1.664,1.664,1.664,84.4
2023-01-27 19:31:00,1.666,1.667,1.666,1.667,79.49
2023-01-27 19:35:00,1.667,1.669,1.667,1.669,120.48
2023-01-27 19:39:00,1.669,1.67,1.669,1.67,20.0
2023-01-27 19:41:00,1.669,1.671,1.671,1.671,966.97
2023-01-27 19:53:00,1.664,1.668,1.668,1.664,1044.29
2023-01-27 20:01:00,1.672,1.675,1.672,1.675,634.58
2023-01-27 20:05:00,1.672,1.672,1.672,1.672,66.36
2023-01-27 20:07:00,1.666,1.674,1.674,1.666,18.32
2023-01-27 20:38:00,1.665,1.667,1.666,1.665,369.36
2023-01-27 20:44:00,1.662,1.663,1.662,1.663,33.95
2023-01-27 20:45:00,1.653,1.663,1.663,1.653,248.08
2023-01-27 20:46:00,1.646,1.653,1.653,1.649,383.17
2023-01-27 20:48:00,1.651,1.656,1.652,1.656,258.36
2023-01-27 20:51:00,1.649,1.66,1.659,1.649,218.23
2023-01-27 20:57:00,1.644,1.648,1.645,1.648,707.52
2023-01-27 21:05:00,1.653,1.657,1.653,1.657,256.4
2023-01-27 21:07:00,1.652,1.656,1.656,1.652,646.7
2023-01-27 21:09:00,1.652,1.658,1.652,1.658,44.25
2023-01-27 21:20:00,1.652,1.657,1.652,1.657,120.07
2023-01-27 21:23:00,1.659,1.659,1.659,1.659,3.0
2023-01-27 21:27:00,1.655,1.658,1.658,1.655,26.26
2023-01-27 21:40:00,1.654,1.662,1.661,1.654,854.38
2023-01-27 21:53:00,1.653,1.654,1.653,1.654,43.47
2023-01-27 21:55:00,1.65,1.651,1.651,1.65,781.82
2023-01-27 21:57:00,1.647,1.649,1.649,1.647,3954.56
2023-01-27 21:58:00,1.649,1.653,1.649,1.653,26.97
2023-01-27 22:02:00,1.645,1.65,1.65,1.645,618.13
2023-01-27 22:05:00,1.643,1.644,1.644,1.643,64.15
2023-01-27 22:06:00,1.641,1.642,1.642,1.641,1079.9
2023-01-27 22:09:00,1.636,1.64,1.64,1.636,190.86
2023-01-27 22:10:00,1.634,1.647,1.635,1.647,170.0
2023-01-27 22:42:00,1.652,1.653,1.652,1.653,472.0
2023-01-27 22:49:00,1.646,1.649,1.646,1.649,65.71
2023-01-27 23:02:00,1.645,1.646,1.646,1.645,39.17
2023-01-27 23:08:00,1.632,1.643,1.643,1.632,2083.76
2023-01-27 23:10:00,1.632,1.639,1.632,1.639,25.14
2023-01-27 23:20:00,1.641,1.642,1.641,1.642,1905.64
2023-01-27 23:31:00,1.641,1.643,1.641,1.643,76.05
2023-01-27 23:52:00,1.641,1.641,1.641,1.641,122.36
2023-01-27 23:53:00,1.64,1.641,1.641,1.64,37.08
2023-01-27 23:55:00,1.639,1.652,1.641,1.652,2010.2
2023-01-28 00:04:00,1.652,1.653,1.653,1.652,70.31
2023-01-28 00:12:00,1.65,1.653,1.65,1.653,122.92
2023-01-28 00:18:00,1.653,1.655,1.653,1.655,879.91
2023-01-28 00:21:00,1.655,1.657,1.657,1.655,1015.16
2023-01-28 00:24:00,1.653,1.662,1.658,1.662,2876.88
2023-01-28 00:31:00,1.657,1.659,1.659,1.657,335.65
2023-01-28 00:36:00,1.661,1.661,1.661,1.661,31.12
2023-01-28 00:39:00,1.659,1.66,1.66,1.659,55.24
2023-01-28 00:47:00,1.657,1.658,1.658,1.657,326.18
2023-01-28 00:56:00,1.664,1.665,1.665,1.664,40.66
2023-01-28 00:57:00,1.666,1.666,1.666,1.666,88.53
2023-01-28 01:00:00,1.667,1.669,1.667,1.669,54.98
2023-01-28 01:02:00,1.664,1.672,1.669,1.664,311.32
2023-01-28 01:18:00,1.658,1.664,1.664,1.658,25.37
2023-01-28 01:26:00,1.655,1.658,1.658,1.655,454.0
2023-01-28 01:34:00,1.654,1.655,1.654,1.654,153.65
2023-01-28 01:58:00,1.648,1.65,1.65,1.648,60.9
2023-01-28 02:00:00,1.648,1.648,1.648,1.648,18.82
2023-01-28 02:05:00,1.649,1.652,1.649,1.652,14.71
2023-01-28 02:10:00,1.651,1.652,1.652,1.651,17.18
2023-01-28 02:21:00,1.645,1.65,1.65,1.645,130.15
2023-01-28 02:22:00,1.64,1.643,1.642,1.643,133.44
2023-01-28 02:28:00,1.642,1.642,1.642,1.642,50.49
2023-01-28 02:35:00,1.644,1.646,1.646,1.644,66.05
2023-01-28 02:51:00,1.645,1.645,1.645,1.645,42.89
2023-01-28 02:58:00,1.633,1.638,1.638,1.633,909.26
2023-01-28 03:09:00,1.636,1.636,1.636,1.636,383.89
2023-01-28 03:11:00,1.633,1.636,1.633,1.633,41.07
2023-01-28 03:15:00,1.633,1.633,1.633,1.633,61.79
2023-01-28 03:46:00,1.638,1.641,1.638,1.641,552.0
2023-01-28 03:58:00,1.641,1.642,1.642,1.641,780.47
2023-01-28 04:03:00,1.643,1.644,1.643,1.644,32.15
2023-01-28 04:19:00,1.643,1.643,1.643,1.643,1.97
2023-01-28 04:20:00,1.641,1.641,1.641,1.641,1000.0
2023-01-28 04:23:00,1.641,1.644,1.641,1.644,623.63
2023-01-28 04:27:00,1.644,1.644,1.644,1.644,374.2
2023-01-28 04:37:00,1.644,1.645,1.645,1.644,555.39
2023-01-28 04:53:00,1.643,1.644,1.644,1.643,331.94
2023-01-28 04:54:00,1.643,1.649,1.646,1.649,1409.7
2023-01-28 05:22:00,1.641,1.645,1.645,1.641,3.65
2023-01-28 05:37:00,1.638,1.643,1.638,1.643,107.42
2023-01-28 05:47:00,1.642,1.643,1.642,1.643,290.86
2023-01-28 06:00:00,1.642,1.652,1.642,1.652,685.14
2023-01-28 06:25:00,1.634,1.639,1.639,1.634,139.84
2023-01-28 06:28:00,1.634,1.638,1.638,1.634,12.32
2023-01-28 06:30:00,1.632,1.636,1.632,1.636,45.38
