time,low,high,open,close,volume
2022-11-19 15:20:00,0.48,0.48,0.48,0.48,6.09
2022-11-19 15:28:00,0.48,0.48,0.48,0.48,205.61
2022-11-19 15:51:00,0.48,0.484,0.48,0.484,23.36
2022-11-19 15:56:00,0.48,0.481,0.481,0.48,297.0
2022-11-19 15:57:00,0.48,0.48,0.48,0.48,195.0
2022-11-19 16:02:00,0.481,0.485,0.484,0.481,285.61
2022-11-19 16:03:00,0.48,0.482,0.48,0.481,742.0
2022-11-19 16:17:00,0.48,0.481,0.481,0.48,333.0
2022-11-19 16:25:00,0.481,0.481,0.481,0.481,232.0
2022-11-19 16:35:00,0.481,0.481,0.481,0.481,329.06
2022-11-19 17:05:00,0.481,0.481,0.481,0.481,19.55
2022-11-19 17:06:00,0.481,0.481,0.481,0.481,194.38
2022-11-19 17:51:00,0.479,0.483,0.481,0.481,2335.97
2022-11-19 17:54:00,0.479,0.481,0.481,0.479,292.75
2022-11-19 17:59:00,0.48,0.48,0.48,0.48,103.11
2022-11-19 18:04:00,0.48,0.482,0.48,0.482,29.98
2022-11-19 18:15:00,0.48,0.481,0.481,0.48,285.53
2022-11-19 18:19:00,0.483,0.484,0.483,0.484,506.34
2022-11-19 18:21:00,0.481,0.481,0.481,0.481,75.4
2022-11-19 18:27:00,0.48,0.48,0.48,0.48,148.43
2022-11-19 18:32:00,0.48,0.48,0.48,0.48,59.0
2022-11-19 18:47:00,0.479,0.483,0.483,0.479,308.31
2022-11-19 18:48:00,0.479,0.479,0.479,0.479,73.0
2022-11-19 18:51:00,0.479,0.48,0.48,0.479,193.0
2022-11-19 18:57:00,0.48,0.48,0.48,0.48,94.64
2022-11-19 19:06:00,0.481,0.484,0.483,0.481,67.97
2022-11-19 19:14:00,0.48,0.483,0.48,0.482,156.48
2022-11-19 19:26:00,0.482,0.484,0.483,0.482,623.08
2022-11-19 19:48:00,0.478,0.483,0.48,0.483,1796.19
2022-11-19 19:52:00,0.478,0.484,0.483,0.478,228.6
2022-11-19 20:19:00,0.477,0.479,0.479,0.477,1850.8
2022-11-19 20:23:00,0.479,0.479,0.479,0.479,21.32
2022-11-19 20:42:00,0.478,0.483,0.482,0.478,472.94
2022-11-19 21:30:00,0.467,0.478,0.477,0.478,16050.86
2022-11-19 21:31:00,0.474,0.479,0.474,0.479,16051.76
2022-11-19 21:38:00,0.476,0.477,0.477,0.476,145.9
2022-11-19 21:40:00,0.478,0.479,0.478,0.479,35.25
2022-11-19 21:58:00,0.474,0.479,0.479,0.474,1607.87
2022-11-19 22:23:00,0.474,0.477,0.477,0.474,243.59
2022-11-19 22:45:00,0.471,0.472,0.471,0.472,235.33
2022-11-19 22:47:00,0.472,0.473,0.472,0.473,243.0
2022-11-19 22:48:00,0.473,0.473,0.473,0.473,262.71
2022-11-19 23:01:00,0.473,0.473,0.473,0.473,166.98
2022-11-19 23:03:00,0.473,0.474,0.473,0.473,752.54
2022-11-19 23:22:00,0.469,0.469,0.469,0.469,9.41
2022-11-19 23:28:00,0.473,0.473,0.473,0.473,10.22
2022-11-19 23:29:00,0.469,0.474,0.473,0.469,862.18
2022-11-19 23:34:00,0.473,0.473,0.473,0.473,1256.78
2022-11-19 23:41:00,0.472,0.478,0.478,0.472,720.15
2022-11-19 23:48:00,0.475,0.476,0.475,0.476,1406.21
2022-11-20 00:16:00,0.479,0.479,0.479,0.479,1329.36
2022-11-20 00:39:00,0.479,0.479,0.479,0.479,722.46
2022-11-20 00:40:00,0.476,0.48,0.48,0.476,138.05
2022-11-20 01:07:00,0.475,0.476,0.476,0.475,59.32
2022-11-20 01:09:00,0.475,0.476,0.476,0.475,155.0
2022-11-20 01:10:00,0.476,0.476,0.476,0.476,237.0
2022-11-20 01:19:00,0.476,0.476,0.476,0.476,95.0
2022-11-20 01:35:00,0.476,0.476,0.476,0.476,87.0
2022-11-20 01:40:00,0.475,0.48,0.476,0.475,2161.95
2022-11-20 01:44:00,0.475,0.475,0.475,0.475,506.0
2022-11-20 01:45:00,0.475,0.478,0.475,0.475,303.65
2022-11-20 01:57:00,0.474,0.474,0.474,0.474,6.3
2022-11-20 02:03:00,0.472,0.474,0.474,0.472,6254.95
2022-11-20 02:06:00,0.469,0.471,0.471,0.469,2103.83
2022-11-20 02:16:00,0.469,0.47,0.47,0.469,2098.56
2022-11-20 02:19:00,0.466,0.47,0.47,0.466,3154.85
2022-11-20 02:23:00,0.462,0.472,0.471,0.469,7616.97
2022-11-20 02:28:00,0.464,0.468,0.464,0.468,500.21
2022-11-20 02:30:00,0.467,0.47,0.467,0.47,118.39
2022-11-20 02:35:00,0.46,0.464,0.464,0.46,3208.1
2022-11-20 02:38:00,0.458,0.466,0.461,0.466,2179.52
2022-11-20 02:45:00,0.458,0.464,0.461,0.463,1313.23
2022-11-20 02:56:00,0.459,0.462,0.462,0.459,312.56
2022-11-20 03:04:00,0.46,0.462,0.462,0.46,671.89
2022-11-20 03:08:00,0.459,0.463,0.462,0.463,846.1
2022-11-20 03:09:00,0.462,0.462,0.462,0.462,49.93
2022-11-20 03:12:00,0.459,0.462,0.459,0.462,464.08
2022-11-20 03:42:00,0.468,0.468,0.468,0.468,434.09
2022-11-20 03:55:00,0.463,0.463,0.463,0.463,0.88
2022-11-20 04:03:00,0.467,0.468,0.468,0.467,525.85
2022-11-20 04:19:00,0.465,0.468,0.467,0.465,737.61
2022-11-20 04:25:00,0.465,0.467,0.465,0.467,319.57
2022-11-20 04:28:00,0.467,0.468,0.468,0.467,0.5
2022-11-20 04:29:00,0.467,0.467,0.467,0.467,0.55
2022-11-20 04:30:00,0.467,0.468,0.468,0.467,0.7
2022-11-20 04:32:00,0.467,0.467,0.467,0.467,7.77
2022-11-20 04:34:00,0.467,0.468,0.467,0.468,8.03
2022-11-20 04:58:00,0.464,0.467,0.464,0.467,15.5
2022-11-20 05:31:00,0.467,0.468,0.468,0.468,1481.91
2022-11-20 05:35:00,0.466,0.472,0.472,0.466,11.95
2022-11-20 05:40:00,0.466,0.466,0.466,0.466,1.55
2022-11-20 06:19:00,0.464,0.466,0.466,0.464,185.86
2022-11-20 06:21:00,0.458,0.465,0.465,0.465,20299.87
2022-11-20 06:37:00,0.458,0.465,0.465,0.458,174.55
2022-11-20 06:53:00,0.463,0.464,0.463,0.464,633.97
2022-11-20 06:59:00,0.465,0.465,0.465,0.465,963.19
2022-11-20 07:10:00,0.461,0.465,0.461,0.465,54.52
2022-11-20 07:42:00,0.465,0.465,0.465,0.465,20.96
2022-11-20 08:00:00,0.461,0.464,0.462,0.461,256.22
2022-11-20 08:16:00,0.461,0.464,0.463,0.461,542.48
2022-11-20 08:19:00,0.459,0.462,0.462,0.459,2013.74
2022-11-20 08:44:00,0.463,0.464,0.463,0.464,262.0
2022-11-20 08:49:00,0.462,0.464,0.462,0.464,51.87
2022-11-20 08:57:00,0.462,0.465,0.462,0.465,66.94
2022-11-20 09:16:00,0.462,0.462,0.462,0.462,12.56
2022-11-20 09:42:00,0.463,0.465,0.465,0.463,1111.43
2022-11-20 10:01:00,0.461,0.466,0.462,0.465,1578.86
2022-11-20 10:05:00,0.465,0.469,0.465,0.466,5348.79
2022-11-20 10:17:00,0.46,0.465,0.461,0.46,1584.87
2022-11-20 10:20:00,0.46,0.461,0.46,0.461,275.0
2022-11-20 10:22:00,0.46,0.465,0.461,0.46,3011.36
2022-11-20 10:25:00,0.458,0.465,0.46,0.458,4470.43
2022-11-20 10:30:00,0.453,0.458,0.458,0.458,2478.09
2022-11-20 10:33:00,0.454,0.459,0.454,0.459,534.65
2022-11-20 10:37:00,0.454,0.458,0.454,0.458,59.18
2022-11-20 10:46:00,0.458,0.459,0.458,0.459,154.57
2022-11-20 10:55:00,0.453,0.455,0.454,0.454,245.36
2022-11-20 10:57:00,0.453,0.455,0.455,0.453,1483.0
2022-11-20 11:13:00,0.456,0.459,0.456,0.459,776.37
2022-11-20 11:22:00,0.452,0.458,0.457,0.452,1288.32
2022-11-20 11:35:00,0.452,0.453,0.452,0.452,1872.46
2022-11-20 11:37:00,0.452,0.452,0.452,0.452,318.49
