time,low,high,open,close,volume
2023-01-27 18:48:00,0.5871,0.5873,0.5873,0.5871,171.82
2023-01-27 19:18:00,0.5847,0.5849,0.5849,0.5847,2024.37
2023-01-27 19:31:00,0.5847,0.5847,0.5847,0.5847,10.53
2023-01-27 19:33:00,0.5847,0.5848,0.5847,0.5848,109.4
2023-01-27 19:36:00,0.5847,0.5849,0.5849,0.5847,950.14
2023-01-27 19:42:00,0.5847,0.5847,0.5847,0.5847,996.57
2023-01-27 19:46:00,0.5837,0.5847,0.5846,0.5837,5344.83
2023-01-27 19:47:00,0.5837,0.5847,0.5847,0.5845,5526.91
2023-01-27 19:48:00,0.5844,0.586,0.5845,0.586,845.58
2023-01-27 19:55:00,0.5853,0.5855,0.5853,0.5855,111.84
2023-01-27 20:15:00,0.5861,0.5861,0.5861,0.5861,645.84
2023-01-27 20:37:00,0.5868,0.5871,0.5868,0.5871,1782.94
2023-01-27 20:41:00,0.5871,0.5871,0.5871,0.5871,719.55
2023-01-27 20:53:00,0.584,0.5848,0.5848,0.584,590.07
2023-01-27 20:57:00,0.584,0.5854,0.584,0.5854,514.61
2023-01-27 20:58:00,0.5852,0.5862,0.586,0.5852,299.38
2023-01-27 21:04:00,0.586,0.5861,0.586,0.5861,273.67
2023-01-27 21:28:00,0.5851,0.5853,0.5853,0.5851,167.0
2023-01-27 21:33:00,0.5841,0.5847,0.5841,0.5847,192.51
2023-01-27 21:40:00,0.5841,0.5854,0.5847,0.5841,1542.71
2023-01-27 22:21:00,0.5841,0.5856,0.5841,0.5856,131.04
2023-01-27 22:28:00,0.584,0.5876,0.5844,0.5876,1427.25
2023-01-27 22:35:00,0.5862,0.5868,0.5867,0.5862,918.12
2023-01-27 22:38:00,0.5859,0.5861,0.5861,0.5859,369.77
2023-01-27 22:42:00,0.5859,0.586,0.5859,0.586,481.02
2023-01-27 23:19:00,0.5839,0.5869,0.5853,0.5869,10748.87
2023-01-27 23:21:00,0.5855,0.5878,0.5869,0.5855,3451.6
2023-01-27 23:29:00,0.5862,0.5868,0.5868,0.5862,3.5
2023-01-28 00:03:00,0.5863,0.5999,0.5863,0.5865,16871.63
2023-01-28 00:05:00,0.5865,0.5928,0.5865,0.587,16554.31
2023-01-28 00:06:00,0.5863,0.5863,0.5863,0.5863,501.69
2023-01-28 00:18:00,0.5846,0.585,0.585,0.5846,2715.13
2023-01-28 00:24:00,0.5854,0.5867,0.5863,0.5854,2675.99
2023-01-28 00:39:00,0.5854,0.5864,0.5854,0.5864,48.69
2023-01-28 01:01:00,0.5864,0.5864,0.5864,0.5864,15.21
2023-01-28 01:03:00,0.585,0.5865,0.585,0.5865,24.49
2023-01-28 01:16:00,0.5849,0.5864,0.585,0.5864,314.38
2023-01-28 01:58:00,0.5866,0.5866,0.5866,0.5866,61.32
2023-01-28 02:00:00,0.5866,0.5866,0.5866,0.5866,26.5
2023-01-28 02:02:00,0.5866,0.5866,0.5866,0.5866,18.8
2023-01-28 02:06:00,0.586,0.586,0.586,0.586,5.18
2023-01-28 02:18:00,0.586,0.5869,0.5869,0.586,18.58
2023-01-28 02:34:00,0.586,0.5867,0.586,0.5867,97.05
2023-01-28 02:42:00,0.586,0.5887,0.586,0.5885,1201.31
2023-01-28 03:24:00,0.5883,0.5885,0.5885,0.5883,58.43
2023-01-28 03:26:00,0.5869,0.5882,0.5869,0.5882,47.06
2023-01-28 03:47:00,0.5883,0.5883,0.5883,0.5883,0.41
2023-01-28 03:48:00,0.586,0.5883,0.587,0.5883,2593.18
2023-01-28 04:01:00,0.5872,0.5872,0.5872,0.5872,1.7
2023-01-28 04:14:00,0.5876,0.5894,0.5876,0.5894,66.8
2023-01-28 04:18:00,0.5893,0.5893,0.5893,0.5893,78.51
2023-01-28 04:19:00,0.5868,0.5893,0.5893,0.5868,3.73
