time,low,high,open,close,volume
2022-11-19 15:55:00,0.884,0.886,0.884,0.884,537.1
2022-11-19 15:57:00,0.883,0.884,0.884,0.883,20.04
2022-11-19 15:58:00,0.883,0.883,0.883,0.883,39.96
2022-11-19 15:59:00,0.883,0.883,0.883,0.883,14.5
2022-11-19 16:00:00,0.884,0.884,0.884,0.884,0.01
2022-11-19 16:01:00,0.883,0.884,0.883,0.884,15.95
2022-11-19 16:03:00,0.883,0.887,0.884,0.883,188.32
2022-11-19 16:04:00,0.884,0.884,0.884,0.884,12.73
2022-11-19 16:06:00,0.884,0.884,0.884,0.884,15.58
2022-11-19 16:08:00,0.885,0.89,0.885,0.887,143.17
2022-11-19 16:09:00,0.889,0.89,0.889,0.889,512.83
2022-11-19 16:10:00,0.889,0.89,0.89,0.889,79.15
2022-11-19 16:12:00,0.889,0.891,0.889,0.891,41.98
2022-11-19 16:13:00,0.889,0.889,0.889,0.889,14.69
2022-11-19 16:15:00,0.889,0.889,0.889,0.889,12.5
2022-11-19 16:16:00,0.891,0.891,0.891,0.891,10.06
2022-11-19 16:17:00,0.889,0.889,0.889,0.889,14.77
2022-11-19 16:19:00,0.889,0.891,0.891,0.889,20.8
2022-11-19 16:20:00,0.889,0.889,0.889,0.889,20.65
2022-11-19 16:21:00,0.889,0.891,0.889,0.891,21.01
2022-11-19 16:22:00,0.889,0.889,0.889,0.889,13.89
2022-11-19 16:24:00,0.889,0.889,0.889,0.889,12.32
2022-11-19 16:26:00,0.889,0.889,0.889,0.889,14.23
2022-11-19 16:28:00,0.889,0.891,0.889,0.889,14.02
2022-11-19 16:30:00,0.889,0.889,0.889,0.889,12.63
2022-11-19 16:31:00,0.889,0.891,0.891,0.889,46.17
2022-11-19 16:33:00,0.889,0.889,0.889,0.889,13.05
2022-11-19 16:35:00,0.889,0.889,0.889,0.889,13.39
2022-11-19 16:37:00,0.889,0.889,0.889,0.889,15.26
2022-11-19 16:39:00,0.889,0.89,0.89,0.889,15.77
2022-11-19 16:40:00,0.89,0.891,0.891,0.89,14.5
2022-11-19 16:41:00,0.889,0.889,0.889,0.889,7.7
2022-11-19 16:42:00,0.89,0.89,0.89,0.89,6.71
2022-11-19 16:43:00,0.89,0.89,0.89,0.89,6.74
2022-11-19 16:45:00,0.889,0.889,0.889,0.889,14.73
2022-11-19 16:47:00,0.889,0.889,0.889,0.889,13.63
2022-11-19 16:48:00,0.891,0.891,0.891,0.891,26.0
2022-11-19 16:49:00,0.89,0.89,0.89,0.89,14.96
2022-11-19 16:50:00,0.89,0.891,0.891,0.89,11.36
2022-11-19 16:52:00,0.889,0.89,0.89,0.889,13.15
2022-11-19 16:54:00,0.89,0.892,0.892,0.89,22.75
2022-11-19 16:55:00,0.89,0.89,0.89,0.89,5.86
2022-11-19 16:56:00,0.889,0.89,0.89,0.889,14.59
2022-11-19 16:58:00,0.889,0.889,0.889,0.889,13.59
2022-11-19 17:00:00,0.889,0.889,0.889,0.889,12.96
2022-11-19 17:02:00,0.889,0.896,0.889,0.892,1263.77
2022-11-19 17:04:00,0.892,0.893,0.893,0.892,15.51
2022-11-19 17:06:00,0.893,0.893,0.893,0.893,13.51
2022-11-19 17:08:00,0.892,0.893,0.892,0.893,12.09
2022-11-19 17:10:00,0.892,0.893,0.893,0.892,14.55
2022-11-19 17:12:00,0.892,0.893,0.893,0.892,13.83
2022-11-19 17:14:00,0.893,0.895,0.893,0.893,22.15
2022-11-19 17:16:00,0.892,0.892,0.892,0.892,13.51
2022-11-19 17:17:00,0.893,0.893,0.893,0.893,8.08
2022-11-19 17:18:00,0.893,0.893,0.893,0.893,7.17
2022-11-19 17:19:00,0.892,0.892,0.892,0.892,15.23
2022-11-19 17:21:00,0.892,0.895,0.893,0.892,131.91
2022-11-19 17:23:00,0.892,0.894,0.894,0.893,30.3
2022-11-19 17:25:00,0.892,0.892,0.892,0.892,15.16
2022-11-19 17:27:00,0.892,0.892,0.892,0.892,7.97
2022-11-19 17:28:00,0.892,0.893,0.892,0.893,16.56
2022-11-19 17:29:00,0.892,0.892,0.892,0.892,6.56
2022-11-19 17:30:00,0.892,0.892,0.892,0.892,14.77
2022-11-19 17:32:00,0.891,0.891,0.891,0.891,7.15
2022-11-19 17:33:00,0.891,0.891,0.891,0.891,13.88
2022-11-19 17:35:00,0.892,0.894,0.892,0.894,15.78
