time,low,high,open,close,volume
2022-12-28 18:26:00,0.874,0.883,0.874,0.883,442.7
2022-12-28 18:44:00,0.877,0.878,0.877,0.878,24.48
2022-12-28 18:56:00,0.876,0.879,0.878,0.876,46.54
2022-12-28 18:58:00,0.877,0.879,0.877,0.879,42.95
2022-12-28 19:12:00,0.876,0.877,0.877,0.876,277.7
2022-12-28 19:23:00,0.874,0.874,0.874,0.874,5.07
2022-12-28 19:46:00,0.871,0.875,0.875,0.871,13.69
2022-12-28 19:59:00,0.87,0.871,0.871,0.87,459.54
2022-12-28 20:11:00,0.866,0.867,0.867,0.866,115.54
2022-12-28 20:27:00,0.868,0.868,0.868,0.868,37.46
2022-12-28 20:52:00,0.857,0.866,0.866,0.862,4112.22
2022-12-28 21:02:00,0.857,0.862,0.862,0.857,78.1
2022-12-28 21:10:00,0.861,0.862,0.861,0.862,5823.52
2022-12-28 21:28:00,0.864,0.865,0.864,0.865,111.04
2022-12-28 21:32:00,0.86,0.863,0.863,0.86,60.95
2022-12-28 21:55:00,0.858,0.858,0.858,0.858,5.0
2022-12-28 22:03:00,0.861,0.861,0.861,0.861,2.93
2022-12-28 22:19:00,0.856,0.86,0.857,0.859,151.4
2022-12-28 22:43:00,0.86,0.863,0.862,0.86,150.16
2022-12-28 22:48:00,0.861,0.862,0.862,0.861,40.57
2022-12-28 22:53:00,0.86,0.86,0.86,0.86,0.75
2022-12-28 23:55:00,0.856,0.861,0.861,0.856,134.38
2022-12-28 23:57:00,0.852,0.857,0.857,0.853,3050.32
2022-12-29 00:00:00,0.853,0.856,0.854,0.856,138.01
2022-12-29 00:03:00,0.855,0.857,0.855,0.855,75.76
2022-12-29 00:08:00,0.852,0.852,0.852,0.852,102.82
2022-12-29 00:12:00,0.852,0.852,0.852,0.852,44.81
2022-12-29 00:20:00,0.852,0.854,0.853,0.854,36.03
2022-12-29 00:24:00,0.857,0.859,0.857,0.858,994.67
2022-12-29 00:29:00,0.855,0.856,0.856,0.855,65.01
2022-12-29 00:32:00,0.852,0.855,0.853,0.854,73.72
2022-12-29 00:37:00,0.852,0.853,0.853,0.852,65.46
2022-12-29 00:41:00,0.849,0.853,0.853,0.849,43.13
2022-12-29 00:42:00,0.848,0.863,0.848,0.863,2934.53
2022-12-29 00:49:00,0.854,0.857,0.857,0.854,325.07
2022-12-29 01:23:00,0.855,0.858,0.855,0.856,1006.69
2022-12-29 01:34:00,0.858,0.858,0.858,0.858,2.66
2022-12-29 03:12:00,0.863,0.864,0.864,0.863,10.92
2022-12-29 03:56:00,0.86,0.863,0.863,0.86,298.0
2022-12-29 04:50:00,0.851,0.857,0.857,0.851,146.96
2022-12-29 04:52:00,0.856,0.859,0.857,0.856,132.54
2022-12-29 05:44:00,0.846,0.856,0.856,0.847,3728.79
2022-12-29 05:46:00,0.847,0.847,0.847,0.847,19.3
2022-12-29 05:47:00,0.847,0.849,0.847,0.849,122.0
2022-12-29 05:48:00,0.847,0.848,0.848,0.848,403.0
2022-12-29 05:57:00,0.851,0.852,0.852,0.851,157.0
2022-12-29 05:58:00,0.851,0.856,0.851,0.855,132.27
2022-12-29 06:17:00,0.852,0.857,0.854,0.857,942.83
2022-12-29 06:22:00,0.853,0.856,0.856,0.853,96.96
2022-12-29 06:27:00,0.851,0.852,0.851,0.851,12.0
2022-12-29 06:28:00,0.851,0.851,0.851,0.851,17.0
2022-12-29 06:42:00,0.851,0.855,0.851,0.855,44.35
2022-12-29 07:00:00,0.854,0.857,0.854,0.857,18.06
2022-12-29 07:31:00,0.854,0.858,0.858,0.854,54.63
2022-12-29 08:27:00,0.85,0.851,0.851,0.85,30.54
2022-12-29 09:02:00,0.848,0.851,0.848,0.851,5.96
2022-12-29 09:30:00,0.849,0.849,0.849,0.849,10.0
2022-12-29 09:32:00,0.849,0.852,0.852,0.849,313.63
2022-12-29 10:52:00,0.847,0.848,0.848,0.848,92.2
2022-12-29 11:38:00,0.855,0.855,0.855,0.855,25.63
2022-12-29 11:51:00,0.849,0.851,0.851,0.849,65.82
2022-12-29 12:10:00,0.85,0.853,0.853,0.85,29.24
2022-12-29 12:54:00,0.847,0.848,0.848,0.847,34.92
2022-12-29 13:22:00,0.847,0.852,0.847,0.85,784.86
2022-12-29 13:42:00,0.846,0.847,0.846,0.847,6.95
2022-12-29 14:18:00,0.845,0.845,0.845,0.845,1.26
2022-12-29 14:23:00,0.845,0.847,0.845,0.847,14.26
