time,low,high,open,close,volume
2022-11-19 15:43:00,0.13,0.132,0.132,0.13,1294.51
2022-11-19 16:01:00,0.131,0.132,0.132,0.131,4056.73
2022-11-19 16:13:00,0.131,0.131,0.131,0.131,271.71
2022-11-19 19:45:00,0.128,0.131,0.131,0.128,49455.53
2022-11-19 21:41:00,0.13,0.131,0.13,0.131,629.9
2022-11-19 22:00:00,0.131,0.131,0.131,0.131,3853.32
2022-11-19 22:34:00,0.131,0.132,0.132,0.131,133.4
2022-11-19 23:40:00,0.13,0.131,0.131,0.13,122.82
2022-11-20 00:23:00,0.129,0.13,0.129,0.13,700.14
2022-11-20 00:31:00,0.13,0.131,0.13,0.131,536.39
2022-11-20 01:08:00,0.131,0.131,0.131,0.131,1484.61
2022-11-20 01:11:00,0.131,0.131,0.131,0.131,1456.68
2022-11-20 01:18:00,0.131,0.131,0.131,0.131,704.68
2022-11-20 01:37:00,0.131,0.131,0.131,0.131,135.36
2022-11-20 02:01:00,0.131,0.132,0.132,0.131,1206.02
2022-11-20 04:35:00,0.132,0.132,0.132,0.132,370.49
2022-11-20 05:52:00,0.132,0.133,0.133,0.132,1541.36
2022-11-20 06:37:00,0.133,0.134,0.133,0.134,2770.63
2022-11-20 07:43:00,0.133,0.134,0.134,0.133,4385.49
2022-11-20 08:00:00,0.133,0.133,0.133,0.133,1437.47
2022-11-20 08:39:00,0.132,0.132,0.132,0.132,1308.48
2022-11-20 08:40:00,0.131,0.131,0.131,0.131,1729.6
2022-11-20 08:41:00,0.131,0.131,0.131,0.131,2490.37
2022-11-20 09:04:00,0.132,0.132,0.132,0.132,2496.64
2022-11-20 09:05:00,0.132,0.135,0.132,0.135,1817.64
2022-11-20 09:09:00,0.135,0.136,0.135,0.136,1271.15
2022-11-20 09:10:00,0.137,0.138,0.137,0.137,1650.28
2022-11-20 09:11:00,0.137,0.139,0.137,0.139,445.11
2022-11-20 09:14:00,0.135,0.137,0.135,0.137,2028.2
2022-11-20 09:17:00,0.135,0.136,0.136,0.135,4662.4
2022-11-20 09:18:00,0.135,0.136,0.135,0.136,975.4
2022-11-20 09:21:00,0.135,0.135,0.135,0.135,1269.74
2022-11-20 09:22:00,0.134,0.135,0.135,0.134,727.68
2022-11-20 09:24:00,0.134,0.134,0.134,0.134,1867.16
2022-11-20 09:27:00,0.135,0.135,0.135,0.135,1050.6
2022-11-20 09:29:00,0.135,0.135,0.135,0.135,353.88
