time,low,high,open,close,volume
2023-01-27 19:31:00,0.276,0.277,0.276,0.277,248.27
2023-01-27 19:32:00,0.277,0.278,0.277,0.277,264.62
2023-01-27 19:33:00,0.277,0.282,0.277,0.282,3900.81
2023-01-27 19:34:00,0.279,0.281,0.279,0.279,1380.5
2023-01-27 19:35:00,0.277,0.279,0.277,0.279,20.58
2023-01-27 19:36:00,0.278,0.278,0.278,0.278,8.92
2023-01-27 19:37:00,0.276,0.277,0.277,0.277,10.04
2023-01-27 19:38:00,0.277,0.279,0.277,0.277,592.0
2023-01-27 19:39:00,0.278,0.28,0.28,0.278,98.3
2023-01-27 19:40:00,0.277,0.277,0.277,0.277,0.63
2023-01-27 19:41:00,0.277,0.277,0.277,0.277,38.6
2023-01-27 19:42:00,0.275,0.278,0.277,0.275,3585.78
2023-01-27 19:43:00,0.276,0.278,0.278,0.276,181.96
2023-01-27 19:44:00,0.278,0.28,0.278,0.278,2772.41
2023-01-27 19:45:00,0.276,0.278,0.276,0.277,6453.65
2023-01-27 19:46:00,0.275,0.277,0.276,0.276,6069.57
2023-01-27 19:47:00,0.276,0.276,0.276,0.276,3757.09
2023-01-27 19:48:00,0.274,0.276,0.276,0.274,590.59
2023-01-27 19:49:00,0.275,0.276,0.276,0.275,198.78
2023-01-27 19:51:00,0.274,0.275,0.275,0.275,1156.31
2023-01-27 19:52:00,0.274,0.276,0.274,0.276,67.09
2023-01-27 19:54:00,0.276,0.277,0.277,0.276,425.24
2023-01-27 19:55:00,0.276,0.276,0.276,0.276,10.57
2023-01-27 19:56:00,0.276,0.277,0.276,0.277,190.36
2023-01-27 19:57:00,0.275,0.277,0.275,0.276,4838.37
2023-01-27 19:58:00,0.276,0.276,0.276,0.276,122.19
2023-01-27 20:00:00,0.275,0.276,0.275,0.275,447.39
2023-01-27 20:01:00,0.273,0.275,0.275,0.273,1322.83
2023-01-27 20:03:00,0.271,0.273,0.273,0.272,8292.59
2023-01-27 20:04:00,0.274,0.274,0.274,0.274,73.37
2023-01-27 20:05:00,0.272,0.274,0.274,0.272,586.29
2023-01-27 20:07:00,0.272,0.274,0.272,0.273,1491.73
2023-01-27 20:08:00,0.271,0.272,0.271,0.271,18750.79
2023-01-27 20:09:00,0.271,0.273,0.273,0.272,1013.15
2023-01-27 20:10:00,0.27,0.272,0.272,0.27,106.63
2023-01-27 20:11:00,0.27,0.272,0.272,0.27,867.68
2023-01-27 20:13:00,0.273,0.276,0.273,0.273,36711.83
2023-01-27 20:15:00,0.274,0.274,0.274,0.274,56.64
2023-01-27 20:16:00,0.271,0.273,0.273,0.273,7177.61
2023-01-27 20:17:00,0.271,0.273,0.271,0.273,2280.48
2023-01-27 20:18:00,0.27,0.274,0.274,0.27,54.66
2023-01-27 20:19:00,0.27,0.272,0.272,0.27,371.08
2023-01-27 20:20:00,0.271,0.273,0.273,0.271,685.77
2023-01-27 20:24:00,0.273,0.273,0.273,0.273,285.85
2023-01-27 20:27:00,0.272,0.273,0.272,0.273,531.41
2023-01-27 20:28:00,0.271,0.274,0.271,0.274,31.19
2023-01-27 20:29:00,0.273,0.273,0.273,0.273,290.92
2023-01-27 20:30:00,0.271,0.273,0.271,0.273,7314.69
2023-01-27 20:31:00,0.272,0.273,0.273,0.272,100.11
2023-01-27 20:32:00,0.271,0.272,0.271,0.272,10005.88
2023-01-27 20:33:00,0.271,0.271,0.271,0.271,184.92
2023-01-27 20:35:00,0.271,0.272,0.271,0.272,2086.53
2023-01-27 20:36:00,0.271,0.272,0.271,0.272,717.29
2023-01-27 20:37:00,0.271,0.272,0.272,0.271,584.65
2023-01-27 20:38:00,0.271,0.272,0.271,0.271,4478.47
2023-01-27 20:39:00,0.271,0.271,0.271,0.271,894.29
2023-01-27 20:40:00,0.271,0.271,0.271,0.271,1248.89
2023-01-27 20:41:00,0.271,0.271,0.271,0.271,389.15
2023-01-27 20:43:00,0.271,0.272,0.272,0.272,72.63
2023-01-27 20:44:00,0.27,0.271,0.271,0.27,11883.32
2023-01-27 20:45:00,0.271,0.272,0.272,0.271,229.86
2023-01-27 20:46:00,0.271,0.271,0.271,0.271,11266.0
2023-01-27 20:47:00,0.271,0.271,0.271,0.271,192.97
2023-01-27 20:48:00,0.271,0.271,0.271,0.271,45.55
2023-01-27 20:49:00,0.271,0.274,0.273,0.274,337.29
2023-01-27 20:50:00,0.274,0.274,0.274,0.274,260.75
2023-01-27 20:51:00,0.274,0.274,0.274,0.274,229.64
2023-01-27 20:52:00,0.271,0.274,0.274,0.271,725.97
2023-01-27 20:53:00,0.271,0.273,0.273,0.271,3745.66
2023-01-27 20:55:00,0.271,0.273,0.271,0.273,7382.09
2023-01-27 20:56:00,0.273,0.274,0.273,0.273,14677.97
2023-01-27 20:58:00,0.272,0.274,0.272,0.274,6108.65
2023-01-27 20:59:00,0.273,0.274,0.274,0.274,7120.48
2023-01-27 21:01:00,0.273,0.273,0.273,0.273,18.57
2023-01-27 21:02:00,0.273,0.273,0.273,0.273,6948.49
2023-01-27 21:03:00,0.272,0.273,0.273,0.272,503.08
2023-01-27 21:05:00,0.273,0.274,0.274,0.273,3664.56
2023-01-27 21:06:00,0.274,0.274,0.274,0.274,15.5
