time,low,high,open,close,volume
2022-12-07 17:11:00,44.8,44.86,44.86,44.8,19.621
2022-12-07 17:12:00,44.7,44.8,44.8,44.7,12.961
2022-12-07 17:13:00,44.66,44.76,44.66,44.66,58.457
2022-12-07 17:14:00,44.66,44.75,44.66,44.75,23.965
2022-12-07 17:15:00,44.69,44.72,44.72,44.72,22.731
2022-12-07 17:16:00,44.68,45.04,44.68,45.04,170.466
2022-12-07 17:17:00,44.8,44.8,44.8,44.8,124.552
2022-12-07 17:18:00,44.75,45.06,44.86,44.82,16.408
2022-12-07 17:19:00,44.69,45.07,44.82,44.76,70.26
2022-12-07 17:20:00,44.72,45.13,44.72,44.8,67.758
2022-12-07 17:21:00,44.7,44.8,44.8,44.75,95.64
2022-12-07 17:22:00,44.7,45.06,44.72,44.72,155.926
2022-12-07 17:23:00,44.7,44.9,44.73,44.9,73.535
2022-12-07 17:24:00,44.89,44.91,44.9,44.89,1.581
2022-12-07 17:25:00,44.91,45.0,44.91,45.0,86.757
2022-12-07 17:26:00,44.68,44.8,44.7,44.72,93.201
2022-12-07 17:27:00,44.49,44.77,44.75,44.49,83.493
2022-12-07 17:28:00,44.71,44.72,44.72,44.71,0.661
2022-12-07 17:29:00,44.7,44.76,44.71,44.75,6.054
2022-12-07 17:30:00,44.7,44.76,44.72,44.76,1.851
2022-12-07 17:31:00,44.69,44.76,44.72,44.69,0.31
2022-12-07 17:32:00,44.51,44.71,44.69,44.71,2.951
2022-12-07 17:33:00,44.64,44.68,44.68,44.64,0.299
2022-12-07 17:34:00,44.67,44.68,44.68,44.67,0.092
2022-12-07 17:35:00,44.61,44.67,44.67,44.61,0.138
2022-12-07 17:36:00,44.59,44.64,44.61,44.64,13.515
2022-12-07 17:37:00,44.56,44.63,44.61,44.59,1.09
2022-12-07 17:38:00,44.53,44.63,44.63,44.53,0.069
2022-12-07 17:39:00,44.49,44.76,44.52,44.61,3.436
2022-12-07 17:40:00,44.54,44.61,44.61,44.61,23.548
2022-12-07 17:41:00,44.61,44.62,44.61,44.62,0.334
2022-12-07 17:42:00,44.43,44.56,44.56,44.47,6.578
2022-12-07 17:43:00,44.43,44.63,44.43,44.63,8.597
2022-12-07 17:44:00,44.4,44.63,44.43,44.59,49.745
2022-12-07 17:47:00,44.36,44.59,44.58,44.36,13.716
2022-12-07 17:50:00,44.56,44.6,44.56,44.6,43.325
2022-12-07 17:52:00,44.49,44.6,44.49,44.6,1.906
2022-12-07 17:54:00,44.38,44.38,44.38,44.38,6.12
2022-12-07 17:55:00,44.5,44.6,44.6,44.5,0.535
2022-12-07 17:58:00,44.35,44.6,44.36,44.6,51.773
2022-12-07 17:59:00,44.34,44.35,44.35,44.34,7.296
2022-12-07 18:02:00,44.32,44.38,44.38,44.32,3.945
2022-12-07 18:04:00,44.21,44.27,44.27,44.21,4.156
2022-12-07 18:05:00,44.2,44.47,44.2,44.41,1.782
2022-12-07 18:06:00,44.38,44.46,44.46,44.38,27.17
2022-12-07 18:07:00,44.21,44.26,44.21,44.26,10.101
2022-12-07 18:10:00,44.19,44.29,44.19,44.29,2.569
2022-12-07 18:11:00,44.2,44.25,44.25,44.25,2.416
2022-12-07 18:12:00,44.2,44.39,44.2,44.31,1.541
2022-12-07 18:13:00,44.27,44.36,44.36,44.27,0.259
2022-12-07 18:14:00,44.18,44.4,44.26,44.36,4.064
2022-12-07 18:15:00,44.31,44.34,44.34,44.31,0.017
2022-12-07 18:16:00,44.17,44.38,44.38,44.2,5.043
2022-12-07 18:18:00,44.2,44.42,44.33,44.42,9.653
2022-12-07 18:19:00,44.16,44.23,44.23,44.16,0.046
2022-12-07 18:22:00,44.07,44.16,44.16,44.07,12.55
2022-12-07 18:23:00,43.99,44.17,44.07,43.99,6.007
2022-12-07 18:27:00,44.09,44.17,44.09,44.17,18.829
2022-12-07 18:28:00,44.1,44.17,44.17,44.1,4.872
2022-12-07 18:29:00,44.08,44.13,44.11,44.13,20.118
2022-12-07 18:30:00,43.92,44.06,44.0,43.92,34.502
2022-12-07 18:31:00,43.86,44.17,43.89,44.0,15.92
2022-12-07 18:32:00,43.99,44.04,44.0,44.04,10.074
2022-12-07 18:33:00,43.82,44.03,44.0,43.82,2.34
2022-12-07 18:34:00,44.06,44.07,44.06,44.07,2.0
2022-12-07 18:35:00,44.04,44.04,44.04,44.04,3.0
2022-12-07 18:36:00,43.9,44.0,44.0,43.9,7.593
2022-12-07 18:37:00,43.96,43.97,43.97,43.96,3.6
2022-12-07 18:39:00,43.82,43.93,43.82,43.93,2.614
2022-12-07 18:41:00,43.91,43.93,43.93,43.91,0.656
2022-12-07 18:43:00,43.5,43.81,43.81,43.5,55.456
2022-12-07 18:45:00,43.5,43.68,43.5,43.51,35.367
2022-12-07 18:47:00,43.29,43.66,43.66,43.29,47.563
2022-12-07 18:49:00,43.41,43.59,43.59,43.41,11.717
2022-12-07 18:51:00,43.4,43.41,43.41,43.4,57.587
2022-12-07 18:52:00,43.45,43.51,43.51,43.45,1.253
2022-12-07 18:53:00,43.26,43.4,43.4,43.26,2.881
2022-12-07 18:56:00,43.3,43.35,43.35,43.3,22.349
2022-12-07 18:58:00,43.55,43.59,43.55,43.59,7.801
2022-12-07 19:02:00,43.49,43.5,43.49,43.49,13.947
2022-12-07 19:05:00,43.33,43.6,43.33,43.6,11.206
2022-12-07 19:06:00,43.42,43.59,43.42,43.59,1.308
2022-12-07 19:07:00,43.59,43.59,43.59,43.59,0.022
2022-12-07 19:08:00,43.59,43.59,43.59,43.59,0.086
2022-12-07 19:11:00,43.59,43.67,43.59,43.67,2.114
2022-12-07 19:18:00,43.67,43.67,43.67,43.67,1.454
2022-12-07 19:21:00,43.67,43.71,43.67,43.71,9.255
2022-12-07 19:28:00,43.71,43.77,43.71,43.77,1.649
2022-12-07 19:32:00,43.77,43.77,43.77,43.77,1.0
2022-12-07 19:36:00,43.77,43.77,43.77,43.77,1.008
2022-12-07 19:37:00,43.77,43.77,43.77,43.77,0.002
2022-12-07 19:38:00,43.77,43.81,43.77,43.81,0.244
2022-12-07 19:39:00,43.81,43.87,43.81,43.87,4.702
2022-12-07 19:40:00,43.86,43.87,43.87,43.86,0.108
2022-12-07 19:41:00,43.85,43.87,43.87,43.85,0.077
2022-12-07 19:42:00,43.81,43.87,43.81,43.87,3.507
2022-12-07 19:43:00,43.85,43.85,43.85,43.85,0.546
2022-12-07 19:44:00,43.82,43.87,43.85,43.87,13.353
2022-12-07 19:50:00,43.87,43.9,43.87,43.9,1.028
2022-12-07 19:54:00,43.82,43.9,43.9,43.82,26.373
2022-12-07 19:56:00,43.82,43.95,43.9,43.82,0.384
2022-12-07 20:00:00,43.96,43.99,43.96,43.99,3.196
2022-12-07 20:01:00,43.81,43.99,43.99,43.81,79.461
2022-12-07 20:07:00,43.99,43.99,43.99,43.99,2.436
2022-12-07 20:09:00,43.99,44.0,43.99,44.0,7.065
2022-12-07 20:13:00,44.0,44.06,44.0,44.06,1.259
2022-12-07 20:16:00,43.96,44.06,43.96,44.06,12.319
2022-12-07 20:17:00,44.12,44.17,44.12,44.17,4.023
2022-12-07 20:18:00,44.17,44.28,44.17,44.28,37.199
2022-12-07 20:19:00,44.28,44.28,44.28,44.28,0.075
2022-12-07 20:20:00,44.31,44.31,44.31,44.31,0.312
2022-12-07 20:21:00,44.31,44.36,44.31,44.36,2.289
2022-12-07 20:28:00,44.36,44.36,44.36,44.36,0.685
2022-12-07 20:31:00,44.12,44.38,44.36,44.12,3.193
2022-12-07 20:33:00,44.38,44.38,44.38,44.38,0.224
2022-12-07 20:37:00,44.12,44.31,44.12,44.31,1.176
2022-12-07 20:42:00,44.34,44.35,44.34,44.35,0.101
2022-12-07 20:43:00,44.33,44.35,44.35,44.33,2.121
2022-12-07 20:45:00,44.39,44.5,44.39,44.44,41.399
2022-12-07 20:46:00,44.48,44.48,44.48,44.48,0.059
2022-12-07 20:49:00,44.36,44.51,44.51,44.36,52.004
2022-12-07 20:57:00,44.44,44.49,44.49,44.44,1.074
2022-12-07 20:59:00,44.44,44.52,44.44,44.52,0.089
2022-12-07 21:06:00,44.52,44.52,44.52,44.52,0.41
2022-12-07 21:07:00,44.34,44.52,44.52,44.34,3.956
2022-12-07 21:11:00,44.34,44.52,44.39,44.52,9.623
2022-12-07 21:13:00,44.52,44.52,44.52,44.52,1.621
2022-12-07 21:16:00,44.52,44.52,44.52,44.52,0.223
2022-12-07 21:18:00,44.47,44.49,44.49,44.47,0.187
2022-12-07 21:20:00,44.16,44.52,44.52,44.16,0.43
2022-12-07 21:24:00,44.33,44.36,44.36,44.33,1.262
2022-12-07 21:26:00,44.33,44.36,44.36,44.33,0.326
2022-12-07 21:28:00,44.33,44.33,44.33,44.33,0.043
2022-12-07 21:29:00,44.36,44.37,44.36,44.37,0.067
2022-12-07 21:30:00,44.38,44.4,44.4,44.38,0.062
2022-12-07 21:31:00,44.1,44.38,44.38,44.35,77.096
2022-12-07 21:32:00,44.3,44.34,44.33,44.3,23.485
2022-12-07 21:38:00,44.08,44.22,44.22,44.08,0.341
2022-12-07 21:39:00,44.2,44.21,44.21,44.2,0.132
2022-12-07 21:59:00,44.22,44.22,44.22,44.22,0.052
2022-12-07 22:00:00,44.19,44.22,44.22,44.19,0.187
2022-12-07 22:03:00,44.07,44.3,44.08,44.3,51.213
2022-12-07 22:12:00,44.06,44.14,44.14,44.06,2.483
2022-12-07 22:17:00,44.15,44.15,44.15,44.15,0.32
2022-12-07 22:23:00,44.17,44.18,44.18,44.17,2.121
2022-12-07 22:24:00,44.16,44.2,44.17,44.17,23.663
2022-12-07 22:33:00,43.99,44.04,44.04,43.99,14.956
2022-12-07 22:38:00,43.93,43.99,43.99,43.93,11.198
2022-12-07 22:42:00,44.05,44.05,44.05,44.05,0.06
2022-12-07 22:45:00,44.03,44.06,44.03,44.06,12.81
2022-12-07 22:49:00,44.09,44.27,44.09,44.27,13.465
2022-12-07 22:57:00,44.21,44.23,44.23,44.21,11.242
2022-12-07 23:01:00,44.2,44.24,44.24,44.2,0.583
2022-12-07 23:04:00,44.24,44.27,44.24,44.27,21.645
2022-12-07 23:10:00,44.24,44.27,44.24,44.27,0.084
2022-12-07 23:11:00,44.27,44.27,44.27,44.27,0.107
2022-12-07 23:20:00,44.17,44.21,44.17,44.21,3.882
2022-12-07 23:22:00,44.05,44.21,44.05,44.21,20.877
2022-12-07 23:24:00,44.21,44.21,44.21,44.21,0.359
2022-12-07 23:26:00,44.21,44.23,44.21,44.23,0.066
2022-12-07 23:32:00,44.23,44.24,44.23,44.24,1.066
2022-12-07 23:40:00,44.17,44.24,44.17,44.24,1.616
2022-12-07 23:43:00,44.24,44.24,44.24,44.24,0.759
2022-12-07 23:48:00,44.27,44.27,44.27,44.27,2.0
2022-12-07 23:50:00,44.29,44.29,44.29,44.29,2.57
2022-12-07 23:55:00,44.29,44.29,44.29,44.29,2.763
2022-12-07 23:59:00,44.29,44.29,44.29,44.29,0.24
2022-12-08 00:03:00,44.29,44.29,44.29,44.29,0.517
2022-12-08 00:12:00,44.29,44.31,44.29,44.31,3.005
2022-12-08 00:20:00,44.31,44.31,44.31,44.31,0.332
2022-12-08 00:32:00,44.18,44.33,44.31,44.18,3.0
2022-12-08 00:36:00,44.32,44.55,44.32,44.42,75.065
2022-12-08 00:43:00,44.24,44.42,44.42,44.24,1.106
2022-12-08 00:47:00,44.42,44.42,44.42,44.42,0.174
2022-12-08 00:49:00,44.42,44.44,44.42,44.44,0.134
2022-12-08 00:52:00,44.44,44.44,44.44,44.44,0.383
2022-12-08 00:54:00,44.43,44.45,44.44,44.43,4.345
2022-12-08 01:01:00,44.39,44.5,44.39,44.5,4.794
2022-12-08 01:09:00,44.51,44.53,44.51,44.53,13.965
2022-12-08 01:13:00,44.54,44.54,44.54,44.54,0.214
2022-12-08 01:19:00,44.54,44.54,44.54,44.54,2.26
2022-12-08 01:21:00,44.54,44.54,44.54,44.54,2.634
2022-12-08 01:22:00,44.54,45.09,44.55,44.54,111.094
2022-12-08 01:25:00,44.64,44.64,44.64,44.64,0.4
2022-12-08 01:33:00,44.59,44.59,44.59,44.59,0.556
2022-12-08 01:34:00,44.49,44.59,44.59,44.49,2.049
2022-12-08 01:35:00,44.44,44.5,44.5,44.44,18.616
2022-12-08 01:39:00,44.42,44.6,44.44,44.6,15.084
2022-12-08 01:52:00,44.63,44.63,44.63,44.63,2.491
2022-12-08 02:01:00,44.63,44.65,44.63,44.65,3.286
2022-12-08 02:08:00,44.64,44.65,44.65,44.64,2.097
2022-12-08 02:15:00,44.44,44.55,44.55,44.44,23.125
2022-12-08 02:23:00,44.62,45.37,44.62,45.37,207.94
2022-12-08 02:24:00,44.62,44.92,44.68,44.71,24.655
2022-12-08 02:34:00,44.71,44.71,44.71,44.71,1.238
2022-12-08 02:37:00,44.71,44.72,44.71,44.72,6.738
2022-12-08 02:40:00,44.72,44.98,44.72,44.98,22.266
2022-12-08 02:51:00,44.7,44.98,44.98,44.98,25.518
2022-12-08 03:08:00,44.81,44.98,44.81,44.98,2.476
2022-12-08 03:13:00,44.98,44.98,44.98,44.98,2.177
2022-12-08 03:16:00,44.98,45.02,44.98,45.02,3.1
2022-12-08 03:22:00,45.02,45.11,45.02,45.11,21.613
2022-12-08 03:23:00,45.13,45.13,45.13,45.13,1.765
2022-12-08 03:24:00,44.86,45.13,45.13,44.86,5.538
2022-12-08 03:29:00,44.8,44.8,44.8,44.8,2.303
2022-12-08 03:30:00,45.09,45.1,45.09,45.09,6.957
2022-12-08 03:36:00,45.02,45.06,45.06,45.02,0.14
2022-12-08 03:42:00,44.77,44.77,44.77,44.77,2.986
2022-12-08 03:47:00,44.89,44.93,44.89,44.93,4.579
2022-12-08 03:48:00,44.77,44.91,44.77,44.91,3.065
2022-12-08 03:59:00,44.89,44.92,44.89,44.92,1.042
