time,low,high,open,close,volume
2022-11-19 15:30:00,1.099,1.103,1.101,1.103,138.07
2022-11-19 15:48:00,1.101,1.103,1.101,1.103,4.81
2022-11-19 16:29:00,1.099,1.102,1.101,1.102,90.44
2022-11-19 16:58:00,1.102,1.104,1.102,1.104,9.99
2022-11-19 17:47:00,1.102,1.104,1.102,1.104,164.47
2022-11-19 17:56:00,1.101,1.105,1.103,1.101,384.92
2022-11-19 19:20:00,1.105,1.105,1.105,1.105,10.5
2022-11-19 19:40:00,1.105,1.105,1.105,1.105,34.94
2022-11-19 20:20:00,1.101,1.105,1.101,1.105,10.02
2022-11-19 21:20:00,1.105,1.107,1.105,1.107,258.73
2022-11-19 21:31:00,1.106,1.107,1.106,1.107,230.69
2022-11-19 22:21:00,1.107,1.107,1.107,1.107,19.53
2022-11-20 00:43:00,1.107,1.11,1.107,1.11,1000.18
2022-11-20 00:56:00,1.108,1.111,1.108,1.111,972.27
2022-11-20 01:02:00,1.104,1.111,1.109,1.104,1077.78
2022-11-20 01:51:00,1.1,1.103,1.103,1.101,510.87
2022-11-20 02:06:00,1.102,1.105,1.105,1.102,18.95
2022-11-20 03:10:00,1.1,1.1,1.1,1.1,24.22
2022-11-20 03:48:00,1.102,1.102,1.102,1.102,35.75
2022-11-20 04:00:00,1.098,1.103,1.103,1.098,337.28
2022-11-20 05:00:00,1.099,1.1,1.1,1.099,14.39
2022-11-20 05:20:00,1.102,1.103,1.103,1.102,41.42
2022-11-20 06:38:00,1.1,1.102,1.1,1.102,17.91
2022-11-20 08:54:00,1.101,1.102,1.101,1.102,104.24
2022-11-20 09:05:00,1.1,1.103,1.1,1.103,20.65
2022-11-20 09:14:00,1.102,1.103,1.102,1.103,87.09
2022-11-20 09:25:00,1.103,1.104,1.103,1.104,78.06
2022-11-20 10:49:00,1.104,1.105,1.104,1.105,157.21
2022-11-20 10:53:00,1.105,1.106,1.105,1.106,283.99
2022-11-20 11:14:00,1.106,1.106,1.106,1.106,534.8
2022-11-20 11:15:00,1.105,1.106,1.106,1.105,269.89
2022-11-20 11:30:00,1.104,1.104,1.104,1.104,11.8
2022-11-20 11:34:00,1.104,1.105,1.104,1.104,422.92
2022-11-20 12:17:00,1.104,1.104,1.104,1.104,22.65
2022-11-20 12:26:00,1.104,1.104,1.104,1.104,21.4
2022-11-20 12:31:00,1.1,1.104,1.104,1.1,44.97
2022-11-20 12:36:00,1.1,1.1,1.1,1.1,105.78
2022-11-20 12:53:00,1.098,1.098,1.098,1.098,35.86
2022-11-20 13:10:00,1.098,1.099,1.098,1.099,101.6
2022-11-20 14:01:00,1.099,1.099,1.099,1.099,0.91
2022-11-20 14:02:00,1.099,1.099,1.099,1.099,1.88
2022-11-20 15:33:00,1.098,1.099,1.099,1.098,7.44
2022-11-20 19:34:00,1.098,1.098,1.098,1.098,33.07
2022-11-20 20:39:00,1.098,1.098,1.098,1.098,0.38
2022-11-20 20:41:00,1.095,1.101,1.098,1.101,870.53
2022-11-20 20:49:00,1.098,1.098,1.098,1.098,24.08
2022-11-20 21:53:00,1.097,1.099,1.099,1.097,52.88
2022-11-20 23:33:00,1.097,1.099,1.097,1.097,12.18
2022-11-20 23:34:00,1.097,1.097,1.097,1.097,10.61
2022-11-20 23:37:00,1.097,1.098,1.098,1.097,1.46
2022-11-20 23:48:00,1.098,1.098,1.098,1.098,19.97
2022-11-21 00:20:00,1.097,1.097,1.097,1.097,23.07
2022-11-21 01:14:00,1.094,1.098,1.098,1.094,472.27
2022-11-21 02:11:00,1.096,1.096,1.096,1.096,6.76
2022-11-21 02:12:00,1.096,1.096,1.096,1.096,66.0
2022-11-21 02:13:00,1.095,1.095,1.095,1.095,13.52
2022-11-21 02:14:00,1.095,1.095,1.095,1.095,18.59
2022-11-21 02:15:00,1.095,1.095,1.095,1.095,99.71
2022-11-21 02:16:00,1.092,1.095,1.095,1.092,523.66
2022-11-21 02:40:00,1.09,1.093,1.093,1.09,938.47
2022-11-21 02:58:00,1.092,1.092,1.092,1.092,78.15
2022-11-21 04:33:00,1.089,1.092,1.092,1.089,833.47
2022-11-21 05:09:00,1.089,1.089,1.089,1.089,0.4
2022-11-21 05:47:00,1.089,1.092,1.092,1.089,3.0
2022-11-21 08:13:00,1.09,1.09,1.09,1.09,4.22
2022-11-21 11:29:00,1.087,1.089,1.089,1.089,936.64
2022-11-21 12:22:00,1.089,1.092,1.092,1.089,1.65
2022-11-21 12:49:00,1.089,1.089,1.089,1.089,9.15
2022-11-21 12:50:00,1.089,1.09,1.09,1.089,18.31
2022-11-21 12:52:00,1.088,1.089,1.089,1.088,18.15
2022-11-21 14:24:00,1.089,1.09,1.089,1.09,7.45
2022-11-21 14:26:00,1.09,1.09,1.09,1.09,153.86
2022-11-21 14:32:00,1.091,1.091,1.091,1.091,32.7
2022-11-21 14:33:00,1.09,1.092,1.092,1.09,51.05
2022-11-21 14:40:00,1.088,1.092,1.092,1.092,286.51
2022-11-21 14:59:00,1.091,1.092,1.092,1.091,39.56
2022-11-21 15:31:00,1.093,1.095,1.093,1.095,347.51
2022-11-21 15:33:00,1.095,1.095,1.095,1.095,29.0
2022-11-21 15:34:00,1.094,1.094,1.094,1.094,51.34
