time,low,high,open,close,volume
2022-11-19 15:10:00,19.31,19.34,19.34,19.31,82.05462418
2022-11-19 15:11:00,19.26,19.3,19.3,19.28,22.01321905
2022-11-19 15:12:00,19.29,19.29,19.29,19.29,14.6415
2022-11-19 15:13:00,19.28,19.29,19.29,19.28,0.46966732
2022-11-19 15:14:00,19.28,19.33,19.28,19.33,10.33324646
2022-11-19 15:15:00,19.27,19.33,19.33,19.27,317.47574226
2022-11-19 15:17:00,19.28,19.31,19.28,19.29,72.53891973
2022-11-19 15:18:00,19.28,19.3,19.29,19.28,21.27971358
2022-11-19 15:20:00,19.28,19.29,19.29,19.28,34.51714278
2022-11-19 15:22:00,19.28,19.29,19.29,19.28,10.47021188
2022-11-19 15:24:00,19.22,19.26,19.26,19.22,444.03373064
2022-11-19 15:27:00,19.24,19.26,19.25,19.26,116.15977287
2022-11-19 15:28:00,19.26,19.27,19.26,19.27,22.82198229
2022-11-19 15:29:00,19.28,19.28,19.28,19.28,10.37075
2022-11-19 15:30:00,19.28,19.29,19.28,19.28,103.80487207
2022-11-19 15:31:00,19.3,19.31,19.3,19.31,15.55819389
2022-11-19 15:32:00,19.31,19.31,19.31,19.31,10.36726019
2022-11-19 15:33:00,19.32,19.37,19.32,19.37,100.17941674
2022-11-19 15:34:00,19.37,19.41,19.37,19.4,979.15498973
2022-11-19 15:35:00,19.39,19.4,19.39,19.4,82.56122477
2022-11-19 15:36:00,19.41,19.49,19.41,19.49,19.31032294
2022-11-19 15:37:00,19.46,19.68,19.46,19.6,1343.26791545
2022-11-19 15:38:00,19.52,19.61,19.61,19.53,330.04822484
2022-11-19 15:39:00,19.51,19.56,19.52,19.51,78.04999156
2022-11-19 15:40:00,19.51,19.58,19.52,19.51,94.72123393
2022-11-19 15:41:00,19.49,19.55,19.51,19.54,124.64606835
2022-11-19 15:42:00,19.52,19.54,19.54,19.53,58.75320436
2022-11-19 15:43:00,19.5,19.54,19.51,19.5,448.92038799
2022-11-19 15:44:00,19.51,19.57,19.51,19.56,253.84412962
2022-11-19 15:45:00,19.51,19.58,19.57,19.51,108.30893212
2022-11-19 15:46:00,19.52,19.6,19.52,19.53,282.5492376
2022-11-19 15:47:00,19.55,19.55,19.55,19.55,1.3
2022-11-19 15:48:00,19.57,19.58,19.58,19.57,114.77171
2022-11-19 15:49:00,19.54,19.58,19.56,19.57,12.1989958
2022-11-19 15:50:00,19.55,19.57,19.56,19.57,60.09960326
2022-11-19 15:51:00,19.54,19.57,19.54,19.57,35.92497617
2022-11-19 15:52:00,19.51,19.55,19.55,19.55,31.13519574
2022-11-19 15:53:00,19.51,19.51,19.51,19.51,0.05117707
2022-11-19 15:54:00,19.47,19.5,19.49,19.5,46.53230731
2022-11-19 15:55:00,19.49,19.51,19.5,19.49,4.7175649
2022-11-19 15:57:00,19.49,19.5,19.5,19.49,1.59304892
2022-11-19 15:58:00,19.49,19.49,19.49,19.49,0.94510005
2022-11-19 15:59:00,19.5,19.53,19.5,19.53,1.33928219
2022-11-19 16:00:00,19.53,19.53,19.53,19.53,0.4336039
2022-11-19 16:01:00,19.46,19.51,19.51,19.48,11.55664629
2022-11-19 16:03:00,19.47,19.52,19.47,19.52,2.29885505
2022-11-19 16:04:00,19.5,19.52,19.5,19.52,18.76827066
2022-11-19 16:05:00,19.52,19.52,19.52,19.52,1.107339
2022-11-19 16:06:00,19.53,19.56,19.53,19.55,13.81462375
2022-11-19 16:07:00,19.53,19.57,19.56,19.53,4.67192995
2022-11-19 16:09:00,19.56,19.56,19.56,19.56,12.23849
2022-11-19 16:10:00,19.55,19.59,19.59,19.55,1.43273891
2022-11-19 16:11:00,19.57,19.57,19.57,19.57,3.05790558
2022-11-19 16:13:00,19.54,19.54,19.54,19.54,5.10953201
2022-11-19 16:14:00,19.53,19.54,19.54,19.53,19.81231998
2022-11-19 16:15:00,19.51,19.53,19.53,19.51,2.53364447
2022-11-19 16:17:00,19.49,19.49,19.49,19.49,10.89164462
2022-11-19 16:18:00,19.48,19.51,19.48,19.51,24.50510835
2022-11-19 16:19:00,19.49,19.53,19.51,19.49,10.60056854
2022-11-19 16:20:00,19.49,19.49,19.49,19.49,1.4
2022-11-19 16:22:00,19.49,19.49,19.49,19.49,5.32838409
2022-11-19 16:24:00,19.49,19.49,19.49,19.49,6.85813238
2022-11-19 16:25:00,19.5,19.51,19.51,19.5,10.91826706
2022-11-19 16:26:00,19.5,19.51,19.5,19.51,27.65863177
2022-11-19 16:27:00,19.52,19.54,19.52,19.54,10.45140652
2022-11-19 16:29:00,19.51,19.54,19.54,19.51,25.80986922
2022-11-19 16:31:00,19.51,19.51,19.51,19.51,10.25246
2022-11-19 16:32:00,19.52,19.54,19.52,19.54,1.06212659
2022-11-19 16:35:00,19.54,19.55,19.55,19.54,10.19613167
2022-11-19 16:36:00,19.54,19.55,19.54,19.55,2.64695971
2022-11-19 16:38:00,19.55,19.57,19.55,19.56,42.90238318
2022-11-19 16:39:00,19.58,19.7,19.58,19.64,940.66869671
2022-11-19 16:40:00,19.64,19.67,19.64,19.67,207.16872273
2022-11-19 16:41:00,19.61,19.67,19.67,19.61,134.45344307
2022-11-19 16:43:00,19.6,19.62,19.62,19.6,44.00246883
2022-11-19 16:44:00,19.57,19.6,19.6,19.58,18.02823533
2022-11-19 16:45:00,19.57,19.57,19.57,19.57,21.43422335
2022-11-19 16:46:00,19.54,19.57,19.57,19.55,98.16624656
2022-11-19 16:48:00,19.51,19.53,19.52,19.53,41.950055
2022-11-19 16:49:00,19.56,19.57,19.57,19.56,1.62466864
2022-11-19 16:50:00,19.54,19.56,19.56,19.54,12.11160093
2022-11-19 16:51:00,19.51,19.51,19.51,19.51,97.67913225
2022-11-19 16:52:00,19.5,19.52,19.5,19.51,12.6202619
2022-11-19 16:53:00,19.52,19.52,19.52,19.52,20.92039
2022-11-19 16:54:00,19.51,19.52,19.52,19.52,73.09984286
