time,low,high,open,close,volume
2022-11-19 15:25:00,29.42,29.45,29.42,29.45,12.42
2022-11-19 15:49:00,29.45,29.48,29.45,29.48,15.084
2022-11-19 16:00:00,29.46,29.49,29.46,29.49,1.385
2022-11-19 16:11:00,29.49,29.53,29.49,29.53,11.262
2022-11-19 16:25:00,29.51,29.51,29.51,29.51,0.034
2022-11-19 16:26:00,29.47,29.47,29.47,29.47,8.538
2022-11-19 16:48:00,29.46,29.46,29.46,29.46,8.164
2022-11-19 16:53:00,29.5,29.55,29.5,29.55,1.187
2022-11-19 16:56:00,29.55,29.56,29.55,29.56,0.162
2022-11-19 17:06:00,29.49,29.57,29.49,29.57,17.528
2022-11-19 17:13:00,29.47,29.5,29.47,29.5,0.135
2022-11-19 17:19:00,29.5,29.53,29.5,29.53,4.271
2022-11-19 17:24:00,29.47,29.53,29.53,29.47,4.689
2022-11-19 17:33:00,29.46,29.46,29.46,29.46,1.963
2022-11-19 17:40:00,29.46,29.46,29.46,29.46,0.007
2022-11-19 17:46:00,29.48,29.5,29.48,29.5,2.055
2022-11-19 17:58:00,29.45,29.5,29.45,29.5,1.851
2022-11-19 18:09:00,29.48,29.57,29.48,29.53,110.146
2022-11-19 18:21:00,29.47,29.59,29.47,29.59,2.639
2022-11-19 18:27:00,29.52,29.54,29.54,29.52,0.881
2022-11-19 18:32:00,29.52,29.52,29.52,29.52,0.219
2022-11-19 18:34:00,29.55,29.59,29.57,29.59,10.085
2022-11-19 18:41:00,29.52,29.57,29.53,29.52,4.179
2022-11-19 18:52:00,29.52,29.52,29.52,29.52,3.417
2022-11-19 19:03:00,29.55,29.57,29.55,29.57,0.378
2022-11-19 19:11:00,29.49,29.53,29.53,29.49,2.411
2022-11-19 19:15:00,29.48,29.55,29.52,29.48,9.321
2022-11-19 19:40:00,29.51,29.52,29.51,29.52,2.609
2022-11-19 19:48:00,29.5,29.53,29.52,29.5,3.515
2022-11-19 19:54:00,29.49,29.51,29.49,29.51,0.741
2022-11-19 20:11:00,29.46,29.46,29.46,29.46,0.089
2022-11-19 20:18:00,29.46,29.46,29.46,29.46,1.089
2022-11-19 20:43:00,29.46,29.46,29.46,29.46,2.67
2022-11-19 20:59:00,29.48,29.48,29.48,29.48,2.004
2022-11-19 21:06:00,29.45,29.46,29.46,29.45,1.609
2022-11-19 21:11:00,29.48,29.5,29.48,29.49,11.976
2022-11-19 21:15:00,29.49,29.49,29.49,29.49,2.868
2022-11-19 21:17:00,29.46,29.49,29.46,29.49,25.466
2022-11-19 21:26:00,29.49,29.51,29.49,29.51,7.795
2022-11-19 21:34:00,29.46,29.49,29.49,29.46,0.474
2022-11-19 21:44:00,29.49,29.49,29.49,29.49,15.0
2022-11-19 21:46:00,29.45,29.49,29.46,29.49,120.432
2022-11-19 21:47:00,29.49,29.49,29.49,29.49,0.236
2022-11-19 21:48:00,29.49,29.49,29.49,29.49,0.186
2022-11-19 21:50:00,29.49,29.51,29.49,29.51,0.531
2022-11-19 21:58:00,29.47,29.49,29.47,29.49,12.868
2022-11-19 22:03:00,29.42,29.48,29.46,29.48,110.95
2022-11-19 22:14:00,29.44,29.49,29.48,29.44,2.659
2022-11-19 22:20:00,29.48,29.49,29.48,29.49,3.376
2022-11-19 22:31:00,29.49,29.52,29.49,29.51,3.056
2022-11-19 22:33:00,29.47,29.51,29.51,29.47,2.087
2022-11-19 23:02:00,29.49,29.52,29.49,29.52,6.247
2022-11-19 23:22:00,29.42,29.46,29.45,29.46,74.952
2022-11-19 23:32:00,29.43,29.46,29.44,29.43,5.035
2022-11-19 23:34:00,29.38,29.46,29.46,29.38,2.062
2022-11-20 00:01:00,29.4,29.49,29.4,29.49,12.728
2022-11-20 00:09:00,29.49,29.5,29.49,29.5,37.453
2022-11-20 00:17:00,29.39,29.5,29.5,29.39,43.269
2022-11-20 00:20:00,29.39,29.4,29.4,29.39,2.633
2022-11-20 00:21:00,29.42,29.46,29.42,29.46,1.923
2022-11-20 00:39:00,29.43,29.47,29.47,29.45,0.871
2022-11-20 00:48:00,29.46,29.48,29.46,29.48,4.948
2022-11-20 00:49:00,29.37,29.43,29.43,29.4,16.737
2022-11-20 00:50:00,29.35,29.41,29.36,29.38,39.448
2022-11-20 00:53:00,29.41,29.49,29.43,29.49,14.545
2022-11-20 00:58:00,29.47,29.51,29.47,29.5,51.285
2022-11-20 01:02:00,29.5,29.51,29.5,29.51,330.171
2022-11-20 01:10:00,29.5,29.51,29.51,29.51,220.758
2022-11-20 01:12:00,29.51,29.66,29.51,29.66,186.399
2022-11-20 01:16:00,29.65,29.8,29.65,29.8,421.402
2022-11-20 01:19:00,29.81,29.87,29.81,29.87,27.043
2022-11-20 01:22:00,29.85,30.07,29.85,30.02,25.031
2022-11-20 01:24:00,29.97,30.06,29.97,30.05,40.731
2022-11-20 01:25:00,30.05,30.05,30.05,30.05,7.245
2022-11-20 01:26:00,29.91,30.01,30.01,29.91,5.2
2022-11-20 01:30:00,29.85,29.92,29.92,29.85,3.404
2022-11-20 01:51:00,29.85,29.86,29.85,29.86,4.258
2022-11-20 01:52:00,29.55,29.82,29.81,29.82,449.409
2022-11-20 01:54:00,29.74,29.82,29.82,29.74,7.115
2022-11-20 01:58:00,29.74,29.77,29.74,29.77,13.902
2022-11-20 02:00:00,29.72,29.73,29.73,29.72,3.525
2022-11-20 02:04:00,29.74,29.76,29.74,29.75,2.683
2022-11-20 02:10:00,29.77,29.8,29.77,29.77,4.42
2022-11-20 02:20:00,29.77,29.81,29.77,29.81,4.672
2022-11-20 02:34:00,29.78,29.85,29.82,29.78,18.086
2022-11-20 03:05:00,29.81,29.88,29.81,29.88,6.826
2022-11-20 03:20:00,29.85,29.95,29.86,29.85,189.712
2022-11-20 03:21:00,29.83,29.92,29.92,29.83,0.655
2022-11-20 03:24:00,29.86,29.94,29.89,29.86,18.314
2022-11-20 03:34:00,29.83,29.88,29.86,29.83,36.843
2022-11-20 03:41:00,29.87,29.89,29.87,29.88,4.627
2022-11-20 03:43:00,29.88,29.96,29.88,29.96,7.721
2022-11-20 03:47:00,29.96,29.98,29.96,29.98,7.771
2022-11-20 03:48:00,29.99,30.05,29.99,30.05,43.945
2022-11-20 03:56:00,30.04,30.05,30.04,30.05,1.258
2022-11-20 03:57:00,29.95,29.99,29.99,29.95,51.716
2022-11-20 04:16:00,29.93,29.93,29.93,29.93,0.85
2022-11-20 04:17:00,29.93,29.95,29.94,29.93,2.399
2022-11-20 04:19:00,29.96,30.13,29.96,30.08,148.681
2022-11-20 04:20:00,30.01,30.01,30.01,30.01,1.8
2022-11-20 04:21:00,30.01,30.06,30.01,30.06,5.011
2022-11-20 04:30:00,30.06,30.08,30.06,30.08,12.907
2022-11-20 04:34:00,30.08,30.08,30.08,30.08,12.396
2022-11-20 04:35:00,30.08,30.08,30.08,30.08,12.163
2022-11-20 04:52:00,30.04,30.14,30.04,30.05,79.866
2022-11-20 05:15:00,30.11,30.13,30.11,30.13,26.71
2022-11-20 05:27:00,30.1,30.17,30.1,30.17,12.076
2022-11-20 05:36:00,30.16,30.18,30.17,30.16,3.171
2022-11-20 05:44:00,30.18,30.19,30.18,30.19,0.194
2022-11-20 05:49:00,30.17,30.18,30.18,30.17,0.175
2022-11-20 05:55:00,29.97,30.18,30.17,29.97,590.712
2022-11-20 06:00:00,30.17,30.19,30.17,30.19,0.686
2022-11-20 06:02:00,30.14,30.17,30.14,30.17,0.415
2022-11-20 06:15:00,30.17,30.23,30.17,30.23,32.332
2022-11-20 06:31:00,30.18,30.21,30.21,30.18,0.745
2022-11-20 06:33:00,30.17,30.23,30.17,30.23,1.631
2022-11-20 06:35:00,30.23,30.23,30.23,30.23,0.511
2022-11-20 06:46:00,30.18,30.19,30.19,30.18,1.989
2022-11-20 06:50:00,30.18,30.24,30.18,30.24,2.642
2022-11-20 07:17:00,30.22,30.25,30.24,30.22,21.528
2022-11-20 07:25:00,30.21,30.24,30.21,30.24,1.94
2022-11-20 07:35:00,30.18,30.21,30.2,30.18,46.555
2022-11-20 07:39:00,30.07,30.08,30.08,30.07,0.975
2022-11-20 07:41:00,30.05,30.11,30.11,30.05,28.207
2022-11-20 08:21:00,30.06,30.09,30.08,30.06,30.568
2022-11-20 08:30:00,30.01,30.02,30.01,30.02,2.4
2022-11-20 08:42:00,29.9,29.96,29.96,29.9,0.977
2022-11-20 08:43:00,29.81,29.89,29.84,29.81,5.073
2022-11-20 08:44:00,29.8,29.83,29.8,29.83,2.884
2022-11-20 08:55:00,29.83,29.83,29.83,29.83,0.11
2022-11-20 09:08:00,29.83,29.87,29.83,29.87,0.237
