time,low,high,open,close,volume
2022-11-28 19:31:00,0.4099,0.4111,0.4099,0.4111,332.27
2022-11-28 19:33:00,0.4096,0.4111,0.4096,0.4111,500.52
2022-11-28 19:38:00,0.4096,0.4097,0.4097,0.4096,114.4
2022-11-28 19:39:00,0.4083,0.4101,0.41,0.4092,24159.25
2022-11-28 19:42:00,0.4088,0.4096,0.4088,0.4091,4682.17
2022-11-28 19:44:00,0.409,0.4106,0.409,0.4098,2654.2
2022-11-28 19:45:00,0.4102,0.4111,0.4102,0.4111,277.17
2022-11-28 19:48:00,0.4091,0.4099,0.4099,0.4091,2939.0
2022-11-28 19:50:00,0.409,0.4091,0.4091,0.409,1423.43
2022-11-28 19:52:00,0.4075,0.4099,0.4098,0.4075,3756.4
2022-11-28 19:53:00,0.4082,0.4096,0.4082,0.4096,281.11
2022-11-28 19:56:00,0.4096,0.4097,0.4096,0.4097,662.4
2022-11-28 19:58:00,0.4083,0.409,0.4087,0.4089,2818.28
2022-11-28 20:03:00,0.4095,0.41,0.4095,0.41,747.74
2022-11-28 20:08:00,0.4104,0.4139,0.4104,0.4139,6883.7
2022-11-28 20:09:00,0.4123,0.4125,0.4125,0.4124,245.8
2022-11-28 20:12:00,0.4102,0.4126,0.4126,0.4102,510.84
2022-11-28 20:18:00,0.4104,0.4121,0.4105,0.4121,225.52
2022-11-28 20:22:00,0.4108,0.412,0.412,0.4111,625.06
2022-11-28 20:23:00,0.4103,0.4105,0.4105,0.4103,982.45
2022-11-28 20:25:00,0.4073,0.4107,0.4106,0.4073,6615.41
2022-11-28 20:26:00,0.4069,0.407,0.407,0.4069,102.58
2022-11-28 20:27:00,0.407,0.4089,0.407,0.4089,488.52
2022-11-28 20:31:00,0.4089,0.4117,0.4089,0.4117,1398.02
2022-11-28 20:34:00,0.4112,0.4112,0.4112,0.4112,19.24
2022-11-28 20:36:00,0.4106,0.4126,0.412,0.4126,921.6
2022-11-28 20:47:00,0.4103,0.4121,0.4121,0.4117,4048.19
2022-11-28 20:49:00,0.4122,0.4123,0.4122,0.4123,184.61
2022-11-28 20:53:00,0.4111,0.4113,0.4113,0.4112,101.68
2022-11-28 20:56:00,0.4104,0.4104,0.4104,0.4104,14.16
2022-11-28 20:57:00,0.4112,0.4121,0.4113,0.4113,189.58
2022-11-28 20:59:00,0.4125,0.4143,0.4133,0.4125,2428.77
2022-11-28 21:02:00,0.4132,0.4132,0.4132,0.4132,24.83
