time,low,high,open,close,volume
2023-01-27 18:37:00,1.093,1.094,1.093,1.094,983.343
2023-01-27 18:41:00,1.095,1.096,1.096,1.095,1561.085
2023-01-27 18:42:00,1.096,1.096,1.096,1.096,284.586
2023-01-27 18:43:00,1.095,1.095,1.095,1.095,99.0
2023-01-27 18:45:00,1.096,1.096,1.096,1.096,823.783
2023-01-27 18:47:00,1.096,1.097,1.097,1.096,369.926
2023-01-27 18:49:00,1.096,1.096,1.096,1.096,249.033
2023-01-27 18:50:00,1.095,1.098,1.096,1.095,1376.524
2023-01-27 18:51:00,1.094,1.095,1.094,1.094,487.514
2023-01-27 18:54:00,1.094,1.094,1.094,1.094,1587.698
2023-01-27 18:55:00,1.094,1.095,1.095,1.094,5067.394
2023-01-27 18:56:00,1.095,1.095,1.095,1.095,1022.778
2023-01-27 19:01:00,1.093,1.096,1.096,1.093,441.83
2023-01-27 19:02:00,1.093,1.096,1.093,1.096,4104.797
2023-01-27 19:03:00,1.095,1.097,1.095,1.097,4758.627
2023-01-27 19:04:00,1.097,1.099,1.099,1.097,997.244
2023-01-27 19:07:00,1.097,1.098,1.098,1.097,793.943
2023-01-27 19:08:00,1.098,1.099,1.098,1.099,282.673
2023-01-27 19:12:00,1.098,1.099,1.098,1.099,1478.745
2023-01-27 19:13:00,1.097,1.099,1.097,1.099,664.676
2023-01-27 19:16:00,1.097,1.1,1.1,1.097,327.168
2023-01-27 19:23:00,1.098,1.099,1.098,1.099,1025.0
2023-01-27 19:28:00,1.098,1.098,1.098,1.098,1.022
2023-01-27 19:29:00,1.097,1.097,1.097,1.097,160.0
2023-01-27 19:31:00,1.096,1.099,1.099,1.097,1129.403
2023-01-27 19:33:00,1.097,1.098,1.098,1.097,910.573
2023-01-27 19:37:00,1.096,1.097,1.097,1.096,115.63
2023-01-27 19:41:00,1.091,1.098,1.098,1.092,10256.185
2023-01-27 19:42:00,1.091,1.092,1.092,1.091,880.0
2023-01-27 19:43:00,1.091,1.093,1.091,1.093,546.883
2023-01-27 19:45:00,1.088,1.091,1.091,1.088,2675.839
2023-01-27 19:46:00,1.089,1.092,1.089,1.092,481.624
2023-01-27 19:47:00,1.09,1.091,1.091,1.09,542.968
2023-01-27 19:49:00,1.087,1.089,1.089,1.087,4932.866
2023-01-27 19:51:00,1.088,1.088,1.088,1.088,1363.842
2023-01-27 19:56:00,1.085,1.086,1.086,1.085,209.099
2023-01-27 20:01:00,1.092,1.092,1.092,1.092,4459.39
2023-01-27 20:02:00,1.089,1.091,1.091,1.091,53.708
2023-01-27 20:06:00,1.092,1.097,1.092,1.095,626.459
2023-01-27 20:09:00,1.093,1.098,1.094,1.098,5361.851
2023-01-27 20:11:00,1.096,1.097,1.097,1.096,1125.936
2023-01-27 20:13:00,1.091,1.094,1.094,1.091,2013.15
2023-01-27 20:14:00,1.088,1.093,1.093,1.088,1351.628
2023-01-27 20:17:00,1.087,1.088,1.087,1.088,1165.675
2023-01-27 20:18:00,1.09,1.091,1.09,1.091,1445.586
2023-01-27 20:20:00,1.091,1.092,1.091,1.092,1271.4
2023-01-27 20:22:00,1.092,1.092,1.092,1.092,53.703
2023-01-27 20:23:00,1.093,1.104,1.093,1.103,22997.884
2023-01-27 20:24:00,1.102,1.103,1.102,1.103,1028.794
2023-01-27 20:27:00,1.102,1.102,1.102,1.102,90.58
2023-01-27 20:28:00,1.104,1.106,1.105,1.104,2315.24
2023-01-27 20:30:00,1.1,1.1,1.1,1.1,361.323
2023-01-27 20:31:00,1.1,1.102,1.102,1.102,1160.134
2023-01-27 20:33:00,1.097,1.101,1.101,1.097,2783.58
2023-01-27 20:36:00,1.097,1.099,1.099,1.097,3.551
2023-01-27 20:38:00,1.098,1.099,1.099,1.099,162.809
2023-01-27 20:41:00,1.095,1.1,1.099,1.095,5582.013
2023-01-27 20:42:00,1.096,1.098,1.096,1.098,492.968
2023-01-27 20:43:00,1.096,1.096,1.096,1.096,18.087
2023-01-27 20:45:00,1.094,1.096,1.094,1.096,446.624
2023-01-27 20:46:00,1.085,1.093,1.093,1.088,3258.273
2023-01-27 20:48:00,1.09,1.09,1.09,1.09,1216.046
2023-01-27 20:52:00,1.087,1.09,1.09,1.087,481.038
2023-01-27 20:53:00,1.085,1.086,1.086,1.085,241.169
2023-01-27 20:54:00,1.083,1.085,1.083,1.085,4.12
2023-01-27 20:55:00,1.084,1.085,1.085,1.084,342.488
2023-01-27 20:57:00,1.074,1.082,1.081,1.082,6336.222
2023-01-27 20:59:00,1.082,1.082,1.082,1.082,250.0
2023-01-27 21:00:00,1.077,1.079,1.078,1.079,3785.008
2023-01-27 21:02:00,1.073,1.077,1.075,1.076,1851.252
2023-01-27 21:03:00,1.077,1.078,1.077,1.078,2674.969
2023-01-27 21:06:00,1.08,1.083,1.08,1.083,2844.395
2023-01-27 21:07:00,1.084,1.088,1.084,1.086,4333.168
2023-01-27 21:08:00,1.083,1.087,1.085,1.084,5745.37
2023-01-27 21:09:00,1.082,1.083,1.083,1.082,957.155
2023-01-27 21:11:00,1.079,1.082,1.082,1.079,79.186
2023-01-27 21:12:00,1.079,1.084,1.079,1.084,1585.835
2023-01-27 21:17:00,1.082,1.085,1.083,1.082,323.674
2023-01-27 21:19:00,1.08,1.08,1.08,1.08,1.173
2023-01-27 21:20:00,1.079,1.081,1.079,1.081,249.213
2023-01-27 21:22:00,1.08,1.082,1.08,1.082,171.961
2023-01-27 21:24:00,1.08,1.08,1.08,1.08,160.0
2023-01-27 21:25:00,1.082,1.082,1.082,1.082,46.79
2023-01-27 21:27:00,1.079,1.082,1.082,1.079,324.575
2023-01-27 21:31:00,1.079,1.082,1.082,1.079,299.754
2023-01-27 21:36:00,1.08,1.084,1.08,1.084,271.485
2023-01-27 21:38:00,1.085,1.085,1.085,1.085,54.456
2023-01-27 21:39:00,1.083,1.087,1.083,1.087,173.455
2023-01-27 21:40:00,1.086,1.087,1.087,1.086,1291.495
2023-01-27 21:41:00,1.084,1.085,1.085,1.084,114.889
2023-01-27 21:42:00,1.084,1.087,1.084,1.087,436.017
2023-01-27 21:43:00,1.084,1.088,1.088,1.084,2417.69
2023-01-27 21:45:00,1.082,1.082,1.082,1.082,199.672
2023-01-27 21:46:00,1.078,1.081,1.081,1.078,917.034
2023-01-27 21:48:00,1.08,1.082,1.08,1.082,855.55
2023-01-27 21:50:00,1.081,1.081,1.081,1.081,1216.268
2023-01-27 21:51:00,1.078,1.084,1.081,1.078,28.231
2023-01-27 21:54:00,1.078,1.08,1.08,1.078,1528.617
2023-01-27 21:56:00,1.077,1.077,1.077,1.077,895.221
2023-01-27 21:57:00,1.078,1.08,1.078,1.08,5606.165
2023-01-27 22:00:00,1.076,1.078,1.076,1.078,172.234
2023-01-27 22:02:00,1.078,1.079,1.079,1.078,462.91
2023-01-27 22:04:00,1.076,1.077,1.077,1.076,3484.523
2023-01-27 22:05:00,1.075,1.076,1.076,1.075,929.532
2023-01-27 22:07:00,1.071,1.075,1.075,1.071,386.028
2023-01-27 22:09:00,1.07,1.07,1.07,1.07,1.043
2023-01-27 22:10:00,1.068,1.069,1.069,1.069,2663.192
2023-01-27 22:12:00,1.069,1.071,1.069,1.071,1493.635
2023-01-27 22:18:00,1.07,1.072,1.07,1.072,936.324
2023-01-27 22:20:00,1.073,1.073,1.073,1.073,164.637
2023-01-27 22:28:00,1.073,1.073,1.073,1.073,160.0
2023-01-27 22:29:00,1.074,1.076,1.074,1.075,163.76
2023-01-27 22:31:00,1.072,1.074,1.074,1.074,161.026
2023-01-27 22:33:00,1.073,1.074,1.074,1.073,592.206
2023-01-27 22:34:00,1.071,1.073,1.071,1.073,164.637
2023-01-27 22:36:00,1.072,1.074,1.074,1.072,170.0
2023-01-27 22:37:00,1.073,1.073,1.073,1.073,7.5
2023-01-27 22:38:00,1.072,1.073,1.072,1.073,1496.205
2023-01-27 22:40:00,1.072,1.072,1.072,1.072,273.171
2023-01-27 22:43:00,1.069,1.071,1.071,1.069,244.71
2023-01-27 22:47:00,1.068,1.068,1.068,1.068,160.0
2023-01-27 22:48:00,1.07,1.071,1.07,1.071,167.898
2023-01-27 22:50:00,1.071,1.072,1.072,1.071,1779.393
2023-01-27 22:53:00,1.07,1.071,1.07,1.071,294.338
2023-01-27 22:55:00,1.069,1.071,1.071,1.069,1290.435
2023-01-27 22:56:00,1.071,1.071,1.071,1.071,910.221
2023-01-27 22:57:00,1.068,1.07,1.07,1.068,837.567
2023-01-27 23:01:00,1.067,1.069,1.067,1.069,1082.979
2023-01-27 23:06:00,1.068,1.07,1.07,1.068,493.421
2023-01-27 23:07:00,1.067,1.067,1.067,1.067,10295.649
2023-01-27 23:09:00,1.068,1.068,1.068,1.068,327.653
2023-01-27 23:11:00,1.069,1.071,1.069,1.071,20.002
2023-01-27 23:15:00,1.072,1.073,1.072,1.073,1907.428
2023-01-27 23:16:00,1.073,1.073,1.073,1.073,729.43
2023-01-27 23:17:00,1.073,1.075,1.074,1.075,1211.563
2023-01-27 23:19:00,1.076,1.076,1.076,1.076,39.984
2023-01-27 23:20:00,1.075,1.077,1.075,1.077,968.947
2023-01-27 23:25:00,1.078,1.08,1.078,1.08,573.698
2023-01-27 23:26:00,1.081,1.083,1.081,1.083,348.963
2023-01-27 23:29:00,1.082,1.083,1.083,1.082,164.516
2023-01-27 23:31:00,1.079,1.081,1.081,1.079,3732.344
2023-01-27 23:32:00,1.081,1.082,1.081,1.082,184.972
2023-01-27 23:33:00,1.081,1.088,1.082,1.088,9873.322
2023-01-27 23:34:00,1.086,1.087,1.087,1.086,3190.777
2023-01-27 23:35:00,1.086,1.088,1.086,1.087,1424.253
2023-01-27 23:36:00,1.088,1.089,1.088,1.089,908.757
2023-01-27 23:40:00,1.086,1.087,1.087,1.086,10.079
2023-01-27 23:44:00,1.084,1.085,1.084,1.085,3558.636
2023-01-27 23:45:00,1.085,1.085,1.085,1.085,3532.385
2023-01-27 23:46:00,1.086,1.087,1.086,1.087,1509.842
2023-01-27 23:47:00,1.087,1.088,1.088,1.087,1062.986
2023-01-27 23:48:00,1.086,1.087,1.087,1.086,3739.457
2023-01-27 23:49:00,1.087,1.089,1.087,1.089,2507.0
2023-01-27 23:50:00,1.087,1.087,1.087,1.087,218.934
2023-01-27 23:51:00,1.087,1.088,1.087,1.088,827.229
2023-01-27 23:55:00,1.087,1.087,1.087,1.087,622.085
2023-01-27 23:56:00,1.087,1.088,1.087,1.088,1244.187
2023-01-27 23:59:00,1.087,1.088,1.087,1.088,1043.643
2023-01-28 00:00:00,1.089,1.089,1.089,1.089,159.594
2023-01-28 00:03:00,1.09,1.091,1.09,1.091,2828.146
2023-01-28 00:05:00,1.089,1.089,1.089,1.089,474.092
2023-01-28 00:06:00,1.089,1.089,1.089,1.089,972.492
2023-01-28 00:08:00,1.086,1.087,1.087,1.086,482.393
2023-01-28 00:09:00,1.082,1.085,1.085,1.082,515.359
2023-01-28 00:10:00,1.08,1.081,1.081,1.08,405.808
2023-01-28 00:14:00,1.081,1.082,1.081,1.082,320.0
2023-01-28 00:17:00,1.082,1.086,1.084,1.086,137.134
2023-01-28 00:19:00,1.085,1.087,1.086,1.085,647.341
2023-01-28 00:21:00,1.089,1.09,1.089,1.09,193.544
2023-01-28 00:24:00,1.092,1.093,1.092,1.093,4.098
2023-01-28 00:26:00,1.093,1.093,1.093,1.093,446.134
2023-01-28 00:27:00,1.091,1.093,1.091,1.093,117.861
2023-01-28 00:28:00,1.094,1.096,1.094,1.096,408.369
2023-01-28 00:32:00,1.093,1.097,1.093,1.097,4514.988
2023-01-28 00:34:00,1.096,1.099,1.098,1.096,1001.769
2023-01-28 00:36:00,1.099,1.101,1.099,1.099,410.884
2023-01-28 00:37:00,1.102,1.102,1.102,1.102,500.0
2023-01-28 00:38:00,1.103,1.105,1.103,1.105,684.511
2023-01-28 00:40:00,1.101,1.103,1.101,1.103,168.741
2023-01-28 00:43:00,1.107,1.116,1.107,1.116,11875.972
2023-01-28 00:45:00,1.113,1.118,1.116,1.113,5929.251
2023-01-28 00:46:00,1.113,1.113,1.113,1.113,43.251
2023-01-28 00:47:00,1.112,1.113,1.112,1.113,63.297
2023-01-28 00:51:00,1.111,1.112,1.112,1.111,2777.624
2023-01-28 00:53:00,1.107,1.109,1.109,1.109,3192.514
2023-01-28 00:55:00,1.108,1.109,1.108,1.109,148.763
2023-01-28 00:56:00,1.107,1.11,1.109,1.11,1936.758
2023-01-28 01:00:00,1.108,1.109,1.108,1.109,723.92
