time,low,high,open,close,volume
2022-11-19 15:15:00,1.051,1.082,1.053,1.073,4999.77
2022-11-19 15:18:00,1.066,1.068,1.068,1.068,552.98
2022-11-19 15:23:00,1.068,1.068,1.068,1.068,60.45
2022-11-19 15:24:00,1.068,1.069,1.068,1.069,223.02
2022-11-19 15:27:00,1.067,1.07,1.07,1.067,1516.23
2022-11-19 15:31:00,1.062,1.065,1.065,1.062,217.14
2022-11-19 15:37:00,1.062,1.063,1.062,1.063,118.19
2022-11-19 15:44:00,1.061,1.061,1.061,1.061,82.41
2022-11-19 15:46:00,1.063,1.064,1.063,1.064,219.56
2022-11-19 15:53:00,1.058,1.062,1.061,1.058,922.09
2022-11-19 15:55:00,1.059,1.062,1.061,1.059,89.28
2022-11-19 16:02:00,1.059,1.06,1.059,1.06,262.28
2022-11-19 16:07:00,1.062,1.068,1.062,1.068,75.6
2022-11-19 16:17:00,1.066,1.066,1.066,1.066,60.25
2022-11-19 16:18:00,1.062,1.062,1.062,1.062,108.44
2022-11-19 16:33:00,1.064,1.064,1.064,1.064,50.0
2022-11-19 16:40:00,1.06,1.064,1.06,1.064,225.25
2022-11-19 16:48:00,1.066,1.067,1.067,1.066,66.22
2022-11-19 16:54:00,1.067,1.067,1.067,1.067,280.32
2022-11-19 17:14:00,1.062,1.062,1.062,1.062,110.0
2022-11-19 17:27:00,1.061,1.061,1.061,1.061,132.46
2022-11-19 17:29:00,1.058,1.062,1.062,1.058,30.59
2022-11-19 17:59:00,1.052,1.058,1.058,1.052,172.19
2022-11-19 18:16:00,1.052,1.052,1.052,1.052,241.81
2022-11-19 18:18:00,1.05,1.052,1.05,1.052,432.78
2022-11-19 18:30:00,1.052,1.052,1.052,1.052,48.68
2022-11-19 18:38:00,1.052,1.053,1.053,1.052,0.32
2022-11-19 19:24:00,1.049,1.05,1.05,1.049,167.09
2022-11-19 19:43:00,1.049,1.05,1.05,1.05,1215.77
2022-11-19 19:51:00,1.047,1.05,1.05,1.047,6.57
2022-11-19 20:04:00,1.046,1.05,1.05,1.046,625.14
2022-11-19 20:43:00,1.047,1.049,1.047,1.049,76.55
2022-11-19 21:08:00,1.049,1.052,1.049,1.052,142.8
2022-11-19 21:31:00,1.044,1.048,1.047,1.044,110.21
2022-11-19 21:53:00,1.047,1.047,1.047,1.047,1.87
2022-11-19 22:04:00,1.047,1.047,1.047,1.047,6.56
2022-11-19 22:15:00,1.054,1.058,1.054,1.058,445.59
2022-11-19 22:18:00,1.059,1.069,1.059,1.069,890.52
2022-11-19 22:28:00,1.064,1.066,1.066,1.064,153.63
2022-11-19 22:38:00,1.061,1.064,1.064,1.061,725.81
2022-11-19 22:40:00,1.061,1.061,1.061,1.061,293.74
2022-11-19 22:44:00,1.061,1.061,1.061,1.061,69.47
2022-11-19 23:00:00,1.053,1.056,1.053,1.056,178.88
2022-11-19 23:22:00,1.051,1.053,1.053,1.051,160.34
2022-11-19 23:33:00,1.052,1.057,1.053,1.052,586.32
2022-11-20 00:01:00,1.054,1.055,1.055,1.055,415.72
2022-11-20 00:07:00,1.054,1.055,1.054,1.055,409.46
2022-11-20 00:12:00,1.053,1.055,1.055,1.053,303.72
2022-11-20 00:13:00,1.046,1.051,1.051,1.046,2381.82
2022-11-20 00:35:00,1.049,1.05,1.05,1.049,364.58
2022-11-20 00:42:00,1.049,1.051,1.051,1.049,448.31
2022-11-20 00:49:00,1.049,1.053,1.049,1.053,342.31
2022-11-20 00:51:00,1.053,1.054,1.053,1.054,418.84
2022-11-20 00:53:00,1.055,1.064,1.055,1.064,1321.7
2022-11-20 00:54:00,1.06,1.065,1.06,1.064,343.0
2022-11-20 01:01:00,1.069,1.069,1.069,1.069,4.63
2022-11-20 01:06:00,1.069,1.079,1.069,1.079,666.6
2022-11-20 01:13:00,1.076,1.076,1.076,1.076,0.91
2022-11-20 01:14:00,1.072,1.073,1.073,1.073,1195.22
2022-11-20 01:18:00,1.072,1.074,1.073,1.072,749.98
2022-11-20 01:23:00,1.07,1.07,1.07,1.07,143.11
2022-11-20 01:26:00,1.057,1.07,1.07,1.057,3562.35
2022-11-20 01:31:00,1.06,1.063,1.06,1.063,470.89
2022-11-20 01:44:00,1.063,1.064,1.063,1.063,752.89
2022-11-20 01:49:00,1.066,1.069,1.066,1.069,598.52
2022-11-20 01:53:00,1.071,1.073,1.072,1.071,1633.22
2022-11-20 01:58:00,1.063,1.07,1.07,1.063,1230.24
2022-11-20 02:03:00,1.066,1.066,1.066,1.066,0.93
2022-11-20 02:07:00,1.063,1.064,1.063,1.063,378.27
2022-11-20 02:26:00,1.063,1.063,1.063,1.063,58.43
2022-11-20 02:27:00,1.062,1.065,1.062,1.065,471.03
2022-11-20 02:54:00,1.066,1.066,1.066,1.066,71.44
2022-11-20 03:10:00,1.062,1.064,1.062,1.064,16.16
2022-11-20 03:13:00,1.064,1.064,1.064,1.064,97.74
2022-11-20 03:16:00,1.064,1.064,1.064,1.064,4.59
2022-11-20 03:41:00,1.069,1.081,1.069,1.081,152.23
2022-11-20 03:52:00,1.082,1.087,1.082,1.087,257.84
2022-11-20 03:53:00,1.089,1.089,1.089,1.089,10.0
