time,low,high,open,close,volume
2022-12-28 18:38:00,0.971,0.972,0.971,0.972,100.94
2022-12-28 18:42:00,0.971,0.974,0.974,0.971,2.06
2022-12-28 19:33:00,0.968,0.969,0.968,0.969,508.65
2022-12-28 19:50:00,0.965,0.968,0.968,0.965,25.2
2022-12-28 20:14:00,0.968,0.968,0.968,0.968,131.85
2022-12-28 20:57:00,0.964,0.964,0.964,0.964,39.04
2022-12-28 21:00:00,0.963,0.964,0.964,0.964,1173.44
2022-12-28 21:27:00,0.963,0.964,0.964,0.963,111.3
2022-12-28 21:43:00,0.96,0.96,0.96,0.96,104.0
2022-12-28 22:00:00,0.956,0.957,0.957,0.956,74.63
2022-12-28 22:28:00,0.954,0.957,0.957,0.954,99.6
2022-12-28 22:33:00,0.956,0.957,0.956,0.956,247.12
2022-12-28 22:42:00,0.956,0.957,0.956,0.957,293.03
2022-12-28 22:56:00,0.956,0.956,0.956,0.956,31.68
2022-12-28 22:57:00,0.956,0.959,0.956,0.959,84.55
2022-12-28 23:09:00,0.96,0.965,0.96,0.965,577.74
2022-12-28 23:18:00,0.963,0.967,0.966,0.963,863.46
2022-12-28 23:39:00,0.962,0.966,0.966,0.962,11.35
2022-12-28 23:48:00,0.961,0.963,0.962,0.961,626.83
2022-12-28 23:57:00,0.96,0.961,0.961,0.96,174.24
2022-12-29 00:00:00,0.96,0.96,0.96,0.96,92.49
2022-12-29 00:09:00,0.96,0.961,0.96,0.961,45.39
2022-12-29 00:12:00,0.96,0.961,0.961,0.96,68.49
2022-12-29 00:22:00,0.959,0.96,0.96,0.96,1737.11
2022-12-29 00:35:00,0.96,0.966,0.96,0.966,20.72
2022-12-29 01:26:00,0.961,0.962,0.962,0.961,303.69
2022-12-29 02:28:00,0.957,0.96,0.959,0.96,1653.69
2022-12-29 03:12:00,0.958,0.96,0.96,0.958,100.92
2022-12-29 04:02:00,0.959,0.961,0.961,0.959,380.91
2022-12-29 04:53:00,0.963,0.964,0.963,0.963,1068.79
2022-12-29 05:33:00,0.961,0.963,0.961,0.962,249.13
2022-12-29 06:14:00,0.961,0.962,0.962,0.962,476.07
2022-12-29 06:42:00,0.958,0.96,0.96,0.958,488.09
2022-12-29 06:47:00,0.952,0.958,0.957,0.958,2027.25
2022-12-29 07:17:00,0.957,0.958,0.958,0.958,150.14
2022-12-29 07:29:00,0.958,0.959,0.958,0.958,850.24
2022-12-29 07:32:00,0.953,0.955,0.955,0.953,357.07
2022-12-29 08:28:00,0.95,0.953,0.953,0.952,2561.95
2022-12-29 09:24:00,0.953,0.954,0.953,0.954,384.98
2022-12-29 09:50:00,0.952,0.957,0.957,0.952,733.04
2022-12-29 10:49:00,0.95,0.952,0.952,0.95,1117.22
2022-12-29 11:39:00,0.951,0.954,0.951,0.954,922.05
2022-12-29 12:04:00,0.955,0.956,0.955,0.955,408.12
