time,low,high,open,close,volume
2022-11-19 16:06:00,43.22,43.24,43.22,43.24,1.1284
2022-11-19 16:13:00,43.22,43.23,43.23,43.22,0.1374
2022-11-19 16:20:00,43.21,43.22,43.22,43.21,2.9575
2022-11-19 16:21:00,43.21,43.22,43.21,43.22,0.1942
2022-11-19 16:30:00,43.21,43.21,43.21,43.21,2.244
2022-11-19 16:33:00,43.21,43.21,43.21,43.21,0.6908
2022-11-19 16:42:00,43.08,43.2,43.2,43.16,21.5206
2022-11-19 16:45:00,43.15,43.16,43.15,43.15,2.928
2022-11-19 17:00:00,43.09,43.16,43.14,43.16,6.1409
2022-11-19 17:19:00,43.09,43.12,43.1,43.12,5.0392
2022-11-19 17:27:00,43.15,43.16,43.15,43.16,1.1071
2022-11-19 17:37:00,43.07,43.13,43.07,43.1,2.4519
2022-11-19 17:52:00,43.08,43.13,43.08,43.13,0.0495
2022-11-19 17:53:00,43.07,43.17,43.07,43.17,0.0448
2022-11-19 17:55:00,43.07,43.08,43.07,43.07,7.8829
2022-11-19 17:58:00,43.06,43.07,43.07,43.06,0.0355
2022-11-19 18:07:00,43.01,43.07,43.01,43.07,1.398
2022-11-19 18:22:00,43.06,43.07,43.07,43.06,0.0925
2022-11-19 18:23:00,43.0,43.05,43.05,43.0,4.6214
2022-11-19 18:27:00,43.0,43.02,43.0,43.01,2.1902
2022-11-19 18:30:00,43.01,43.01,43.01,43.01,1.08
2022-11-19 18:31:00,43.0,43.0,43.0,43.0,0.0395
2022-11-19 18:40:00,43.0,43.0,43.0,43.0,1.85
2022-11-19 18:42:00,43.01,43.05,43.05,43.01,3.0172
2022-11-19 18:55:00,43.0,43.04,43.04,43.0,3.244
2022-11-19 18:59:00,43.0,43.15,43.05,43.0,24.7849
2022-11-19 19:09:00,43.01,43.04,43.04,43.01,2.8718
2022-11-19 19:18:00,43.03,43.03,43.03,43.03,0.3656
2022-11-19 19:19:00,43.03,43.03,43.03,43.03,5.1113
2022-11-19 19:24:00,43.04,43.04,43.04,43.04,1.2275
2022-11-19 19:29:00,43.04,43.04,43.04,43.04,1.002
2022-11-19 19:30:00,43.07,43.08,43.08,43.07,0.3107
2022-11-19 19:38:00,43.15,43.18,43.17,43.18,11.534
2022-11-19 19:39:00,43.09,43.21,43.17,43.09,15.3932
2022-11-19 19:48:00,43.08,43.18,43.14,43.18,26.2655
2022-11-19 19:53:00,43.13,43.19,43.19,43.13,1.1913
2022-11-19 19:56:00,43.21,43.21,43.21,43.21,4.2933
2022-11-19 20:03:00,43.24,43.25,43.25,43.24,1.024
