time,low,high,open,close,volume
2022-12-28 17:53:00,39.36,39.37,39.36,39.37,12.4394
2022-12-28 17:57:00,39.37,39.39,39.37,39.39,7.263
2022-12-28 18:16:00,39.45,39.46,39.46,39.45,0.6426
2022-12-28 18:17:00,39.45,39.45,39.45,39.45,10.6471
2022-12-28 18:18:00,39.45,39.45,39.45,39.45,6.6232
2022-12-28 18:22:00,39.4,39.44,39.4,39.44,0.7618
2022-12-28 18:23:00,39.41,39.44,39.44,39.41,5.6071
2022-12-28 18:24:00,39.43,39.44,39.43,39.44,7.3504
2022-12-28 18:25:00,39.39,39.39,39.39,39.39,0.2692
2022-12-28 18:26:00,39.37,39.42,39.42,39.37,4.4483
2022-12-28 18:31:00,39.4,39.42,39.41,39.42,8.6402
2022-12-28 18:35:00,39.36,39.4,39.4,39.36,0.3224
2022-12-28 18:39:00,39.34,39.43,39.43,39.34,2.019
2022-12-28 18:42:00,39.35,39.36,39.36,39.35,0.2695
2022-12-28 18:49:00,39.34,39.34,39.34,39.34,0.1494
2022-12-28 18:52:00,39.3,39.33,39.3,39.33,10.4374
2022-12-28 18:54:00,39.34,39.39,39.34,39.38,9.6376
2022-12-28 18:56:00,39.35,39.37,39.37,39.35,12.4391
2022-12-28 19:02:00,39.34,39.37,39.36,39.34,7.584
2022-12-28 19:06:00,39.33,39.41,39.41,39.33,9.1374
2022-12-28 19:11:00,39.35,39.35,39.35,39.35,0.2475
2022-12-28 19:14:00,39.29,39.4,39.29,39.4,6.2762
2022-12-28 19:17:00,39.42,39.42,39.42,39.42,4.8804
2022-12-28 19:18:00,39.4,39.41,39.4,39.41,0.747
2022-12-28 19:23:00,39.41,39.42,39.42,39.41,1.743
2022-12-28 19:24:00,39.4,39.4,39.4,39.4,0.2988
2022-12-28 19:26:00,39.38,39.42,39.4,39.41,12.5987
2022-12-28 19:30:00,39.42,39.42,39.42,39.42,0.0498
2022-12-28 19:33:00,39.45,39.53,39.45,39.53,2.7816
2022-12-28 19:40:00,39.58,39.6,39.6,39.58,3.2105
2022-12-28 19:47:00,39.54,39.62,39.62,39.54,6.7688
2022-12-28 19:56:00,39.35,39.44,39.35,39.39,25.1317
2022-12-28 20:06:00,39.39,39.39,39.39,39.39,1.06
2022-12-28 20:09:00,39.28,39.35,39.28,39.35,2.2142
2022-12-28 20:19:00,39.38,39.41,39.38,39.41,7.7331
2022-12-28 20:26:00,39.36,39.37,39.36,39.37,1.3365
2022-12-28 20:27:00,39.31,39.37,39.36,39.31,12.2191
2022-12-28 20:43:00,39.09,39.33,39.33,39.09,264.5658
2022-12-28 20:45:00,39.12,39.13,39.12,39.13,1.2149
2022-12-28 20:48:00,39.12,39.13,39.12,39.13,20.5065
2022-12-28 20:49:00,39.12,39.13,39.12,39.13,13.2931
2022-12-28 20:54:00,39.08,39.13,39.08,39.13,0.965
2022-12-28 20:59:00,39.12,39.13,39.12,39.13,2.0199
2022-12-28 21:03:00,39.12,39.12,39.12,39.12,6.2063
2022-12-28 21:04:00,39.12,39.13,39.12,39.13,2.7969
2022-12-28 21:06:00,38.98,39.12,39.12,38.98,0.2083
2022-12-28 21:08:00,39.04,39.09,39.09,39.04,1.8264
2022-12-28 21:16:00,39.03,39.09,39.09,39.03,1.0455
2022-12-28 21:25:00,38.87,39.01,39.01,38.87,121.359
2022-12-28 21:28:00,38.87,38.87,38.87,38.87,0.0268
2022-12-28 21:30:00,38.95,39.02,38.95,39.02,2.5054
2022-12-28 21:33:00,38.9,38.96,38.96,38.9,2.5921
2022-12-28 21:35:00,38.9,38.9,38.9,38.9,2.2691
2022-12-28 21:36:00,38.84,38.92,38.92,38.84,2.1494
2022-12-28 21:41:00,38.84,38.84,38.84,38.84,0.0996
2022-12-28 21:42:00,38.84,38.85,38.84,38.85,1.2188
2022-12-28 21:47:00,38.76,38.84,38.84,38.77,25.2585
2022-12-28 21:48:00,38.8,38.82,38.82,38.82,6.2576
2022-12-28 21:53:00,38.79,38.81,38.79,38.81,13.0073
2022-12-28 21:57:00,38.8,38.8,38.8,38.8,2.7507
2022-12-28 21:58:00,38.79,38.79,38.79,38.79,0.3126
2022-12-28 21:59:00,38.8,38.84,38.8,38.84,3.3701
2022-12-28 22:04:00,38.78,38.85,38.84,38.78,21.5033
2022-12-28 22:09:00,38.74,38.78,38.74,38.78,1.3131
2022-12-28 22:13:00,38.76,38.85,38.76,38.85,12.4794
2022-12-28 22:17:00,38.81,38.81,38.81,38.81,0.8323
2022-12-28 22:18:00,38.81,38.84,38.81,38.84,2.7986
2022-12-28 22:30:00,38.77,38.97,38.77,38.97,126.4574
2022-12-28 22:33:00,38.88,38.97,38.89,38.97,26.9275
2022-12-28 22:48:00,38.93,38.94,38.94,38.93,0.6383
2022-12-28 22:52:00,38.89,38.94,38.89,38.94,13.5695
2022-12-28 22:55:00,38.88,38.94,38.94,38.88,4.1135
2022-12-28 22:56:00,38.93,38.93,38.93,38.93,2.009
2022-12-28 23:06:00,39.02,39.06,39.02,39.06,10.0
2022-12-28 23:13:00,39.02,39.1,39.02,39.09,12.2312
2022-12-28 23:19:00,39.06,39.06,39.06,39.06,0.8775
2022-12-28 23:23:00,39.06,39.13,39.06,39.13,49.8695
2022-12-28 23:44:00,39.09,39.09,39.09,39.09,2.4354
2022-12-28 23:45:00,39.09,39.12,39.09,39.12,1.0472
2022-12-28 23:55:00,39.11,39.11,39.11,39.11,0.595
2022-12-29 00:02:00,39.02,39.11,39.05,39.11,32.6586
2022-12-29 00:05:00,39.12,39.12,39.12,39.12,2.0245
2022-12-29 00:07:00,39.12,39.13,39.12,39.13,4.6925
2022-12-29 00:08:00,39.12,39.12,39.12,39.12,0.0513
2022-12-29 00:15:00,39.12,39.13,39.13,39.12,6.087
2022-12-29 00:27:00,39.01,39.04,39.01,39.04,4.6081
2022-12-29 00:32:00,38.98,39.04,39.04,38.98,1.2831
2022-12-29 00:39:00,39.03,39.08,39.07,39.03,3.0866
2022-12-29 00:47:00,39.09,39.11,39.09,39.11,2.1266
2022-12-29 00:55:00,39.1,39.11,39.11,39.1,0.1488
2022-12-29 01:18:00,39.06,39.13,39.06,39.13,17.1703
2022-12-29 01:41:00,39.1,39.12,39.12,39.11,3.0
2022-12-29 01:56:00,39.13,39.13,39.13,39.13,12.1729
2022-12-29 02:04:00,39.05,39.05,39.05,39.05,2.25
2022-12-29 02:10:00,38.9,39.0,39.0,38.9,1.0077
2022-12-29 02:15:00,38.96,38.98,38.98,38.96,0.3704
2022-12-29 02:18:00,38.91,38.94,38.94,38.91,10.3919
2022-12-29 02:33:00,38.91,38.92,38.91,38.92,7.226
2022-12-29 02:39:00,38.95,38.96,38.96,38.95,2.037
2022-12-29 02:44:00,38.95,38.97,38.95,38.97,1.0097
2022-12-29 02:45:00,38.97,38.97,38.97,38.97,1.048
2022-12-29 02:46:00,38.93,38.99,38.99,38.93,0.162
2022-12-29 02:48:00,38.98,38.98,38.98,38.98,0.1529
2022-12-29 02:54:00,38.88,38.97,38.88,38.97,2.0988
2022-12-29 03:07:00,38.98,39.08,38.98,39.02,184.9205
2022-12-29 03:10:00,38.85,38.97,38.97,38.85,58.4935
2022-12-29 03:14:00,39.01,39.08,39.01,39.08,0.2543
2022-12-29 04:03:00,39.12,39.13,39.13,39.12,0.129
2022-12-29 04:25:00,39.13,39.13,39.13,39.13,6.901
2022-12-29 04:49:00,39.13,39.13,39.13,39.13,23.9966
2022-12-29 04:51:00,39.13,39.2,39.13,39.2,9.3096
2022-12-29 04:54:00,39.29,39.29,39.29,39.29,1.0076
2022-12-29 05:02:00,39.3,39.32,39.3,39.31,25.4121
2022-12-29 05:04:00,39.32,39.33,39.32,39.33,5.0356
2022-12-29 05:14:00,39.26,39.3,39.26,39.3,13.4077
2022-12-29 05:19:00,39.22,39.31,39.31,39.22,22.1589
2022-12-29 05:28:00,39.28,39.35,39.3,39.35,40.0902
2022-12-29 05:40:00,39.25,39.25,39.25,39.25,0.0173
2022-12-29 05:44:00,39.35,39.36,39.36,39.35,0.9357
2022-12-29 05:57:00,39.28,39.38,39.37,39.28,2.6057
2022-12-29 06:54:00,39.25,39.25,39.25,39.25,4.9807
2022-12-29 07:02:00,39.25,39.32,39.25,39.32,11.415
2022-12-29 07:21:00,39.25,39.28,39.25,39.28,2.5763
2022-12-29 07:30:00,39.26,39.34,39.26,39.34,3.1807
2022-12-29 07:55:00,39.33,39.41,39.33,39.41,1.5
2022-12-29 08:11:00,39.32,39.34,39.34,39.32,6.2416
