time,low,high,open,close,volume
2022-11-19 15:33:00,1.7,1.702,1.7,1.702,50.58
2022-11-19 16:02:00,1.702,1.702,1.702,1.702,10.82
2022-11-19 16:08:00,1.7,1.704,1.7,1.704,12.53
2022-11-19 16:31:00,1.697,1.701,1.699,1.701,1551.99
2022-11-19 16:39:00,1.698,1.703,1.703,1.698,140.47
2022-11-19 17:10:00,1.695,1.702,1.699,1.695,709.9
2022-11-19 17:33:00,1.692,1.692,1.692,1.692,312.68
2022-11-19 17:34:00,1.686,1.692,1.692,1.686,224.91
2022-11-19 17:39:00,1.687,1.69,1.69,1.687,3.29
2022-11-19 18:00:00,1.686,1.688,1.686,1.688,107.88
2022-11-19 18:07:00,1.683,1.692,1.688,1.692,2717.69
2022-11-19 18:23:00,1.69,1.693,1.69,1.693,467.83
2022-11-19 18:32:00,1.695,1.696,1.695,1.695,194.41
2022-11-19 19:11:00,1.69,1.691,1.691,1.69,58.77
2022-11-19 19:51:00,1.686,1.687,1.687,1.687,246.26
2022-11-19 19:56:00,1.688,1.69,1.688,1.689,427.63
2022-11-19 20:09:00,1.692,1.701,1.692,1.692,2283.53
2022-11-19 20:11:00,1.687,1.694,1.687,1.687,2889.37
2022-11-19 20:21:00,1.686,1.689,1.689,1.686,30.87
2022-11-19 20:29:00,1.686,1.689,1.689,1.686,0.78
2022-11-19 20:36:00,1.689,1.691,1.689,1.689,547.73
2022-11-19 20:47:00,1.683,1.69,1.688,1.683,11123.29
2022-11-19 20:55:00,1.69,1.69,1.69,1.69,0.29
2022-11-19 21:00:00,1.688,1.691,1.688,1.691,871.09
2022-11-19 21:20:00,1.687,1.691,1.691,1.687,87.89
2022-11-19 21:30:00,1.691,1.691,1.691,1.691,116.47
2022-11-19 21:38:00,1.694,1.694,1.694,1.694,25.8
2022-11-19 21:46:00,1.692,1.693,1.692,1.693,196.7
2022-11-19 21:52:00,1.692,1.693,1.693,1.692,141.98
2022-11-19 22:00:00,1.697,1.697,1.697,1.697,116.18
2022-11-19 22:01:00,1.694,1.697,1.694,1.697,357.65
2022-11-19 22:14:00,1.7,1.702,1.701,1.7,130.87
2022-11-19 22:21:00,1.701,1.705,1.702,1.705,196.72
2022-11-19 22:25:00,1.704,1.708,1.706,1.704,587.77
2022-11-19 22:30:00,1.709,1.712,1.709,1.712,217.32
2022-11-19 22:33:00,1.709,1.711,1.709,1.711,633.98
2022-11-19 22:42:00,1.7,1.708,1.708,1.7,88.02
2022-11-19 22:52:00,1.697,1.7,1.698,1.7,163.58
2022-11-19 22:59:00,1.698,1.703,1.701,1.703,85.97
2022-11-19 23:04:00,1.704,1.71,1.704,1.71,119.1
2022-11-19 23:14:00,1.708,1.71,1.708,1.71,81.4
2022-11-19 23:33:00,1.7,1.703,1.703,1.701,258.37
2022-11-19 23:36:00,1.696,1.697,1.697,1.696,169.25
2022-11-19 23:44:00,1.697,1.702,1.697,1.702,3.57
2022-11-20 00:01:00,1.703,1.705,1.703,1.705,232.36
2022-11-20 00:03:00,1.709,1.709,1.709,1.709,193.29
2022-11-20 00:10:00,1.71,1.71,1.71,1.71,2.91
2022-11-20 00:15:00,1.696,1.701,1.701,1.696,118.28
2022-11-20 00:29:00,1.709,1.717,1.709,1.717,245.23
2022-11-20 00:40:00,1.717,1.718,1.717,1.718,743.29
2022-11-20 00:52:00,1.721,1.724,1.721,1.724,138.18
2022-11-20 01:07:00,1.712,1.721,1.721,1.712,56.7
2022-11-20 01:18:00,1.71,1.71,1.71,1.71,276.12
2022-11-20 01:20:00,1.705,1.705,1.705,1.705,19.3
2022-11-20 01:21:00,1.703,1.703,1.703,1.703,3.48
2022-11-20 01:23:00,1.704,1.705,1.705,1.704,312.3
2022-11-20 01:25:00,1.703,1.703,1.703,1.703,307.69
2022-11-20 01:26:00,1.704,1.705,1.704,1.705,154.44
2022-11-20 01:28:00,1.705,1.717,1.705,1.717,260.06
2022-11-20 02:24:00,1.715,1.718,1.718,1.715,27.34
2022-11-20 03:03:00,1.717,1.717,1.717,1.717,39.84
2022-11-20 03:16:00,1.717,1.727,1.717,1.727,97.05
2022-11-20 03:23:00,1.732,1.735,1.732,1.735,260.91
2022-11-20 03:24:00,1.728,1.734,1.733,1.73,296.87
2022-11-20 04:01:00,1.732,1.733,1.733,1.732,403.68
2022-11-20 04:14:00,1.733,1.733,1.733,1.733,0.86
2022-11-20 04:28:00,1.728,1.732,1.731,1.728,179.65
2022-11-20 04:57:00,1.721,1.724,1.721,1.724,202.22
2022-11-20 05:02:00,1.717,1.724,1.724,1.717,10.85
2022-11-20 05:43:00,1.714,1.716,1.714,1.716,1.4
2022-11-20 06:00:00,1.711,1.715,1.712,1.711,371.47
2022-11-20 06:32:00,1.714,1.716,1.714,1.716,1.0
2022-11-20 06:33:00,1.716,1.716,1.716,1.716,0.5
2022-11-20 06:35:00,1.713,1.716,1.716,1.713,0.97
2022-11-20 06:54:00,1.715,1.721,1.715,1.721,674.09
2022-11-20 06:56:00,1.716,1.72,1.719,1.716,299.03
2022-11-20 07:42:00,1.714,1.717,1.717,1.714,248.92
2022-11-20 07:52:00,1.717,1.718,1.718,1.717,30.45
2022-11-20 08:17:00,1.716,1.717,1.716,1.717,34.19
2022-11-20 08:38:00,1.707,1.709,1.709,1.707,87.42
2022-11-20 08:43:00,1.685,1.687,1.687,1.685,76.77
2022-11-20 08:52:00,1.689,1.689,1.689,1.689,11.25
2022-11-20 09:02:00,1.697,1.698,1.697,1.698,72.8
2022-11-20 09:09:00,1.702,1.702,1.702,1.702,69.29
2022-11-20 10:22:00,1.708,1.713,1.713,1.708,27.59
2022-11-20 10:40:00,1.703,1.712,1.712,1.703,3.03
2022-11-20 11:10:00,1.704,1.705,1.704,1.705,103.3
2022-11-20 11:33:00,1.674,1.686,1.686,1.674,1.06
2022-11-20 11:47:00,1.678,1.678,1.678,1.678,62.7
2022-11-20 11:49:00,1.672,1.678,1.678,1.672,568.94
2022-11-20 12:23:00,1.68,1.682,1.68,1.681,146.62
2022-11-20 12:29:00,1.683,1.686,1.683,1.686,39.11
2022-11-20 13:12:00,1.69,1.692,1.69,1.692,1.03
2022-11-20 13:14:00,1.696,1.697,1.696,1.697,256.82
2022-11-20 13:23:00,1.692,1.707,1.693,1.707,269.57
2022-11-20 13:54:00,1.711,1.718,1.714,1.711,439.26
2022-11-20 14:25:00,1.702,1.707,1.702,1.707,121.26
2022-11-20 14:46:00,1.694,1.703,1.697,1.694,59.18
2022-11-20 15:03:00,1.689,1.69,1.69,1.689,70.74
2022-11-20 15:15:00,1.69,1.695,1.69,1.695,1000.5
2022-11-20 15:39:00,1.701,1.708,1.701,1.708,1280.8
2022-11-20 15:47:00,1.693,1.696,1.696,1.693,34.63
2022-11-20 16:00:00,1.693,1.696,1.696,1.693,79.09
2022-11-20 16:12:00,1.682,1.683,1.682,1.683,354.06
2022-11-20 16:51:00,1.673,1.677,1.677,1.676,2433.2
2022-11-20 17:29:00,1.676,1.685,1.676,1.685,45.21
2022-11-20 17:40:00,1.67,1.686,1.686,1.67,4223.69
2022-11-20 17:50:00,1.673,1.678,1.678,1.673,451.24
2022-11-20 17:53:00,1.665,1.666,1.666,1.665,430.0
2022-11-20 17:54:00,1.662,1.668,1.663,1.668,71.47
2022-11-20 18:16:00,1.669,1.674,1.673,1.669,558.37
2022-11-20 18:22:00,1.675,1.676,1.675,1.676,110.9
2022-11-20 18:26:00,1.675,1.675,1.675,1.675,278.28
2022-11-20 18:30:00,1.674,1.674,1.674,1.674,781.33
2022-11-20 18:32:00,1.674,1.676,1.674,1.676,208.0
2022-11-20 18:54:00,1.672,1.672,1.672,1.672,159.46
2022-11-20 18:55:00,1.672,1.672,1.672,1.672,961.91
2022-11-20 19:08:00,1.672,1.676,1.675,1.672,737.16
2022-11-20 19:14:00,1.668,1.669,1.668,1.669,481.39
2022-11-20 19:19:00,1.666,1.669,1.669,1.666,403.64
2022-11-20 19:38:00,1.663,1.666,1.666,1.663,93.94
2022-11-20 19:50:00,1.664,1.664,1.664,1.664,0.63
2022-11-20 19:54:00,1.665,1.67,1.665,1.67,89.49
2022-11-20 20:05:00,1.667,1.667,1.667,1.667,57.86
2022-11-20 20:11:00,1.65,1.667,1.667,1.65,29.95
2022-11-20 20:22:00,1.649,1.649,1.649,1.649,3.51
2022-11-20 20:23:00,1.644,1.648,1.648,1.644,152.8
2022-11-20 20:24:00,1.632,1.65,1.649,1.632,114.09
2022-11-20 20:38:00,1.632,1.632,1.632,1.632,56.1
2022-11-20 20:39:00,1.634,1.638,1.634,1.636,351.19
2022-11-20 20:48:00,1.631,1.639,1.637,1.637,3134.46
2022-11-20 21:12:00,1.645,1.645,1.645,1.645,6.02
2022-11-20 21:29:00,1.64,1.641,1.641,1.64,71.14
2022-11-20 21:40:00,1.622,1.625,1.625,1.622,692.79
2022-11-20 21:49:00,1.61,1.61,1.61,1.61,1317.14
2022-11-20 21:51:00,1.602,1.611,1.611,1.602,1553.61
2022-11-20 21:53:00,1.579,1.6,1.6,1.583,9293.7
2022-11-20 21:54:00,1.585,1.587,1.586,1.587,1953.36
2022-11-20 22:00:00,1.576,1.586,1.586,1.576,11.05
2022-11-20 22:04:00,1.591,1.591,1.591,1.591,26.6
2022-11-20 22:14:00,1.593,1.594,1.594,1.593,126.38
2022-11-20 22:19:00,1.594,1.595,1.594,1.595,564.55
2022-11-20 22:23:00,1.594,1.598,1.598,1.594,447.54
2022-11-20 22:34:00,1.59,1.599,1.598,1.599,5749.32
2022-11-20 22:36:00,1.583,1.592,1.592,1.583,7145.33
2022-11-20 22:38:00,1.58,1.586,1.586,1.583,4166.99
2022-11-20 22:42:00,1.583,1.584,1.583,1.584,95.62
2022-11-20 22:48:00,1.584,1.585,1.585,1.584,5.85
2022-11-20 22:49:00,1.583,1.584,1.584,1.583,136.89
2022-11-20 22:50:00,1.583,1.584,1.584,1.583,44.46
2022-11-20 22:51:00,1.584,1.584,1.584,1.584,1.17
2022-11-20 22:53:00,1.586,1.586,1.586,1.586,15.21
2022-11-20 22:55:00,1.586,1.588,1.586,1.587,8.19
2022-11-20 22:56:00,1.587,1.588,1.588,1.587,11.76
2022-11-20 22:57:00,1.585,1.587,1.587,1.585,11.7
2022-11-20 22:58:00,1.586,1.586,1.586,1.586,3.51
2022-11-20 23:00:00,1.587,1.589,1.587,1.589,245.82
2022-11-20 23:06:00,1.57,1.577,1.577,1.57,200.65
2022-11-20 23:18:00,1.567,1.571,1.571,1.567,63.62
2022-11-20 23:19:00,1.57,1.57,1.57,1.57,61.51
2022-11-20 23:30:00,1.568,1.576,1.568,1.575,702.12
2022-11-20 23:35:00,1.567,1.568,1.568,1.567,338.69
2022-11-20 23:39:00,1.57,1.575,1.571,1.572,909.26
2022-11-21 00:03:00,1.569,1.569,1.569,1.569,297.09
2022-11-21 00:08:00,1.558,1.56,1.558,1.56,608.99
2022-11-21 00:10:00,1.562,1.562,1.562,1.562,123.1
2022-11-21 00:11:00,1.565,1.57,1.565,1.57,395.4
2022-11-21 00:14:00,1.57,1.571,1.57,1.571,426.8
2022-11-21 00:15:00,1.572,1.581,1.572,1.581,121.62
2022-11-21 00:19:00,1.58,1.581,1.581,1.58,63.18
2022-11-21 00:25:00,1.584,1.584,1.584,1.584,4.09
2022-11-21 00:34:00,1.571,1.572,1.572,1.571,66.5
2022-11-21 00:35:00,1.567,1.576,1.575,1.567,4456.23
2022-11-21 00:40:00,1.583,1.583,1.583,1.583,195.44
2022-11-21 00:43:00,1.57,1.583,1.583,1.57,550.18
2022-11-21 00:49:00,1.581,1.589,1.581,1.589,2281.52
2022-11-21 00:51:00,1.589,1.591,1.589,1.591,177.99
2022-11-21 00:53:00,1.591,1.591,1.591,1.591,59.31
2022-11-21 00:54:00,1.592,1.592,1.592,1.592,59.31
2022-11-21 00:56:00,1.59,1.591,1.591,1.591,310.23
2022-11-21 00:57:00,1.592,1.593,1.592,1.592,176.89
2022-11-21 00:59:00,1.59,1.592,1.592,1.59,118.58
2022-11-21 01:02:00,1.59,1.59,1.59,1.59,369.17
2022-11-21 01:06:00,1.584,1.592,1.592,1.584,59.73
2022-11-21 01:20:00,1.586,1.587,1.587,1.586,118.27
2022-11-21 01:28:00,1.585,1.59,1.585,1.589,124.41
2022-11-21 02:08:00,1.578,1.583,1.583,1.578,60.6
2022-11-21 02:09:00,1.571,1.571,1.571,1.571,129.87
2022-11-21 02:10:00,1.569,1.574,1.57,1.569,507.23
2022-11-21 02:14:00,1.562,1.566,1.566,1.562,890.92
2022-11-21 02:20:00,1.551,1.557,1.557,1.551,224.0
2022-11-21 02:21:00,1.544,1.545,1.545,1.544,505.85
2022-11-21 02:22:00,1.536,1.538,1.538,1.536,293.67
2022-11-21 02:23:00,1.532,1.534,1.534,1.532,65.52
2022-11-21 02:24:00,1.53,1.532,1.531,1.532,1141.44
