time,low,high,open,close,volume
2022-12-28 18:14:00,1.266,1.269,1.266,1.269,134.38
2022-12-28 18:25:00,1.271,1.272,1.271,1.272,356.16
2022-12-28 18:26:00,1.267,1.271,1.271,1.267,95.53
2022-12-28 18:44:00,1.265,1.271,1.271,1.265,117.42
2022-12-28 18:52:00,1.266,1.267,1.267,1.266,68.55
2022-12-28 19:14:00,1.262,1.265,1.265,1.262,158.51
2022-12-28 19:38:00,1.261,1.262,1.262,1.261,27.1
2022-12-28 19:50:00,1.26,1.262,1.262,1.26,112.52
2022-12-28 20:14:00,1.262,1.262,1.262,1.262,25.71
2022-12-28 20:21:00,1.266,1.269,1.266,1.268,73.08
2022-12-28 20:28:00,1.265,1.27,1.27,1.265,69.55
2022-12-28 20:50:00,1.268,1.271,1.271,1.268,436.57
2022-12-28 21:02:00,1.267,1.269,1.269,1.267,84.99
2022-12-28 21:09:00,1.265,1.268,1.265,1.266,470.57
2022-12-28 21:25:00,1.258,1.262,1.262,1.258,1430.52
2022-12-28 21:27:00,1.253,1.26,1.254,1.26,856.3
2022-12-28 21:29:00,1.257,1.261,1.261,1.257,312.05
2022-12-28 21:39:00,1.25,1.251,1.251,1.25,378.74
2022-12-28 21:51:00,1.247,1.25,1.25,1.247,75.83
2022-12-28 22:15:00,1.244,1.244,1.244,1.244,410.76
2022-12-28 22:27:00,1.243,1.252,1.243,1.252,2610.63
2022-12-28 22:39:00,1.247,1.248,1.248,1.247,35.71
2022-12-28 22:51:00,1.246,1.247,1.246,1.247,90.52
2022-12-28 23:03:00,1.247,1.247,1.247,1.247,77.72
2022-12-28 23:16:00,1.252,1.254,1.254,1.252,150.53
2022-12-28 23:39:00,1.252,1.255,1.255,1.252,43.66
2022-12-28 23:43:00,1.254,1.254,1.254,1.254,31.24
2022-12-28 23:52:00,1.251,1.252,1.251,1.252,55.47
2022-12-29 00:08:00,1.253,1.254,1.254,1.253,413.59
2022-12-29 00:16:00,1.251,1.252,1.252,1.251,55.26
2022-12-29 00:20:00,1.255,1.255,1.255,1.255,3.96
2022-12-29 00:28:00,1.252,1.257,1.252,1.257,71.51
2022-12-29 00:52:00,1.257,1.263,1.257,1.263,144.28
2022-12-29 01:03:00,1.259,1.259,1.259,1.259,4.25
2022-12-29 01:04:00,1.259,1.259,1.259,1.259,420.9
2022-12-29 01:16:00,1.257,1.259,1.257,1.259,455.83
2022-12-29 01:17:00,1.253,1.259,1.259,1.253,946.06
2022-12-29 01:41:00,1.253,1.254,1.254,1.253,59.71
2022-12-29 01:47:00,1.25,1.251,1.251,1.25,32.44
2022-12-29 01:55:00,1.252,1.256,1.253,1.252,3544.07
2022-12-29 02:05:00,1.244,1.248,1.248,1.244,70.64
2022-12-29 02:29:00,1.238,1.248,1.238,1.248,125.64
2022-12-29 02:53:00,1.248,1.25,1.248,1.25,53.73
2022-12-29 03:17:00,1.252,1.254,1.252,1.254,225.36
2022-12-29 03:34:00,1.257,1.257,1.257,1.257,100.0
2022-12-29 03:41:00,1.254,1.254,1.254,1.254,25.71
2022-12-29 03:54:00,1.256,1.261,1.256,1.261,86.88
2022-12-29 04:06:00,1.259,1.264,1.259,1.264,151.26
2022-12-29 04:18:00,1.261,1.267,1.261,1.267,45.01
2022-12-29 04:30:00,1.264,1.267,1.264,1.267,341.47
2022-12-29 04:42:00,1.264,1.271,1.264,1.271,268.52
2022-12-29 04:56:00,1.266,1.27,1.27,1.266,63.14
2022-12-29 05:17:00,1.27,1.27,1.27,1.27,146.59
2022-12-29 05:18:00,1.266,1.267,1.267,1.266,62.57
2022-12-29 05:42:00,1.269,1.273,1.269,1.273,61.11
2022-12-29 05:56:00,1.276,1.276,1.276,1.276,19.38
2022-12-29 05:59:00,1.267,1.274,1.274,1.267,71.04
2022-12-29 06:18:00,1.263,1.264,1.264,1.263,94.39
2022-12-29 06:31:00,1.262,1.265,1.265,1.262,58.77
2022-12-29 06:46:00,1.262,1.265,1.265,1.262,154.62
2022-12-29 07:06:00,1.263,1.263,1.263,1.263,50.51
2022-12-29 07:18:00,1.26,1.263,1.263,1.26,128.29
2022-12-29 07:31:00,1.261,1.264,1.261,1.262,124.83
2022-12-29 07:43:00,1.265,1.268,1.265,1.268,93.39
2022-12-29 08:07:00,1.269,1.269,1.269,1.269,126.16
2022-12-29 08:19:00,1.26,1.262,1.262,1.26,64.8
2022-12-29 08:43:00,1.257,1.257,1.257,1.257,45.98
2022-12-29 08:55:00,1.264,1.264,1.264,1.264,47.72
2022-12-29 09:02:00,1.269,1.27,1.269,1.27,172.31
2022-12-29 09:08:00,1.271,1.272,1.272,1.271,397.97
2022-12-29 09:32:00,1.271,1.271,1.271,1.271,86.75
2022-12-29 09:48:00,1.275,1.276,1.276,1.275,114.52
2022-12-29 09:56:00,1.271,1.275,1.275,1.271,138.47
2022-12-29 10:20:00,1.268,1.269,1.269,1.268,89.96
2022-12-29 10:34:00,1.27,1.27,1.27,1.27,104.75
2022-12-29 10:56:00,1.272,1.275,1.275,1.272,77.33
2022-12-29 11:19:00,1.277,1.277,1.277,1.277,465.39
2022-12-29 11:32:00,1.278,1.278,1.278,1.278,25.71
2022-12-29 11:45:00,1.276,1.276,1.276,1.276,63.04
2022-12-29 12:09:00,1.28,1.28,1.28,1.28,50.71
2022-12-29 12:21:00,1.272,1.275,1.275,1.272,316.19
2022-12-29 12:33:00,1.27,1.272,1.272,1.27,158.18
2022-12-29 12:57:00,1.271,1.272,1.272,1.271,125.91
2022-12-29 13:21:00,1.273,1.273,1.273,1.273,29.66
2022-12-29 13:27:00,1.286,1.286,1.286,1.286,466.15
2022-12-29 13:33:00,1.282,1.283,1.282,1.283,392.82
2022-12-29 13:36:00,1.286,1.288,1.288,1.286,33.28
2022-12-29 13:40:00,1.283,1.286,1.286,1.283,78.49
2022-12-29 13:53:00,1.28,1.281,1.281,1.28,106.75
2022-12-29 14:10:00,1.277,1.278,1.278,1.277,123.52
2022-12-29 14:22:00,1.278,1.279,1.279,1.278,144.86
2022-12-29 14:46:00,1.279,1.281,1.281,1.279,81.3
2022-12-29 15:10:00,1.283,1.286,1.283,1.286,50.02
2022-12-29 15:22:00,1.284,1.286,1.284,1.286,357.76
2022-12-29 15:24:00,1.284,1.284,1.284,1.284,59.6
2022-12-29 15:34:00,1.283,1.283,1.283,1.283,40.06
2022-12-29 15:47:00,1.281,1.281,1.281,1.281,62.02
2022-12-29 15:59:00,1.28,1.28,1.28,1.28,56.14
2022-12-29 16:11:00,1.28,1.28,1.28,1.28,15.6
2022-12-29 16:23:00,1.279,1.286,1.279,1.286,77.78
2022-12-29 16:47:00,1.287,1.287,1.287,1.287,164.09
2022-12-29 17:00:00,1.286,1.289,1.289,1.286,73.17
2022-12-29 17:07:00,1.29,1.291,1.291,1.29,613.07
2022-12-29 17:11:00,1.287,1.287,1.287,1.287,116.71
2022-12-29 17:23:00,1.288,1.288,1.288,1.288,27.89
2022-12-29 17:27:00,1.294,1.294,1.294,1.294,632.41
2022-12-29 17:30:00,1.292,1.292,1.292,1.292,279.05
2022-12-29 17:35:00,1.289,1.289,1.289,1.289,33.27
2022-12-29 17:36:00,1.29,1.291,1.29,1.291,1644.58
2022-12-29 17:41:00,1.29,1.29,1.29,1.29,18.15
2022-12-29 17:48:00,1.288,1.29,1.288,1.29,55.95
2022-12-29 18:00:00,1.289,1.291,1.291,1.289,126.67
2022-12-29 18:12:00,1.288,1.293,1.292,1.288,939.74
2022-12-29 18:24:00,1.285,1.287,1.287,1.285,179.09
2022-12-29 18:27:00,1.283,1.285,1.285,1.283,8.63
2022-12-29 18:36:00,1.28,1.282,1.282,1.28,125.46
2022-12-29 19:00:00,1.284,1.287,1.284,1.287,96.96
2022-12-29 19:23:00,1.276,1.284,1.284,1.276,28.06
2022-12-29 19:36:00,1.276,1.278,1.278,1.276,99.58
2022-12-29 19:48:00,1.275,1.276,1.276,1.275,310.7
2022-12-29 20:00:00,1.274,1.277,1.277,1.274,96.81
2022-12-29 20:13:00,1.277,1.277,1.277,1.277,130.0
2022-12-29 20:18:00,1.271,1.277,1.277,1.271,137.55
2022-12-29 20:29:00,1.272,1.273,1.272,1.273,230.21
2022-12-29 20:36:00,1.26,1.266,1.266,1.26,2726.84
2022-12-29 20:47:00,1.264,1.264,1.264,1.264,52.31
2022-12-29 20:57:00,1.267,1.267,1.267,1.267,37.01
2022-12-29 21:01:00,1.265,1.267,1.265,1.267,1632.44
2022-12-29 21:13:00,1.264,1.268,1.268,1.264,74.8
2022-12-29 21:37:00,1.265,1.266,1.265,1.266,112.62
2022-12-29 22:00:00,1.263,1.263,1.263,1.263,46.15
2022-12-29 22:01:00,1.262,1.262,1.262,1.262,70.73
2022-12-29 22:22:00,1.262,1.264,1.262,1.264,73.57
2022-12-29 22:36:00,1.266,1.266,1.266,1.266,111.74
2022-12-29 22:37:00,1.267,1.278,1.267,1.278,1067.16
2022-12-29 22:38:00,1.277,1.283,1.283,1.277,631.17
2022-12-29 23:00:00,1.28,1.283,1.283,1.28,269.33
2022-12-29 23:01:00,1.282,1.282,1.282,1.282,132.8
2022-12-29 23:02:00,1.284,1.285,1.284,1.285,142.4
2022-12-29 23:13:00,1.287,1.287,1.287,1.287,26.55
2022-12-29 23:25:00,1.285,1.285,1.285,1.285,58.66
2022-12-29 23:32:00,1.288,1.295,1.288,1.295,442.14
2022-12-29 23:38:00,1.29,1.292,1.29,1.292,31.77
2022-12-29 23:50:00,1.286,1.287,1.287,1.286,267.76
2022-12-30 00:02:00,1.284,1.286,1.284,1.286,390.4
2022-12-30 00:09:00,1.286,1.287,1.287,1.286,347.2
2022-12-30 00:14:00,1.283,1.283,1.283,1.283,152.44
2022-12-30 00:26:00,1.287,1.289,1.287,1.289,64.31
2022-12-30 00:38:00,1.286,1.289,1.286,1.289,108.63
2022-12-30 00:45:00,1.289,1.289,1.289,1.289,27.57
2022-12-30 00:50:00,1.287,1.287,1.287,1.287,70.98
2022-12-30 01:04:00,1.287,1.288,1.287,1.288,65.78
2022-12-30 01:27:00,1.279,1.289,1.289,1.279,179.86
2022-12-30 01:39:00,1.277,1.277,1.277,1.277,368.11
2022-12-30 01:51:00,1.273,1.276,1.276,1.273,222.27
2022-12-30 02:12:00,1.278,1.279,1.278,1.279,357.45
2022-12-30 02:15:00,1.273,1.279,1.279,1.273,420.89
2022-12-30 02:33:00,1.273,1.279,1.273,1.279,228.85
2022-12-30 02:39:00,1.279,1.279,1.279,1.279,51.42
2022-12-30 03:03:00,1.28,1.281,1.28,1.281,64.65
2022-12-30 03:05:00,1.279,1.281,1.281,1.279,426.35
2022-12-30 03:17:00,1.281,1.281,1.281,1.281,21.02
2022-12-30 03:27:00,1.278,1.278,1.278,1.278,68.31
2022-12-30 03:37:00,1.281,1.281,1.281,1.281,115.97
2022-12-30 03:39:00,1.282,1.286,1.284,1.282,2480.58
2022-12-30 03:40:00,1.281,1.284,1.282,1.284,312.42
2022-12-30 03:52:00,1.282,1.282,1.282,1.282,59.31
2022-12-30 04:16:00,1.281,1.284,1.281,1.284,51.42
2022-12-30 04:40:00,1.287,1.287,1.287,1.287,112.39
2022-12-30 05:04:00,1.283,1.286,1.286,1.283,119.55
2022-12-30 05:28:00,1.281,1.284,1.284,1.281,98.5
2022-12-30 05:49:00,1.274,1.281,1.281,1.274,418.01
2022-12-30 06:04:00,1.272,1.272,1.272,1.272,61.51
2022-12-30 06:17:00,1.279,1.279,1.279,1.279,113.83
2022-12-30 06:41:00,1.277,1.277,1.277,1.277,78.48
2022-12-30 07:05:00,1.276,1.277,1.276,1.277,130.56
2022-12-30 07:24:00,1.267,1.271,1.271,1.267,672.0
2022-12-30 07:29:00,1.266,1.266,1.266,1.266,82.12
2022-12-30 07:53:00,1.265,1.266,1.266,1.265,96.7
2022-12-30 08:10:00,1.266,1.267,1.267,1.266,38.69
2022-12-30 08:30:00,1.263,1.264,1.264,1.263,51.42
2022-12-30 08:54:00,1.266,1.267,1.266,1.266,502.76
2022-12-30 09:01:00,1.264,1.265,1.265,1.264,510.85
2022-12-30 09:06:00,1.262,1.263,1.262,1.263,132.95
2022-12-30 09:30:00,1.267,1.271,1.271,1.267,349.45
2022-12-30 09:54:00,1.268,1.269,1.268,1.269,101.71
2022-12-30 10:18:00,1.267,1.27,1.267,1.27,119.09
2022-12-30 10:33:00,1.27,1.273,1.272,1.27,1158.74
2022-12-30 10:42:00,1.266,1.269,1.269,1.266,119.13
2022-12-30 10:58:00,1.263,1.265,1.265,1.263,799.6
2022-12-30 11:19:00,1.263,1.265,1.263,1.265,79.46
2022-12-30 11:43:00,1.263,1.264,1.264,1.263,447.46
2022-12-30 11:55:00,1.258,1.26,1.26,1.258,127.34
2022-12-30 12:19:00,1.259,1.261,1.261,1.259,86.28
2022-12-30 12:44:00,1.264,1.266,1.264,1.266,61.42
2022-12-30 12:59:00,1.267,1.268,1.268,1.267,489.29
2022-12-30 13:08:00,1.264,1.267,1.267,1.264,131.42
2022-12-30 13:32:00,1.261,1.261,1.261,1.261,67.32
2022-12-30 13:44:00,1.26,1.262,1.262,1.26,50.75
2022-12-30 13:56:00,1.258,1.26,1.258,1.26,137.41
2022-12-30 14:20:00,1.259,1.259,1.259,1.259,82.01
2022-12-30 14:32:00,1.256,1.256,1.256,1.256,75.35
2022-12-30 14:44:00,1.259,1.26,1.26,1.259,135.44
2022-12-30 14:49:00,1.25,1.25,1.25,1.25,216.77
2022-12-30 15:05:00,1.251,1.253,1.253,1.251,1547.02
2022-12-30 15:21:00,1.263,1.263,1.263,1.263,230.55
2022-12-30 15:25:00,1.263,1.263,1.263,1.263,0.64
2022-12-30 15:26:00,1.262,1.264,1.264,1.262,32.95
2022-12-30 15:45:00,1.264,1.267,1.264,1.265,188.27
2022-12-30 16:09:00,1.265,1.265,1.265,1.265,32.75
2022-12-30 16:11:00,1.26,1.267,1.267,1.26,111.96
2022-12-30 16:34:00,1.261,1.262,1.261,1.262,87.88
2022-12-30 16:52:00,1.266,1.266,1.266,1.266,116.18
2022-12-30 16:58:00,1.265,1.265,1.265,1.265,62.59
2022-12-30 17:15:00,1.263,1.263,1.263,1.263,204.49
2022-12-30 17:29:00,1.269,1.27,1.269,1.27,41.99
2022-12-30 17:34:00,1.272,1.273,1.272,1.273,270.75
2022-12-30 17:36:00,1.272,1.272,1.272,1.272,480.28
2022-12-30 17:46:00,1.266,1.268,1.268,1.266,131.25
2022-12-30 18:07:00,1.268,1.269,1.269,1.268,193.03
2022-12-30 18:11:00,1.267,1.267,1.267,1.267,0.37
2022-12-30 18:22:00,1.266,1.266,1.266,1.266,46.77
2022-12-30 18:32:00,1.267,1.268,1.268,1.267,49.55
2022-12-30 18:45:00,1.268,1.268,1.268,1.268,326.91
2022-12-30 18:47:00,1.268,1.268,1.268,1.268,0.09
2022-12-30 18:50:00,1.268,1.271,1.268,1.271,542.49
2022-12-30 19:11:00,1.268,1.272,1.268,1.272,440.98
2022-12-30 19:21:00,1.267,1.267,1.267,1.267,29.65
2022-12-30 19:35:00,1.266,1.267,1.267,1.266,84.89
2022-12-30 19:59:00,1.266,1.27,1.268,1.27,70.27
2022-12-30 20:11:00,1.269,1.271,1.27,1.271,413.8
2022-12-30 20:23:00,1.267,1.27,1.27,1.267,159.75
2022-12-30 20:43:00,1.268,1.268,1.268,1.268,91.0
2022-12-30 20:47:00,1.267,1.267,1.267,1.267,26.85
2022-12-30 21:00:00,1.267,1.271,1.267,1.271,99.48
2022-12-30 21:24:00,1.271,1.274,1.271,1.274,45.41
2022-12-30 21:36:00,1.271,1.272,1.271,1.272,87.53
2022-12-30 21:56:00,1.271,1.273,1.273,1.271,942.07
2022-12-30 22:00:00,1.269,1.269,1.269,1.269,51.42
2022-12-30 22:19:00,1.271,1.273,1.271,1.273,1037.22
2022-12-30 22:24:00,1.266,1.269,1.269,1.266,110.0
2022-12-30 22:48:00,1.267,1.267,1.267,1.267,74.3
2022-12-30 22:57:00,1.267,1.27,1.267,1.268,252.52
2022-12-30 23:13:00,1.272,1.275,1.272,1.275,159.87
2022-12-30 23:25:00,1.271,1.275,1.271,1.275,45.91
2022-12-30 23:30:00,1.272,1.275,1.275,1.272,102.85
2022-12-30 23:49:00,1.27,1.273,1.27,1.273,87.72
2022-12-31 00:13:00,1.273,1.274,1.274,1.273,85.45
2022-12-31 00:37:00,1.275,1.278,1.275,1.278,753.71
2022-12-31 00:49:00,1.275,1.275,1.275,1.275,62.46
2022-12-31 01:01:00,1.275,1.275,1.275,1.275,66.52
2022-12-31 01:03:00,1.274,1.277,1.277,1.274,75.0
2022-12-31 01:13:00,1.274,1.274,1.274,1.274,30.54
2022-12-31 01:21:00,1.276,1.276,1.276,1.276,327.91
2022-12-31 01:26:00,1.274,1.276,1.274,1.276,25.88
2022-12-31 01:31:00,1.276,1.276,1.276,1.276,0.52
2022-12-31 01:32:00,1.274,1.274,1.274,1.274,50.83
2022-12-31 01:50:00,1.274,1.275,1.275,1.274,63.13
2022-12-31 01:57:00,1.272,1.275,1.275,1.272,751.26
2022-12-31 02:14:00,1.271,1.272,1.272,1.271,59.12
2022-12-31 02:38:00,1.271,1.273,1.271,1.273,197.72
2022-12-31 02:57:00,1.274,1.275,1.275,1.274,55.62
2022-12-31 03:14:00,1.276,1.276,1.276,1.276,89.71
2022-12-31 03:38:00,1.275,1.275,1.275,1.275,25.71
2022-12-31 03:51:00,1.275,1.276,1.276,1.275,153.97
2022-12-31 04:03:00,1.275,1.278,1.275,1.278,103.44
2022-12-31 04:27:00,1.278,1.278,1.278,1.278,69.29
2022-12-31 04:51:00,1.278,1.278,1.278,1.278,140.38
2022-12-31 05:12:00,1.278,1.281,1.281,1.278,76.08
2022-12-31 05:21:00,1.28,1.28,1.28,1.28,89.97
2022-12-31 05:27:00,1.276,1.277,1.277,1.276,134.82
2022-12-31 05:51:00,1.275,1.275,1.275,1.275,35.95
2022-12-31 06:02:00,1.273,1.275,1.275,1.273,128.21
2022-12-31 06:16:00,1.273,1.276,1.273,1.276,68.4
2022-12-31 06:28:00,1.272,1.275,1.272,1.275,83.89
2022-12-31 06:40:00,1.271,1.272,1.272,1.271,114.95
2022-12-31 07:04:00,1.269,1.269,1.269,1.269,62.96
2022-12-31 07:28:00,1.269,1.273,1.269,1.273,256.46
2022-12-31 07:40:00,1.269,1.27,1.27,1.269,70.24
2022-12-31 08:04:00,1.269,1.269,1.269,1.269,28.0
2022-12-31 08:09:00,1.27,1.273,1.27,1.273,312.59
2022-12-31 08:16:00,1.271,1.271,1.271,1.271,25.71
2022-12-31 08:29:00,1.271,1.271,1.271,1.271,106.83
2022-12-31 08:53:00,1.27,1.272,1.27,1.272,109.14
2022-12-31 09:05:00,1.269,1.269,1.269,1.269,67.74
2022-12-31 09:29:00,1.263,1.264,1.264,1.263,117.32
2022-12-31 09:53:00,1.263,1.266,1.263,1.266,71.62
2022-12-31 10:17:00,1.266,1.266,1.266,1.266,25.71
2022-12-31 10:30:00,1.268,1.27,1.268,1.269,464.16
2022-12-31 10:54:00,1.269,1.272,1.269,1.272,89.68
2022-12-31 11:18:00,1.27,1.271,1.271,1.27,89.13
2022-12-31 11:42:00,1.269,1.27,1.27,1.269,70.53
2022-12-31 11:57:00,1.27,1.273,1.272,1.27,989.49
