time,low,high,open,close,volume
2022-11-19 16:00:00,2.94,2.94,2.94,2.94,799.55
2022-11-19 16:01:00,2.94,2.94,2.94,2.94,190.73
2022-11-19 16:04:00,2.94,2.95,2.95,2.94,298.48
2022-11-19 16:12:00,2.93,2.94,2.94,2.93,125.17
2022-11-19 16:16:00,2.93,2.94,2.93,2.94,317.81
2022-11-19 16:17:00,2.93,2.94,2.94,2.93,106.61
2022-11-19 16:18:00,2.93,2.93,2.93,2.93,84.3
2022-11-19 16:23:00,2.93,2.94,2.93,2.94,461.61
2022-11-19 16:26:00,2.93,2.93,2.93,2.93,209.38
2022-11-19 16:30:00,2.93,2.93,2.93,2.93,11.31
2022-11-19 16:38:00,2.93,2.94,2.93,2.94,173.11
2022-11-19 16:40:00,2.95,2.96,2.95,2.96,1506.45
2022-11-19 16:41:00,2.96,2.96,2.96,2.96,1.98
2022-11-19 16:42:00,2.95,2.96,2.95,2.96,618.71
2022-11-19 16:43:00,2.96,2.96,2.96,2.96,450.95
2022-11-19 16:46:00,2.95,2.95,2.95,2.95,96.34
2022-11-19 16:47:00,2.95,2.96,2.95,2.96,323.12
2022-11-19 16:48:00,2.96,2.96,2.96,2.96,191.21
2022-11-19 17:00:00,2.96,2.97,2.96,2.97,266.41
2022-11-19 17:06:00,2.95,2.96,2.96,2.95,268.61
2022-11-19 17:17:00,2.95,2.95,2.95,2.95,168.61
2022-11-19 17:18:00,2.94,2.95,2.95,2.95,427.23
2022-11-19 17:22:00,2.94,2.95,2.94,2.95,219.67
2022-11-19 17:25:00,2.94,2.95,2.95,2.94,115.9
2022-11-19 17:28:00,2.93,2.95,2.95,2.93,18.89
2022-11-19 17:29:00,2.93,2.94,2.94,2.93,305.35
2022-11-19 17:32:00,2.93,2.93,2.93,2.93,27.18
2022-11-19 17:33:00,2.92,2.92,2.92,2.92,29.86
2022-11-19 17:35:00,2.92,2.93,2.92,2.93,202.33
2022-11-19 17:37:00,2.93,2.93,2.93,2.93,2.0
2022-11-19 17:38:00,2.92,2.93,2.93,2.92,1038.73
2022-11-19 17:39:00,2.92,2.93,2.93,2.92,183.23
2022-11-19 17:40:00,2.93,2.93,2.93,2.93,132.44
2022-11-19 17:42:00,2.94,2.94,2.94,2.94,154.71
2022-11-19 17:43:00,2.92,2.93,2.93,2.92,344.99
2022-11-19 17:46:00,2.92,2.92,2.92,2.92,321.02
2022-11-19 17:49:00,2.92,2.93,2.92,2.93,324.3
2022-11-19 17:54:00,2.92,2.94,2.94,2.92,845.26
2022-11-19 18:01:00,2.91,2.91,2.91,2.91,1313.35
2022-11-19 18:02:00,2.9,2.91,2.9,2.91,263.4
2022-11-19 18:03:00,2.91,2.91,2.91,2.91,69.83
2022-11-19 18:04:00,2.92,2.92,2.92,2.92,110.6
2022-11-19 18:08:00,2.91,2.91,2.91,2.91,168.61
2022-11-19 18:09:00,2.9,2.91,2.9,2.91,1804.82
2022-11-19 18:20:00,2.9,2.91,2.91,2.91,175.83
2022-11-19 18:22:00,2.9,2.91,2.91,2.9,528.67
2022-11-19 18:23:00,2.89,2.9,2.89,2.9,2168.61
2022-11-19 18:25:00,2.9,2.91,2.9,2.9,137.24
2022-11-19 18:27:00,2.9,2.91,2.91,2.9,685.27
2022-11-19 18:28:00,2.89,2.9,2.89,2.9,193.88
2022-11-19 18:31:00,2.89,2.9,2.89,2.9,82.82
2022-11-19 18:35:00,2.89,2.89,2.89,2.89,1168.51
2022-11-19 18:36:00,2.87,2.88,2.88,2.88,3157.62
2022-11-19 18:37:00,2.88,2.88,2.88,2.88,813.36
2022-11-19 18:39:00,2.89,2.89,2.89,2.89,34.26
2022-11-19 18:41:00,2.88,2.88,2.88,2.88,7.02
2022-11-19 18:43:00,2.89,2.89,2.89,2.89,822.83
2022-11-19 18:45:00,2.89,2.9,2.9,2.89,17.13
2022-11-19 18:46:00,2.89,2.89,2.89,2.89,697.51
2022-11-19 18:49:00,2.89,2.89,2.89,2.89,171.99
2022-11-19 18:51:00,2.88,2.89,2.89,2.89,160.99
2022-11-19 18:52:00,2.88,2.89,2.89,2.88,1.48
2022-11-19 18:57:00,2.87,2.88,2.88,2.88,2776.5
2022-11-19 18:59:00,2.88,2.88,2.88,2.88,163.11
2022-11-19 19:00:00,2.88,2.89,2.88,2.89,62.07
2022-11-19 19:02:00,2.88,2.89,2.89,2.89,14.52
2022-11-19 19:03:00,2.89,2.89,2.89,2.89,0.31
2022-11-19 19:04:00,2.88,2.89,2.89,2.88,8.71
2022-11-19 19:06:00,2.88,2.89,2.88,2.89,13.73
2022-11-19 19:10:00,2.88,2.88,2.88,2.88,270.79
2022-11-19 19:11:00,2.88,2.88,2.88,2.88,36.0
2022-11-19 19:18:00,2.89,2.89,2.89,2.89,13.44
2022-11-19 19:22:00,2.88,2.88,2.88,2.88,36.88
2022-11-19 19:23:00,2.88,2.88,2.88,2.88,34.6
2022-11-19 19:24:00,2.88,2.89,2.89,2.88,75.4
2022-11-19 19:30:00,2.88,2.9,2.89,2.89,3474.93
2022-11-19 19:32:00,2.88,2.88,2.88,2.88,1767.0
2022-11-19 19:38:00,2.88,2.89,2.89,2.88,37.82
2022-11-19 19:44:00,2.88,2.89,2.88,2.89,1711.25
2022-11-19 19:54:00,2.89,2.89,2.89,2.89,6.77
2022-11-19 20:03:00,2.87,2.87,2.87,2.87,45.69
2022-11-19 20:04:00,2.87,2.87,2.87,2.87,855.2
2022-11-19 20:07:00,2.87,2.88,2.88,2.87,1.93
2022-11-19 20:09:00,2.87,2.87,2.87,2.87,1170.03
2022-11-19 20:12:00,2.87,2.88,2.88,2.87,9.01
2022-11-19 20:17:00,2.87,2.88,2.88,2.88,4.27
2022-11-19 20:20:00,2.88,2.88,2.88,2.88,943.73
2022-11-19 20:21:00,2.88,2.88,2.88,2.88,23.1
2022-11-19 20:27:00,2.89,2.89,2.89,2.89,441.24
2022-11-19 20:28:00,2.88,2.89,2.89,2.88,112.04
2022-11-19 20:33:00,2.88,2.89,2.89,2.88,4.4
2022-11-19 20:39:00,2.88,2.88,2.88,2.88,68.02
2022-11-19 20:41:00,2.88,2.89,2.88,2.89,16.23
2022-11-19 20:51:00,2.88,2.88,2.88,2.88,104.88
2022-11-19 20:54:00,2.89,2.89,2.89,2.89,9.52
2022-11-19 20:58:00,2.88,2.89,2.88,2.89,219.45
2022-11-19 21:00:00,2.88,2.88,2.88,2.88,100.96
2022-11-19 21:07:00,2.88,2.88,2.88,2.88,349.62
2022-11-19 21:12:00,2.88,2.88,2.88,2.88,558.36
2022-11-19 21:14:00,2.87,2.87,2.87,2.87,1581.72
2022-11-19 21:17:00,2.88,2.88,2.88,2.88,10.0
2022-11-19 21:18:00,2.87,2.88,2.87,2.88,194.01
2022-11-19 21:21:00,2.86,2.88,2.87,2.88,1301.47
2022-11-19 21:22:00,2.88,2.88,2.88,2.88,175.84
2022-11-19 21:24:00,2.88,2.89,2.88,2.89,180.8
2022-11-19 21:30:00,2.89,2.89,2.89,2.89,204.16
