time,low,high,open,close,volume
2022-11-28 18:29:00,2.82,2.84,2.83,2.84,113.31
2022-11-28 18:30:00,2.82,2.83,2.83,2.82,3340.83
2022-11-28 18:36:00,2.82,2.82,2.82,2.82,6.57
2022-11-28 18:37:00,2.83,2.83,2.83,2.83,17.89
2022-11-28 18:38:00,2.83,2.83,2.83,2.83,4.82
2022-11-28 18:39:00,2.83,2.83,2.83,2.83,33.89
2022-11-28 18:40:00,2.82,2.83,2.83,2.82,937.23
2022-11-28 18:44:00,2.83,2.83,2.83,2.83,6.51
2022-11-28 18:45:00,2.82,2.82,2.82,2.82,1.74
2022-11-28 18:48:00,2.82,2.82,2.82,2.82,18.82
2022-11-28 18:52:00,2.81,2.82,2.81,2.82,205.91
2022-11-28 18:53:00,2.81,2.82,2.82,2.82,408.67
2022-11-28 18:57:00,2.81,2.82,2.81,2.82,131.38
2022-11-28 18:59:00,2.81,2.81,2.81,2.81,8.82
2022-11-28 19:00:00,2.8,2.81,2.81,2.81,207.26
2022-11-28 19:04:00,2.8,2.81,2.81,2.8,27.62
2022-11-28 19:06:00,2.8,2.82,2.82,2.81,33.26
2022-11-28 19:10:00,2.8,2.81,2.81,2.8,8.27
2022-11-28 19:13:00,2.8,2.81,2.8,2.81,203.42
2022-11-28 19:17:00,2.8,2.81,2.81,2.8,7112.62
2022-11-28 19:21:00,2.8,2.82,2.81,2.82,7038.15
2022-11-28 19:23:00,2.81,2.81,2.81,2.81,177.24
2022-11-28 19:24:00,2.82,2.82,2.82,2.82,364.25
2022-11-28 19:29:00,2.82,2.82,2.82,2.82,771.97
2022-11-28 19:32:00,2.82,2.82,2.82,2.82,92.95
2022-11-28 19:37:00,2.82,2.83,2.83,2.83,187.75
2022-11-28 19:39:00,2.83,2.83,2.83,2.83,999.38
2022-11-28 19:40:00,2.83,2.83,2.83,2.83,2200.0
2022-11-28 19:43:00,2.84,2.84,2.84,2.84,12.94
2022-11-28 19:50:00,2.84,2.84,2.84,2.84,1109.66
2022-11-28 19:59:00,2.83,2.84,2.84,2.83,50.0
2022-11-28 20:00:00,2.82,2.83,2.82,2.83,32.2
2022-11-28 20:06:00,2.82,2.83,2.82,2.83,8.75
