time,low,high,open,close,volume
2022-11-19 15:26:00,33.0,33.22,33.22,33.0,2.005
2022-11-19 15:27:00,33.22,33.22,33.22,33.22,9.765
2022-11-19 15:28:00,33.22,33.56,33.22,33.56,36.942
2022-11-19 15:29:00,33.34,33.57,33.34,33.57,2.541
2022-11-19 15:31:00,33.09,33.86,33.56,33.09,93.979
2022-11-19 15:32:00,33.37,33.37,33.37,33.37,1.313
2022-11-19 15:33:00,33.23,33.37,33.37,33.23,1.895
2022-11-19 15:34:00,33.16,33.62,33.61,33.16,89.82
2022-11-19 15:35:00,33.46,33.71,33.46,33.71,52.257
2022-11-19 15:36:00,33.46,33.71,33.46,33.71,86.168
2022-11-19 15:39:00,33.45,33.49,33.49,33.45,3.15
2022-11-19 15:40:00,33.44,33.71,33.46,33.46,26.988
2022-11-19 15:42:00,33.6,33.6,33.6,33.6,0.643
2022-11-19 15:44:00,33.48,33.6,33.48,33.6,0.792
2022-11-19 15:46:00,33.47,33.51,33.48,33.51,1.657
2022-11-19 15:47:00,33.6,33.88,33.6,33.68,45.203
2022-11-19 15:48:00,33.86,34.56,33.86,34.07,89.472
2022-11-19 15:49:00,34.11,34.58,34.2,34.54,41.937
2022-11-19 15:50:00,34.55,34.56,34.55,34.56,0.489
2022-11-19 15:52:00,34.03,34.57,34.03,34.03,13.91
2022-11-19 15:54:00,34.03,34.03,34.03,34.03,0.731
2022-11-19 15:56:00,33.91,34.03,34.03,33.91,8.438
2022-11-19 15:57:00,33.88,34.49,34.49,33.88,2.756
2022-11-19 15:58:00,33.92,34.43,34.43,33.92,7.653
2022-11-19 16:00:00,33.9,34.44,34.44,33.9,50.275
2022-11-19 16:01:00,33.91,34.44,34.41,34.44,9.756
2022-11-19 16:02:00,33.93,34.19,33.93,34.03,34.504
2022-11-19 16:03:00,33.75,34.04,33.92,33.75,139.531
2022-11-19 16:05:00,33.68,33.8,33.76,33.68,18.318
2022-11-19 16:08:00,33.24,33.68,33.68,33.46,20.376
2022-11-19 16:09:00,33.06,33.62,33.46,33.62,16.838
2022-11-19 16:10:00,32.67,33.76,33.62,33.0,310.463
2022-11-19 16:11:00,32.9,32.9,32.9,32.9,6.657
2022-11-19 16:14:00,32.89,33.01,32.97,33.01,55.809
2022-11-19 16:15:00,32.91,32.99,32.91,32.99,1.926
2022-11-19 16:19:00,33.01,33.23,33.01,33.23,1.37
2022-11-19 16:21:00,33.29,33.42,33.33,33.29,4.654
2022-11-19 16:23:00,33.29,33.29,33.29,33.29,1.017
2022-11-19 16:26:00,33.22,33.4,33.24,33.22,8.981
2022-11-19 16:29:00,33.03,33.23,33.23,33.03,47.459
2022-11-19 16:30:00,33.01,33.02,33.02,33.01,6.367
2022-11-19 16:31:00,33.02,33.39,33.02,33.05,9.909
2022-11-19 16:32:00,33.05,33.39,33.38,33.05,2.933
2022-11-19 16:35:00,33.02,33.1,33.1,33.02,14.809
2022-11-19 16:38:00,33.1,33.43,33.1,33.21,47.878
2022-11-19 16:39:00,33.23,33.23,33.23,33.23,1.88
2022-11-19 16:40:00,32.95,33.41,33.2,32.97,207.598
2022-11-19 16:41:00,32.69,33.0,32.82,32.94,132.258
2022-11-19 16:43:00,32.92,32.99,32.99,32.92,5.462
2022-11-19 16:44:00,32.69,32.99,32.99,32.69,99.21
2022-11-19 16:45:00,32.71,32.72,32.72,32.71,1.557
2022-11-19 16:47:00,32.82,32.82,32.82,32.82,1.819
2022-11-19 16:48:00,32.68,32.72,32.71,32.68,13.396
2022-11-19 16:49:00,32.68,32.73,32.71,32.73,144.621
2022-11-19 16:50:00,32.69,32.95,32.7,32.85,6.812
2022-11-19 16:52:00,32.97,32.99,32.97,32.97,3.794
2022-11-19 16:53:00,32.85,32.98,32.98,32.85,2.202
2022-11-19 16:54:00,32.84,32.85,32.85,32.84,2.573
2022-11-19 16:55:00,32.83,32.85,32.84,32.83,50.547
2022-11-19 16:58:00,32.83,32.83,32.83,32.83,16.782
2022-11-19 17:00:00,32.88,32.89,32.88,32.89,6.909
2022-11-19 17:02:00,32.97,33.02,32.97,33.02,27.247
2022-11-19 17:03:00,32.83,33.08,32.91,32.89,21.977
2022-11-19 17:06:00,32.86,32.89,32.89,32.87,12.58
2022-11-19 17:07:00,32.86,32.87,32.87,32.86,6.922
2022-11-19 17:08:00,32.86,33.15,32.86,32.86,6.357
2022-11-19 17:11:00,32.89,33.12,33.1,32.89,12.463
2022-11-19 17:14:00,32.89,32.89,32.89,32.89,0.137
2022-11-19 17:16:00,32.86,32.89,32.89,32.86,15.959
2022-11-19 17:17:00,32.87,33.21,33.09,32.87,102.9
2022-11-19 17:18:00,32.86,32.87,32.87,32.86,75.207
2022-11-19 17:19:00,32.86,32.86,32.86,32.86,1.939
2022-11-19 17:22:00,32.86,33.15,32.86,32.87,37.513
2022-11-19 17:27:00,32.86,32.87,32.87,32.86,9.366
2022-11-19 17:30:00,33.0,33.1,33.1,33.0,1.838
2022-11-19 17:31:00,33.0,33.33,33.0,33.33,1.445
2022-11-19 17:33:00,33.0,33.0,33.0,33.0,1.057
2022-11-19 17:34:00,33.14,33.56,33.28,33.19,104.652
2022-11-19 17:36:00,33.19,33.58,33.19,33.58,25.446
2022-11-19 17:37:00,32.94,33.6,33.56,33.21,48.92
2022-11-19 17:38:00,33.56,33.6,33.56,33.6,14.621
2022-11-19 17:40:00,33.21,33.5,33.22,33.5,2.622
2022-11-19 17:42:00,33.29,33.35,33.35,33.29,9.142
2022-11-19 17:43:00,32.99,33.6,33.54,32.99,103.358
2022-11-19 17:45:00,33.25,33.59,33.59,33.25,0.719
2022-11-19 17:46:00,33.25,33.6,33.59,33.6,13.814
2022-11-19 17:48:00,33.03,33.03,33.03,33.03,0.996
2022-11-19 17:51:00,33.01,33.03,33.03,33.02,2.678
2022-11-19 17:52:00,32.89,33.01,33.01,32.89,3.699
2022-11-19 17:54:00,32.86,33.36,32.9,33.23,129.094
2022-11-19 17:56:00,32.9,33.51,32.9,33.51,4.901
2022-11-19 17:57:00,32.89,32.9,32.9,32.89,0.401
2022-11-19 17:58:00,32.96,33.47,32.96,33.47,0.457
2022-11-19 17:59:00,33.53,33.58,33.55,33.54,15.881
2022-11-19 18:00:00,33.53,33.56,33.53,33.56,10.646
2022-11-19 18:01:00,33.01,33.56,33.01,33.02,12.969
2022-11-19 18:02:00,32.89,33.56,33.54,32.89,26.542
2022-11-19 18:03:00,32.9,33.52,33.52,32.9,0.236
2022-11-19 18:06:00,32.91,32.92,32.91,32.92,0.576
2022-11-19 18:08:00,32.89,32.96,32.89,32.96,6.488
2022-11-19 18:11:00,32.96,32.96,32.96,32.96,0.749
2022-11-19 18:12:00,32.95,33.48,32.96,33.48,3.369
2022-11-19 18:14:00,32.94,32.96,32.96,32.94,6.084
2022-11-19 18:15:00,32.9,32.94,32.94,32.9,10.647
2022-11-19 18:17:00,32.87,33.41,33.27,32.88,6.844
2022-11-19 18:18:00,33.42,33.44,33.42,33.43,11.168
2022-11-19 18:19:00,32.88,32.94,32.88,32.93,3.113
2022-11-19 18:20:00,32.89,33.43,32.9,33.43,8.937
2022-11-19 18:22:00,32.89,33.45,32.89,33.45,0.083
2022-11-19 18:24:00,32.94,33.45,33.45,32.94,9.002
2022-11-19 18:25:00,32.87,33.18,33.18,32.87,8.115
2022-11-19 18:26:00,32.9,33.41,32.9,33.41,10.586
2022-11-19 18:27:00,32.9,33.39,32.9,33.39,0.207
2022-11-19 18:29:00,33.46,33.48,33.46,33.48,24.605
2022-11-19 18:30:00,33.47,33.47,33.47,33.47,3.046
2022-11-19 18:31:00,32.93,32.97,32.94,32.96,4.68
2022-11-19 18:32:00,32.3,32.93,32.93,32.77,517.984
2022-11-19 18:33:00,32.82,33.31,32.82,33.31,25.875
2022-11-19 18:35:00,32.84,32.97,32.97,32.84,24.443
2022-11-19 18:36:00,33.2,33.2,33.2,33.2,0.059
2022-11-19 18:37:00,32.55,33.05,32.63,32.55,9.855
2022-11-19 18:38:00,32.4,32.5,32.42,32.5,16.31
2022-11-19 18:39:00,32.4,32.49,32.49,32.42,38.207
2022-11-19 18:40:00,32.44,32.44,32.44,32.44,0.382
2022-11-19 18:41:00,32.42,32.92,32.42,32.44,0.496
2022-11-19 18:42:00,32.33,32.92,32.92,32.33,1.961
2022-11-19 18:45:00,31.55,32.45,32.45,32.1,421.46
2022-11-19 18:46:00,31.94,32.1,31.95,31.95,52.01
2022-11-19 18:47:00,32.23,32.25,32.23,32.25,1.957
2022-11-19 18:48:00,32.23,32.24,32.23,32.24,1.532
2022-11-19 18:49:00,31.68,32.28,32.25,31.74,72.298
2022-11-19 18:50:00,32.05,32.05,32.05,32.05,2.24
2022-11-19 18:51:00,32.27,32.53,32.27,32.28,55.34
2022-11-19 18:52:00,32.28,32.53,32.52,32.28,23.295
2022-11-19 18:53:00,32.09,32.51,32.51,32.09,1.61
2022-11-19 18:54:00,32.07,32.22,32.07,32.22,1.144
2022-11-19 18:55:00,32.08,32.25,32.25,32.09,41.178
2022-11-19 18:56:00,31.88,32.53,32.5,32.06,32.873
2022-11-19 18:57:00,32.4,32.4,32.4,32.4,1.525
2022-11-19 18:58:00,32.42,32.44,32.42,32.43,32.23
2022-11-19 18:59:00,32.43,32.45,32.45,32.43,33.0
2022-11-19 19:00:00,32.29,32.46,32.43,32.29,5.496
2022-11-19 19:01:00,32.05,32.38,32.1,32.27,32.027
2022-11-19 19:03:00,32.05,32.25,32.25,32.05,16.422
2022-11-19 19:04:00,31.58,32.05,32.05,31.58,91.914
2022-11-19 19:05:00,31.89,32.07,32.07,31.89,32.126
2022-11-19 19:08:00,31.93,32.26,31.93,32.03,4.57
2022-11-19 19:09:00,31.99,32.38,32.26,31.99,14.705
2022-11-19 19:10:00,32.07,32.47,32.24,32.14,6.622
2022-11-19 19:11:00,31.97,32.15,31.97,32.15,1.066
2022-11-19 19:12:00,31.97,32.16,32.15,31.97,3.108
2022-11-19 19:13:00,31.91,32.18,31.92,32.18,8.644
2022-11-19 19:14:00,31.91,32.0,32.0,31.91,4.062
2022-11-19 19:15:00,31.55,31.91,31.91,31.75,116.358
2022-11-19 19:16:00,31.56,31.9,31.86,31.9,147.17
2022-11-19 19:17:00,31.57,32.05,31.63,32.05,70.218
2022-11-19 19:19:00,31.63,31.63,31.63,31.63,1.388
2022-11-19 19:21:00,31.65,32.02,31.65,32.02,0.532
2022-11-19 19:22:00,31.7,32.1,32.03,31.86,34.655
2022-11-19 19:23:00,31.9,32.46,32.28,32.38,37.535
2022-11-19 19:24:00,31.91,32.06,32.06,31.96,33.538
2022-11-19 19:25:00,31.5,31.96,31.96,31.5,249.842
2022-11-19 19:26:00,31.25,31.58,31.5,31.5,50.243
2022-11-19 19:27:00,31.27,31.29,31.29,31.28,37.615
2022-11-19 19:28:00,31.28,32.0,31.48,31.62,199.105
2022-11-19 19:29:00,31.31,31.8,31.65,31.8,108.203
2022-11-19 19:30:00,31.52,32.01,31.79,31.52,26.643
2022-11-19 19:31:00,31.43,31.52,31.52,31.43,2.381
2022-11-19 19:32:00,31.39,31.39,31.39,31.39,0.109
2022-11-19 19:33:00,31.5,31.97,31.5,31.5,6.071
2022-11-19 19:34:00,31.52,31.52,31.52,31.52,1.673
2022-11-19 19:35:00,31.96,31.99,31.96,31.99,14.604
2022-11-19 19:36:00,31.32,31.98,31.53,31.32,61.25
2022-11-19 19:37:00,31.28,31.99,31.33,31.99,24.227
2022-11-19 19:41:00,31.34,31.36,31.35,31.35,9.904
2022-11-19 19:43:00,31.35,31.37,31.35,31.36,4.026
2022-11-19 19:44:00,31.34,31.95,31.95,31.92,1.199
2022-11-19 19:45:00,31.35,31.36,31.36,31.35,4.267
2022-11-19 19:46:00,31.5,31.97,31.5,31.97,2.655
2022-11-19 19:48:00,31.37,32.0,31.95,31.4,36.454
2022-11-19 19:49:00,31.3,31.95,31.3,31.93,4.341
2022-11-19 19:50:00,31.26,31.99,31.36,31.26,89.03
2022-11-19 19:51:00,31.26,31.5,31.26,31.5,3.103
2022-11-19 19:52:00,31.5,31.61,31.51,31.61,35.209
2022-11-19 19:55:00,31.26,31.97,31.26,31.66,106.942
2022-11-19 19:56:00,31.76,31.83,31.83,31.76,4.792
2022-11-19 19:57:00,31.33,31.88,31.88,31.54,4.786
2022-11-19 19:58:00,31.68,32.0,31.95,31.68,66.596
2022-11-19 19:59:00,31.66,31.84,31.69,31.82,114.86
2022-11-19 20:01:00,31.83,31.84,31.84,31.83,9.662
2022-11-19 20:03:00,31.83,32.43,31.83,32.38,49.267
2022-11-19 20:04:00,31.86,31.87,31.86,31.87,0.111
2022-11-19 20:05:00,31.86,31.9,31.9,31.86,5.084
2022-11-19 20:06:00,31.52,31.87,31.87,31.77,389.878
2022-11-19 20:08:00,31.68,31.99,31.96,31.68,4.779
2022-11-19 20:09:00,31.51,31.72,31.51,31.51,0.859
2022-11-19 20:10:00,31.51,31.74,31.74,31.51,0.096
2022-11-19 20:11:00,31.47,31.73,31.73,31.47,0.795
2022-11-19 20:13:00,31.47,31.57,31.57,31.47,0.389
2022-11-19 20:15:00,31.26,31.54,31.47,31.54,55.038
2022-11-19 20:16:00,31.29,31.61,31.29,31.61,28.607
2022-11-19 20:18:00,31.57,31.62,31.59,31.62,134.09
2022-11-19 20:20:00,31.57,31.57,31.57,31.57,1.25
2022-11-19 20:21:00,31.57,31.62,31.57,31.62,9.361
2022-11-19 20:22:00,31.5,31.58,31.58,31.5,15.811
2022-11-19 20:25:00,31.51,31.6,31.6,31.52,4.339
2022-11-19 20:26:00,31.49,31.51,31.51,31.5,48.955
2022-11-19 20:27:00,31.25,31.49,31.28,31.45,59.561
2022-11-19 20:28:00,31.1,31.52,31.52,31.52,141.45
2022-11-19 20:29:00,29.99,31.47,31.24,29.99,438.062
2022-11-19 20:30:00,29.8,31.18,29.81,31.18,341.471
2022-11-19 20:31:00,30.83,31.62,30.96,31.59,80.228
2022-11-19 20:32:00,30.71,31.59,31.59,31.25,97.142
2022-11-19 20:33:00,30.62,31.36,31.22,30.93,75.977
2022-11-19 20:34:00,31.02,31.02,31.02,31.02,0.111
2022-11-19 20:35:00,30.64,30.96,30.88,30.8,118.247
2022-11-19 20:36:00,30.51,31.45,30.51,30.9,56.71
