time,low,high,open,close,volume
2022-11-19 15:10:00,19.08,19.08,19.08,19.08,2.607
2022-11-19 15:24:00,18.99,19.07,19.07,18.99,47.045
2022-11-19 15:37:00,19.05,19.06,19.05,19.06,31.107
2022-11-19 15:58:00,19.07,19.44,19.07,19.44,361.685
2022-11-19 16:00:00,19.18,19.21,19.18,19.19,10.6
2022-11-19 16:01:00,19.15,19.25,19.15,19.25,10.633
2022-11-19 16:09:00,19.13,19.13,19.13,19.13,1.577
2022-11-19 16:38:00,19.11,19.17,19.17,19.11,35.903
2022-11-19 16:53:00,19.14,19.15,19.14,19.14,3.263
2022-11-19 17:03:00,19.15,19.15,19.15,19.15,0.083
2022-11-19 17:16:00,19.14,19.15,19.15,19.15,2.519
2022-11-19 17:22:00,19.15,19.17,19.15,19.17,11.548
2022-11-19 17:31:00,19.12,19.17,19.17,19.12,20.673
2022-11-19 17:36:00,19.09,19.11,19.11,19.09,20.85
2022-11-19 17:39:00,19.01,19.14,19.14,19.02,37.226
2022-11-19 17:50:00,19.06,19.19,19.07,19.19,61.097
2022-11-19 17:57:00,19.05,19.15,19.15,19.05,2.935
2022-11-19 18:19:00,19.13,19.14,19.13,19.14,2.037
2022-11-19 18:25:00,19.08,19.13,19.13,19.08,1.146
2022-11-19 18:33:00,19.08,19.14,19.14,19.08,5.593
2022-11-19 19:00:00,19.09,19.13,19.12,19.09,3.575
2022-11-19 19:04:00,19.14,19.14,19.14,19.14,1.028
2022-11-19 19:08:00,19.14,19.15,19.14,19.15,1.977
2022-11-19 19:12:00,19.06,19.1,19.1,19.09,26.891
2022-11-19 19:24:00,19.16,19.16,19.16,19.16,0.468
2022-11-19 19:31:00,18.91,19.12,19.12,18.91,507.117
2022-11-19 19:45:00,19.03,19.08,19.08,19.03,1.961
2022-11-19 19:50:00,19.02,19.04,19.03,19.03,18.122
2022-11-19 20:05:00,19.04,19.04,19.04,19.04,0.082
2022-11-19 20:11:00,19.06,19.06,19.06,19.06,1.545
2022-11-19 20:22:00,19.05,19.07,19.05,19.07,16.6
2022-11-19 20:23:00,19.0,19.0,19.0,19.0,0.279
2022-11-19 20:28:00,18.99,19.02,18.99,19.02,6.442
2022-11-19 20:44:00,18.98,19.0,19.0,18.98,1.02
2022-11-19 21:02:00,18.92,18.93,18.93,18.92,2.224
2022-11-19 21:03:00,18.93,18.95,18.93,18.94,36.744
2022-11-19 21:04:00,18.93,18.95,18.93,18.95,4.836
2022-11-19 21:07:00,18.93,18.96,18.95,18.93,6.012
2022-11-19 21:44:00,18.96,18.99,18.98,18.96,5.538
2022-11-19 21:53:00,18.97,18.98,18.98,18.97,2.533
2022-11-19 21:58:00,19.0,19.0,19.0,19.0,3.57
2022-11-19 21:59:00,19.0,19.0,19.0,19.0,0.57
2022-11-19 22:17:00,19.0,19.0,19.0,19.0,0.181
2022-11-19 22:18:00,19.0,19.01,19.0,19.0,51.236
2022-11-19 22:44:00,19.12,19.13,19.12,19.12,3.92
2022-11-19 22:47:00,19.12,19.46,19.12,19.34,672.085
2022-11-19 22:48:00,19.2,19.26,19.26,19.21,2.758
2022-11-19 22:49:00,19.17,19.22,19.21,19.17,14.534
2022-11-19 22:58:00,19.2,19.28,19.2,19.27,32.848
2022-11-19 23:01:00,19.22,19.29,19.29,19.22,20.691
2022-11-19 23:17:00,19.21,19.21,19.21,19.21,1.696
2022-11-19 23:18:00,19.2,19.21,19.21,19.2,2.014
2022-11-19 23:21:00,19.2,19.2,19.2,19.2,1.696
2022-11-19 23:23:00,19.18,19.23,19.23,19.18,1.103
2022-11-19 23:25:00,19.23,19.25,19.23,19.25,10.459
2022-11-19 23:30:00,19.19,19.27,19.27,19.19,0.232
2022-11-19 23:58:00,19.14,19.3,19.29,19.24,367.08
2022-11-20 00:01:00,19.12,19.21,19.15,19.18,143.453
2022-11-20 00:06:00,19.22,19.24,19.22,19.23,2.968
2022-11-20 00:13:00,19.19,19.22,19.2,19.22,6.715
2022-11-20 00:46:00,19.16,19.16,19.16,19.16,5.405
2022-11-20 00:57:00,19.17,19.17,19.17,19.17,10.8
2022-11-20 01:01:00,19.17,19.18,19.17,19.18,10.0
2022-11-20 01:03:00,19.17,19.18,19.18,19.17,0.636
2022-11-20 01:04:00,19.17,19.18,19.17,19.17,18.663
2022-11-20 01:31:00,19.17,19.22,19.19,19.21,18.26
2022-11-20 01:46:00,19.22,19.23,19.22,19.22,8.779
2022-11-20 02:22:00,19.21,19.23,19.21,19.23,4.77
2022-11-20 02:23:00,19.23,19.26,19.24,19.23,9.134
2022-11-20 02:38:00,19.17,19.23,19.21,19.23,102.754
2022-11-20 02:47:00,19.23,19.24,19.23,19.23,12.935
2022-11-20 03:18:00,19.17,19.21,19.21,19.17,49.947
2022-11-20 03:23:00,19.14,19.26,19.2,19.26,149.814
2022-11-20 03:24:00,19.17,19.19,19.19,19.17,49.938
2022-11-20 03:28:00,19.21,19.27,19.21,19.27,45.094
2022-11-20 03:38:00,19.19,19.22,19.22,19.19,20.458
2022-11-20 03:58:00,19.23,19.23,19.23,19.23,3.0
2022-11-20 04:17:00,19.1,19.23,19.21,19.23,121.061
2022-11-20 04:27:00,19.14,19.16,19.16,19.14,56.302
2022-11-20 04:41:00,19.15,19.15,19.15,19.15,0.006
2022-11-20 04:43:00,19.03,19.11,19.11,19.03,21.265
2022-11-20 04:47:00,19.12,19.13,19.12,19.13,2.091
2022-11-20 05:03:00,19.1,19.14,19.14,19.1,2.66
2022-11-20 05:39:00,19.1,19.11,19.1,19.1,9.4
2022-11-20 05:50:00,19.11,19.12,19.11,19.12,1.589
2022-11-20 06:36:00,19.08,19.11,19.11,19.08,1.38
2022-11-20 06:48:00,19.01,19.08,19.08,19.01,10.417
2022-11-20 07:44:00,19.01,19.02,19.01,19.01,5.433
2022-11-20 08:11:00,19.01,19.06,19.06,19.01,1.077
2022-11-20 08:40:00,19.0,19.02,19.02,19.0,9.374
2022-11-20 08:49:00,18.97,19.0,18.97,19.0,0.731
2022-11-20 09:19:00,18.97,18.99,18.97,18.99,4.623
2022-11-20 09:25:00,18.98,18.98,18.98,18.98,0.426
2022-11-20 09:40:00,18.9,18.95,18.95,18.9,2.954
2022-11-20 10:15:00,18.9,18.93,18.9,18.93,13.719
2022-11-20 10:33:00,18.93,18.93,18.93,18.93,1.026
2022-11-20 10:44:00,18.91,18.91,18.91,18.91,0.53
2022-11-20 10:50:00,18.9,18.97,18.95,18.9,20.537
2022-11-20 10:51:00,18.89,18.95,18.91,18.95,15.82
2022-11-20 10:56:00,18.92,18.94,18.92,18.94,8.809
2022-11-20 11:03:00,18.93,18.93,18.93,18.93,5.522
2022-11-20 11:22:00,18.92,18.94,18.92,18.94,5.096
2022-11-20 11:30:00,18.81,18.89,18.89,18.81,7.443
2022-11-20 11:33:00,18.76,18.8,18.8,18.76,5.314
2022-11-20 11:34:00,18.62,18.75,18.75,18.63,32.373
2022-11-20 11:35:00,18.62,18.67,18.62,18.67,87.342
2022-11-20 11:36:00,18.63,18.64,18.64,18.63,88.062
2022-11-20 11:37:00,18.63,18.64,18.64,18.64,6.46
2022-11-20 11:38:00,18.61,18.63,18.63,18.61,13.946
2022-11-20 11:41:00,18.62,18.64,18.62,18.63,21.629
2022-11-20 11:42:00,18.6,18.6,18.6,18.6,1.1
2022-11-20 11:46:00,18.53,18.61,18.57,18.61,5.776
2022-11-20 12:01:00,18.53,18.64,18.57,18.64,18.043
2022-11-20 12:18:00,18.55,18.6,18.58,18.6,52.0
2022-11-20 12:24:00,18.51,18.58,18.53,18.51,54.224
2022-11-20 12:29:00,18.53,18.56,18.54,18.56,11.241
2022-11-20 12:35:00,18.55,18.58,18.57,18.55,13.148
2022-11-20 12:44:00,18.51,18.55,18.55,18.51,6.671
2022-11-20 12:50:00,18.51,18.57,18.53,18.57,12.9
2022-11-20 13:09:00,18.51,18.56,18.55,18.51,13.53
2022-11-20 13:15:00,18.54,18.55,18.55,18.54,3.446
2022-11-20 13:34:00,18.58,18.58,18.58,18.58,0.856
2022-11-20 13:41:00,18.58,18.62,18.58,18.62,13.327
2022-11-20 13:42:00,18.6,18.63,18.63,18.6,15.264
2022-11-20 13:43:00,18.63,18.69,18.63,18.69,1.007
2022-11-20 13:47:00,18.65,18.67,18.65,18.67,9.702
2022-11-20 13:55:00,18.64,18.69,18.64,18.69,1.465
2022-11-20 13:58:00,18.65,18.67,18.65,18.67,2.018
2022-11-20 14:00:00,18.65,18.67,18.67,18.65,5.318
2022-11-20 14:05:00,18.65,18.72,18.65,18.72,3.272
2022-11-20 14:07:00,18.66,18.66,18.66,18.66,3.604
2022-11-20 14:10:00,18.68,18.69,18.68,18.69,1.044
2022-11-20 14:13:00,18.68,18.68,18.68,18.68,1.171
2022-11-20 14:19:00,18.65,18.67,18.65,18.65,4.686
2022-11-20 14:37:00,18.62,18.62,18.62,18.62,1.125
2022-11-20 14:38:00,18.62,18.64,18.62,18.64,11.464
2022-11-20 14:41:00,18.56,18.59,18.59,18.56,10.604
2022-11-20 14:50:00,18.52,18.55,18.55,18.52,30.97
2022-11-20 15:02:00,18.5,18.6,18.59,18.54,21.838
2022-11-20 15:06:00,18.52,18.55,18.55,18.52,1.123
2022-11-20 15:14:00,18.5,18.52,18.52,18.5,69.72
2022-11-20 15:19:00,18.55,18.56,18.55,18.56,2.144
2022-11-20 15:21:00,18.55,18.56,18.55,18.55,2.441
2022-11-20 15:32:00,18.55,18.58,18.55,18.58,9.985
2022-11-20 15:33:00,18.53,18.59,18.59,18.53,3.991
2022-11-20 15:40:00,18.58,18.6,18.58,18.59,14.522
2022-11-20 15:46:00,18.59,18.59,18.59,18.59,0.906
2022-11-20 16:30:00,18.58,18.59,18.58,18.59,15.139
2022-11-20 16:34:00,18.53,18.58,18.54,18.58,10.643
2022-11-20 16:38:00,18.55,18.56,18.56,18.55,1.352
2022-11-20 17:01:00,18.53,18.55,18.55,18.53,0.065
2022-11-20 17:07:00,18.52,18.54,18.54,18.52,0.034
2022-11-20 17:18:00,18.52,18.53,18.52,18.52,5.528
2022-11-20 17:27:00,18.45,18.53,18.53,18.46,28.948
2022-11-20 17:29:00,18.41,18.41,18.41,18.41,3.424
2022-11-20 17:32:00,18.44,18.48,18.48,18.44,0.398
2022-11-20 17:40:00,18.41,18.44,18.44,18.41,0.906
2022-11-20 17:41:00,18.41,18.41,18.41,18.41,1.696
2022-11-20 17:43:00,18.41,18.42,18.42,18.41,5.432
2022-11-20 17:46:00,18.38,18.38,18.38,18.38,0.212
2022-11-20 17:47:00,18.39,18.41,18.39,18.41,2.51
2022-11-20 17:48:00,18.38,18.38,18.38,18.38,4.0
2022-11-20 17:50:00,18.34,18.4,18.34,18.4,25.022
2022-11-20 17:56:00,18.34,18.39,18.39,18.34,2.444
2022-11-20 18:07:00,18.17,18.29,18.29,18.23,162.448
2022-11-20 18:08:00,18.21,18.23,18.23,18.21,2.813
2022-11-20 18:13:00,18.24,18.26,18.24,18.26,25.541
2022-11-20 18:17:00,18.26,18.28,18.26,18.28,12.928
2022-11-20 18:23:00,18.28,18.34,18.28,18.34,6.444
2022-11-20 18:54:00,18.29,18.34,18.34,18.29,2.657
2022-11-20 19:11:00,18.28,18.31,18.29,18.3,6.355
2022-11-20 19:27:00,18.31,18.31,18.31,18.31,1.696
2022-11-20 19:30:00,18.3,18.3,18.3,18.3,1.802
2022-11-20 19:40:00,18.29,18.29,18.29,18.29,1.118
2022-11-20 19:55:00,18.3,18.34,18.3,18.34,1.901
2022-11-20 20:01:00,18.35,18.47,18.4,18.35,49.771
2022-11-20 20:15:00,18.29,18.3,18.29,18.3,7.569
2022-11-20 20:34:00,18.26,18.26,18.26,18.26,0.08
2022-11-20 20:42:00,18.22,18.28,18.27,18.22,5.353
2022-11-20 20:51:00,18.2,18.25,18.24,18.2,2.054
2022-11-20 21:18:00,18.1,18.18,18.18,18.1,100.0
2022-11-20 21:22:00,18.17,18.17,18.17,18.17,6.275
2022-11-20 21:23:00,18.14,18.17,18.17,18.14,2.991
2022-11-20 21:28:00,18.13,18.13,18.13,18.13,0.81
2022-11-20 21:30:00,18.08,18.12,18.12,18.12,53.45
2022-11-20 21:31:00,18.11,18.14,18.11,18.14,6.06
2022-11-20 21:32:00,18.08,18.13,18.13,18.08,59.017
2022-11-20 21:34:00,18.09,18.1,18.09,18.1,2.336
2022-11-20 21:41:00,18.11,18.11,18.11,18.11,1.712
2022-11-20 21:42:00,18.1,18.1,18.1,18.1,1.696
2022-11-20 21:45:00,18.07,18.08,18.08,18.08,5.118
2022-11-20 21:46:00,18.08,18.08,18.08,18.08,4.0
2022-11-20 21:47:00,18.07,18.08,18.07,18.07,14.098
2022-11-20 21:48:00,18.04,18.07,18.07,18.04,16.796
2022-11-20 21:52:00,18.03,18.07,18.07,18.03,4.365
2022-11-20 21:53:00,18.0,18.02,18.02,18.01,1.767
2022-11-20 21:54:00,18.0,18.01,18.01,18.0,51.989
2022-11-20 21:56:00,17.94,17.99,17.99,17.94,13.782
2022-11-20 21:58:00,17.91,17.91,17.91,17.91,2.784
2022-11-20 21:59:00,17.93,17.96,17.96,17.93,0.374
2022-11-20 22:01:00,17.93,17.93,17.93,17.93,63.282
2022-11-20 22:02:00,17.91,17.93,17.93,17.91,44.004
2022-11-20 22:07:00,17.98,18.01,17.98,18.01,37.15
2022-11-20 22:10:00,17.94,17.99,17.99,17.94,2.761
2022-11-20 22:16:00,17.98,18.03,17.98,18.03,56.601
2022-11-20 22:18:00,18.0,18.02,18.02,18.0,1.161
2022-11-20 22:28:00,17.91,17.99,17.99,17.91,34.226
2022-11-20 22:29:00,17.84,17.93,17.93,17.84,28.212
2022-11-20 22:31:00,17.89,17.9,17.9,17.9,4.82
2022-11-20 22:39:00,17.88,17.9,17.9,17.88,2.784
2022-11-20 22:42:00,17.86,17.9,17.88,17.86,7.56
2022-11-20 22:44:00,17.9,17.93,17.9,17.93,5.557
2022-11-20 22:53:00,17.88,17.93,17.92,17.88,56.707
2022-11-20 23:00:00,17.9,17.93,17.91,17.9,49.903
2022-11-20 23:02:00,17.55,17.83,17.81,17.67,422.583
2022-11-20 23:03:00,17.66,17.78,17.66,17.73,37.236
2022-11-20 23:07:00,17.75,17.75,17.75,17.75,1.908
2022-11-20 23:08:00,17.75,17.77,17.75,17.77,6.602
2022-11-20 23:10:00,17.73,17.75,17.75,17.73,6.014
2022-11-20 23:14:00,17.72,17.8,17.77,17.75,63.448
2022-11-20 23:27:00,17.73,17.77,17.73,17.77,15.75
2022-11-20 23:47:00,17.77,17.81,17.77,17.81,6.282
2022-11-20 23:54:00,17.8,17.81,17.81,17.8,5.728
2022-11-21 00:04:00,17.81,17.82,17.82,17.81,10.608
2022-11-21 00:05:00,17.79,17.82,17.81,17.79,38.659
2022-11-21 00:06:00,17.78,17.81,17.79,17.78,21.17
2022-11-21 00:07:00,17.66,17.68,17.66,17.68,1.183
2022-11-21 00:21:00,17.68,17.79,17.68,17.79,55.341
2022-11-21 00:49:00,17.71,17.75,17.71,17.72,57.883
2022-11-21 00:51:00,17.62,17.78,17.76,17.62,60.393
2022-11-21 00:52:00,17.63,17.73,17.63,17.73,2.122
2022-11-21 01:00:00,17.7,17.74,17.72,17.74,58.097
2022-11-21 01:05:00,17.74,17.74,17.74,17.74,28.19
2022-11-21 01:06:00,17.77,17.77,17.77,17.77,2.578
2022-11-21 01:11:00,17.77,17.77,17.77,17.77,11.456
2022-11-21 01:14:00,17.78,17.81,17.81,17.78,20.328
2022-11-21 01:44:00,17.74,17.74,17.74,17.74,1.63
2022-11-21 01:49:00,17.54,17.74,17.74,17.54,138.721
2022-11-21 01:56:00,17.57,17.59,17.59,17.57,50.88
2022-11-21 02:10:00,17.46,17.57,17.57,17.46,213.793
2022-11-21 02:11:00,17.52,17.52,17.52,17.52,0.906
2022-11-21 02:12:00,17.5,17.52,17.52,17.51,28.662
2022-11-21 02:13:00,17.42,17.51,17.51,17.42,1.246
2022-11-21 02:18:00,17.22,17.3,17.3,17.22,58.554
2022-11-21 02:19:00,17.23,17.26,17.24,17.26,40.58
2022-11-21 02:24:00,17.21,17.23,17.23,17.21,6.608
2022-11-21 02:26:00,17.07,17.2,17.2,17.19,116.746
2022-11-21 02:27:00,17.19,17.19,17.19,17.19,0.106
2022-11-21 02:28:00,17.17,17.18,17.18,17.17,2.168
2022-11-21 02:37:00,17.26,17.31,17.26,17.31,58.364
2022-11-21 02:41:00,17.31,17.33,17.32,17.31,9.842
2022-11-21 02:42:00,17.3,17.31,17.31,17.3,10.72
2022-11-21 02:45:00,17.31,17.37,17.37,17.33,28.073
2022-11-21 02:48:00,17.26,17.32,17.29,17.32,17.65
2022-11-21 02:49:00,17.31,17.31,17.31,17.31,0.891
2022-11-21 02:51:00,17.3,17.31,17.3,17.31,0.54
2022-11-21 02:53:00,17.3,17.31,17.31,17.31,5.849
2022-11-21 02:56:00,17.3,17.32,17.3,17.31,17.385
2022-11-21 03:00:00,17.32,17.34,17.32,17.34,1.06
2022-11-21 03:03:00,17.35,17.36,17.36,17.35,2.402
2022-11-21 03:06:00,17.34,17.36,17.36,17.35,30.39
2022-11-21 03:08:00,17.33,17.35,17.35,17.33,3.309
2022-11-21 03:22:00,17.29,17.35,17.35,17.29,12.032
2022-11-21 03:35:00,17.24,17.31,17.27,17.24,45.46
2022-11-21 04:03:00,17.4,17.43,17.4,17.43,6.791
2022-11-21 04:15:00,17.44,17.56,17.44,17.56,1.51
2022-11-21 04:19:00,17.53,17.53,17.53,17.53,0.424
2022-11-21 04:20:00,17.28,17.51,17.51,17.49,37.78
2022-11-21 04:26:00,17.51,17.52,17.51,17.51,9.584
2022-11-21 04:27:00,17.5,17.53,17.51,17.51,6.256
2022-11-21 04:28:00,17.37,17.48,17.43,17.47,6.54
2022-11-21 04:29:00,17.51,17.55,17.51,17.55,100.99
2022-11-21 04:30:00,17.54,17.59,17.54,17.59,141.557
2022-11-21 04:42:00,17.52,17.59,17.53,17.59,6.0
2022-11-21 04:51:00,17.4,17.5,17.5,17.4,47.659
2022-11-21 04:52:00,17.32,17.41,17.34,17.41,7.638
2022-11-21 04:53:00,17.39,17.45,17.39,17.45,1.908
2022-11-21 05:00:00,17.39,17.46,17.42,17.46,34.027
2022-11-21 05:06:00,17.41,17.48,17.47,17.41,18.594
2022-11-21 05:44:00,17.42,17.47,17.47,17.42,4.573
2022-11-21 05:54:00,17.5,17.55,17.5,17.55,24.54
2022-11-21 06:32:00,17.53,17.55,17.53,17.55,9.889
2022-11-21 07:20:00,17.48,17.54,17.54,17.48,1.507
2022-11-21 07:59:00,17.49,17.51,17.49,17.51,5.689
2022-11-21 08:04:00,17.39,17.48,17.41,17.48,23.614
2022-11-21 08:11:00,17.4,17.48,17.43,17.48,6.808
2022-11-21 08:37:00,17.42,17.46,17.44,17.46,4.15
2022-11-21 08:54:00,17.4,17.46,17.46,17.4,61.202
2022-11-21 08:59:00,17.38,17.41,17.41,17.38,41.898
2022-11-21 09:01:00,17.37,17.39,17.39,17.39,26.908
2022-11-21 09:09:00,17.22,17.29,17.27,17.23,85.307
2022-11-21 09:10:00,17.27,17.29,17.27,17.29,16.877
2022-11-21 09:11:00,17.25,17.28,17.27,17.26,53.463
2022-11-21 09:12:00,17.21,17.27,17.27,17.21,77.91
2022-11-21 09:13:00,17.15,17.18,17.18,17.15,20.034
2022-11-21 09:15:00,17.13,17.14,17.14,17.13,10.254
2022-11-21 09:18:00,17.14,17.14,17.14,17.14,0.954
2022-11-21 09:19:00,17.13,17.14,17.14,17.14,1.018
2022-11-21 09:23:00,17.02,17.13,17.13,17.03,6.227
2022-11-21 09:25:00,16.75,17.01,17.01,16.75,90.923
2022-11-21 09:26:00,16.75,16.75,16.75,16.75,1.143
2022-11-21 09:27:00,16.58,16.75,16.75,16.58,9.574
2022-11-21 09:33:00,16.58,16.69,16.65,16.69,43.334
2022-11-21 09:39:00,16.65,16.67,16.65,16.67,3.5
2022-11-21 09:54:00,16.76,16.78,16.78,16.76,0.54
2022-11-21 10:02:00,16.76,16.76,16.76,16.76,1.802
2022-11-21 10:03:00,16.76,16.76,16.76,16.76,0.53
2022-11-21 10:04:00,16.77,16.79,16.77,16.79,3.71
2022-11-21 10:07:00,16.77,16.8,16.77,16.8,120.059
2022-11-21 10:09:00,16.8,16.8,16.8,16.8,2.299
2022-11-21 10:11:00,16.8,16.8,16.8,16.8,3.43
2022-11-21 10:17:00,16.7,16.8,16.8,16.79,125.374
2022-11-21 10:21:00,16.76,16.79,16.79,16.78,7.72
2022-11-21 10:22:00,16.75,16.77,16.77,16.75,11.017
2022-11-21 10:25:00,16.77,16.77,16.77,16.77,2.44
2022-11-21 10:26:00,16.76,16.77,16.76,16.77,2.1
2022-11-21 10:38:00,16.66,16.66,16.66,16.66,8.05
2022-11-21 10:39:00,16.66,16.66,16.66,16.66,3.286
2022-11-21 10:40:00,16.66,16.77,16.66,16.77,17.238
2022-11-21 11:04:00,16.76,16.76,16.76,16.76,0.594
2022-11-21 11:29:00,16.78,16.79,16.79,16.78,2.332
2022-11-21 11:30:00,16.78,16.79,16.78,16.79,4.028
2022-11-21 11:31:00,16.79,16.79,16.79,16.79,2.862
2022-11-21 11:32:00,16.78,16.79,16.79,16.78,3.575
2022-11-21 11:33:00,16.77,16.78,16.77,16.78,0.424
2022-11-21 11:34:00,16.8,16.86,16.8,16.86,41.402
