time,low,high,open,close,volume
2022-11-19 14:49:00,8.94,8.98,8.95,8.94,103.863
2022-11-19 14:58:00,8.92,8.94,8.94,8.93,9.882
2022-11-19 15:02:00,8.89,8.9,8.89,8.9,4.431
2022-11-19 15:03:00,8.9,8.9,8.9,8.9,4.009
2022-11-19 15:04:00,8.88,8.9,8.9,8.88,3.376
2022-11-19 15:08:00,8.89,8.89,8.89,8.89,2.954
2022-11-19 15:10:00,8.89,8.9,8.89,8.89,81.705
2022-11-19 15:11:00,8.89,8.89,8.89,8.89,3.165
2022-11-19 15:12:00,8.89,8.92,8.89,8.89,49.954
2022-11-19 15:15:00,8.89,8.89,8.89,8.89,18.986
2022-11-19 15:16:00,8.88,8.89,8.89,8.88,0.961
2022-11-19 15:17:00,8.87,8.88,8.88,8.87,1.266
2022-11-19 15:18:00,8.88,8.88,8.88,8.88,5.486
2022-11-19 15:20:00,8.86,8.86,8.86,8.86,28.849
2022-11-19 15:21:00,8.86,8.86,8.86,8.86,28.216
2022-11-19 15:22:00,8.86,8.86,8.86,8.86,2.532
2022-11-19 15:23:00,8.85,8.86,8.86,8.85,3.798
2022-11-19 15:24:00,8.83,8.86,8.85,8.83,34.176
2022-11-19 15:30:00,8.82,8.84,8.84,8.83,56.313
2022-11-19 15:35:00,8.76,8.87,8.85,8.76,307.11
2022-11-19 15:43:00,8.83,8.84,8.83,8.84,2.272
2022-11-19 15:49:00,8.78,8.86,8.82,8.86,174.027
2022-11-19 16:00:00,8.74,8.87,8.83,8.81,528.174
2022-11-19 16:01:00,8.71,8.82,8.81,8.71,576.711
2022-11-19 16:11:00,8.77,8.82,8.77,8.82,262.59
2022-11-19 16:13:00,8.78,8.79,8.79,8.78,1.67
2022-11-19 16:25:00,8.7,8.85,8.72,8.81,1358.835
2022-11-19 16:30:00,8.79,8.79,8.79,8.79,17.557
2022-11-19 16:44:00,8.79,8.79,8.79,8.79,4.303
2022-11-19 16:53:00,8.77,8.79,8.77,8.79,7.736
2022-11-19 16:59:00,8.79,8.79,8.79,8.79,1.58
2022-11-19 17:01:00,8.79,8.82,8.79,8.8,112.955
2022-11-19 17:11:00,8.8,8.8,8.8,8.8,56.467
2022-11-19 17:13:00,8.71,8.79,8.78,8.79,369.804
2022-11-19 17:17:00,8.77,8.78,8.77,8.78,14.261
2022-11-19 17:29:00,8.8,8.8,8.8,8.8,138.032
2022-11-19 17:33:00,8.77,8.79,8.77,8.79,1.296
2022-11-19 17:37:00,8.76,8.78,8.77,8.78,58.761
2022-11-19 17:40:00,8.76,8.78,8.76,8.78,0.364
2022-11-19 17:43:00,8.75,8.8,8.75,8.8,253.382
2022-11-19 17:48:00,8.76,8.78,8.76,8.78,184.521
2022-11-19 17:58:00,8.73,8.78,8.76,8.74,147.642
2022-11-19 18:06:00,8.74,8.76,8.75,8.76,167.267
2022-11-19 18:07:00,8.75,8.78,8.76,8.75,173.97
2022-11-19 18:11:00,8.78,8.81,8.78,8.8,113.607
2022-11-19 18:18:00,8.8,8.81,8.8,8.8,50.012
2022-11-19 18:31:00,8.75,8.8,8.76,8.8,295.321
2022-11-19 18:34:00,8.79,8.84,8.79,8.82,311.429
2022-11-19 18:46:00,8.83,8.85,8.83,8.85,90.233
2022-11-19 18:49:00,8.82,8.85,8.84,8.82,56.836
2022-11-19 18:53:00,8.82,8.86,8.82,8.86,17.011
2022-11-19 18:56:00,8.84,8.84,8.84,8.84,2.504
2022-11-19 19:02:00,8.88,8.89,8.88,8.89,28.555
2022-11-19 19:06:00,8.9,8.93,8.9,8.93,6.115
2022-11-19 19:12:00,8.93,8.94,8.93,8.94,92.505
2022-11-19 19:16:00,8.91,8.94,8.91,8.94,6.996
2022-11-19 19:18:00,8.91,8.94,8.91,8.94,7.514
2022-11-19 19:22:00,8.94,8.94,8.94,8.94,43.669
2022-11-19 19:29:00,8.91,8.94,8.92,8.94,27.525
2022-11-19 19:42:00,8.9,8.96,8.93,8.96,29.867
2022-11-19 19:52:00,8.93,8.96,8.93,8.96,22.069
2022-11-19 20:04:00,8.94,8.96,8.96,8.94,5.589
2022-11-19 20:14:00,8.94,8.94,8.94,8.94,5.578
2022-11-19 20:15:00,8.96,9.08,8.96,9.08,524.478
2022-11-19 20:17:00,9.07,9.07,9.07,9.07,2.0
2022-11-19 20:18:00,9.1,9.1,9.1,9.1,2.422
2022-11-19 20:19:00,9.1,9.1,9.1,9.1,1.0
2022-11-19 20:20:00,9.1,9.1,9.1,9.1,51.52
2022-11-19 20:22:00,9.13,9.13,9.13,9.13,27.41
2022-11-19 20:24:00,9.14,9.15,9.14,9.14,8.093
2022-11-19 20:26:00,9.07,9.17,9.16,9.1,1309.892
2022-11-19 20:34:00,9.13,9.15,9.13,9.15,0.433
2022-11-19 20:48:00,9.04,9.13,9.13,9.09,541.761
2022-11-19 20:53:00,9.12,9.12,9.12,9.12,5.238
2022-11-19 20:54:00,8.96,9.12,9.12,8.96,1092.369
2022-11-19 20:59:00,9.04,9.06,9.04,9.05,55.272
2022-11-19 21:08:00,9.06,9.11,9.06,9.11,308.114
2022-11-19 21:11:00,9.08,9.09,9.09,9.09,26.706
2022-11-19 21:24:00,9.12,9.16,9.13,9.12,129.581
2022-11-19 21:30:00,9.1,9.14,9.13,9.14,27.41
2022-11-19 21:40:00,9.1,9.13,9.13,9.1,169.115
2022-11-19 21:47:00,9.07,9.13,9.13,9.07,138.117
2022-11-19 22:08:00,9.02,9.09,9.09,9.04,388.387
2022-11-19 22:14:00,9.01,9.01,9.01,9.01,3.587
2022-11-19 22:15:00,8.99,9.01,9.01,8.99,15.788
2022-11-19 22:16:00,8.97,8.99,8.99,8.98,469.363
2022-11-19 22:25:00,9.01,9.07,9.01,9.03,230.708
2022-11-19 22:29:00,9.03,9.07,9.03,9.07,98.211
2022-11-19 22:44:00,9.06,9.07,9.07,9.07,35.023
2022-11-19 22:49:00,9.05,9.05,9.05,9.05,0.64
2022-11-19 22:59:00,9.06,9.07,9.06,9.07,23.403
2022-11-19 23:02:00,9.04,9.07,9.04,9.07,10.705
2022-11-19 23:23:00,9.0,9.07,9.07,9.01,194.223
2022-11-19 23:48:00,9.0,9.0,9.0,9.0,1.0
2022-11-20 00:00:00,8.94,8.99,8.94,8.99,28.186
2022-11-20 00:10:00,9.0,9.0,9.0,9.0,47.593
2022-11-20 00:14:00,9.0,9.07,9.0,9.07,95.161
2022-11-20 00:35:00,9.01,9.04,9.04,9.01,5.543
2022-11-20 00:45:00,8.9,9.12,9.04,8.9,823.227
2022-11-20 00:50:00,9.05,9.09,9.06,9.09,100.409
2022-11-20 00:56:00,9.07,9.09,9.07,9.08,55.041
