time,low,high,open,close,volume
2022-11-19 16:18:00,11.23,11.25,11.25,11.23,22.626
2022-11-19 16:23:00,11.23,11.27,11.23,11.25,182.385
2022-11-19 16:29:00,11.22,11.25,11.25,11.22,11.441
2022-11-19 16:40:00,11.23,11.26,11.23,11.26,2.463
2022-11-19 16:44:00,11.25,11.25,11.25,11.25,2.542
2022-11-19 16:50:00,11.23,11.28,11.25,11.24,73.857
2022-11-19 16:52:00,11.25,11.27,11.26,11.25,17.368
2022-11-19 17:12:00,11.25,11.27,11.27,11.25,0.358
2022-11-19 17:17:00,11.24,11.27,11.27,11.24,0.518
2022-11-19 17:23:00,11.26,11.3,11.26,11.3,182.324
2022-11-19 17:27:00,11.27,11.29,11.27,11.29,8.133
2022-11-19 17:32:00,11.29,11.29,11.29,11.29,1.575
2022-11-19 17:42:00,11.28,11.3,11.29,11.3,6.768
2022-11-19 17:54:00,11.18,11.24,11.24,11.18,119.293
2022-11-19 18:01:00,11.23,11.28,11.23,11.23,181.119
2022-11-19 18:14:00,11.21,11.23,11.21,11.23,2.359
2022-11-19 18:52:00,11.21,11.23,11.21,11.23,0.104
2022-11-19 19:06:00,11.2,11.21,11.2,11.21,3.242
2022-11-19 19:10:00,11.23,11.29,11.23,11.24,277.466
2022-11-19 19:26:00,11.24,11.24,11.24,11.24,1.063
2022-11-19 19:33:00,11.24,11.26,11.24,11.26,4.109
2022-11-19 19:43:00,11.25,11.27,11.27,11.25,17.804
2022-11-19 20:10:00,11.27,11.27,11.27,11.27,0.25
2022-11-19 20:14:00,11.26,11.26,11.26,11.26,0.517
2022-11-19 20:28:00,11.26,11.27,11.27,11.26,2.87
2022-11-19 20:30:00,11.26,11.26,11.26,11.26,3.632
2022-11-19 20:45:00,11.25,11.25,11.25,11.25,26.933
2022-11-19 20:47:00,11.26,11.26,11.26,11.26,0.073
2022-11-19 20:51:00,11.26,11.26,11.26,11.26,7.57
2022-11-19 21:06:00,11.27,11.29,11.27,11.29,0.632
2022-11-19 21:13:00,11.26,11.26,11.26,11.26,0.205
2022-11-19 21:18:00,11.26,11.26,11.26,11.26,0.072
2022-11-19 21:19:00,11.26,11.29,11.26,11.29,7.293
2022-11-19 21:21:00,11.26,11.26,11.26,11.26,1.387
2022-11-19 21:31:00,11.26,11.27,11.26,11.27,0.093
2022-11-19 21:36:00,11.27,11.27,11.27,11.27,0.091
2022-11-19 22:00:00,11.29,11.29,11.29,11.29,5.65
2022-11-19 22:05:00,11.29,11.29,11.29,11.29,0.457
2022-11-19 22:08:00,11.29,11.29,11.29,11.29,37.874
2022-11-19 22:16:00,11.28,11.29,11.28,11.29,0.156
2022-11-19 22:28:00,11.3,11.32,11.3,11.32,5.761
2022-11-19 22:32:00,11.3,11.32,11.32,11.3,64.62
2022-11-19 22:55:00,11.3,11.3,11.3,11.3,2.896
2022-11-19 23:12:00,11.32,11.33,11.33,11.32,0.479
2022-11-19 23:23:00,11.32,11.34,11.32,11.34,5.986
2022-11-20 00:02:00,11.31,11.31,11.31,11.31,0.067
2022-11-20 00:11:00,11.31,11.31,11.31,11.31,0.143
2022-11-20 00:23:00,11.29,11.3,11.3,11.29,0.308
2022-11-20 00:32:00,11.29,11.3,11.3,11.29,0.33
2022-11-20 00:49:00,11.29,11.32,11.29,11.32,6.455
2022-11-20 00:51:00,11.29,11.35,11.29,11.35,30.31
2022-11-20 01:05:00,11.34,11.34,11.34,11.34,1.057
2022-11-20 01:26:00,11.32,11.33,11.32,11.33,0.044
2022-11-20 01:39:00,11.3,11.32,11.3,11.32,31.83
2022-11-20 02:06:00,11.33,11.35,11.33,11.35,31.313
2022-11-20 02:33:00,11.34,11.34,11.34,11.34,5.713
2022-11-20 02:47:00,11.34,11.36,11.36,11.34,1.64
2022-11-20 03:19:00,11.33,11.34,11.34,11.33,45.164
2022-11-20 03:24:00,11.33,11.41,11.33,11.36,449.272
2022-11-20 03:27:00,11.37,11.42,11.37,11.38,442.846
2022-11-20 03:34:00,11.38,11.38,11.38,11.38,2.052
2022-11-20 03:37:00,11.38,11.38,11.38,11.38,16.641
2022-11-20 03:43:00,11.39,11.39,11.39,11.39,39.736
2022-11-20 03:45:00,11.38,11.4,11.39,11.4,55.734
2022-11-20 04:05:00,11.4,11.42,11.4,11.42,1.724
2022-11-20 04:08:00,11.4,11.42,11.4,11.42,2.086
2022-11-20 04:12:00,11.4,11.42,11.42,11.4,0.168
2022-11-20 04:30:00,11.4,11.42,11.4,11.42,4.876
2022-11-20 04:45:00,11.41,11.48,11.41,11.48,125.903
2022-11-20 04:50:00,11.46,11.48,11.46,11.48,4.671
2022-11-20 05:06:00,11.44,11.47,11.45,11.44,75.528
2022-11-20 05:12:00,11.46,11.52,11.46,11.52,29.043
2022-11-20 05:13:00,11.46,11.51,11.51,11.49,79.121
2022-11-20 05:14:00,11.48,11.54,11.51,11.48,42.682
2022-11-20 05:23:00,11.45,11.48,11.45,11.46,10.717
2022-11-20 05:31:00,11.46,11.51,11.46,11.51,44.267
2022-11-20 05:35:00,11.48,11.49,11.49,11.48,15.095
2022-11-20 05:38:00,11.51,11.52,11.51,11.52,86.669
2022-11-20 05:42:00,11.5,11.51,11.51,11.5,79.569
2022-11-20 05:46:00,11.47,11.49,11.49,11.47,0.189
2022-11-20 05:53:00,11.46,11.47,11.47,11.46,66.591
2022-11-20 05:56:00,11.42,11.47,11.47,11.42,975.423
2022-11-20 05:57:00,11.43,11.44,11.44,11.43,31.154
2022-11-20 06:04:00,11.35,11.4,11.4,11.35,55.135
2022-11-20 06:15:00,11.35,11.35,11.35,11.35,21.057
2022-11-20 06:16:00,11.35,11.35,11.35,11.35,0.54
2022-11-20 06:17:00,11.35,11.41,11.35,11.4,162.136
2022-11-20 06:29:00,11.4,11.42,11.42,11.4,125.319
2022-11-20 06:41:00,11.36,11.43,11.42,11.37,59.044
2022-11-20 07:10:00,11.35,11.39,11.35,11.39,87.669
2022-11-20 07:23:00,11.34,11.34,11.34,11.34,0.065
2022-11-20 07:35:00,11.35,11.38,11.35,11.38,95.676
2022-11-20 07:43:00,11.4,11.42,11.4,11.42,98.424
2022-11-20 08:02:00,11.37,11.45,11.43,11.37,103.025
2022-11-20 08:24:00,11.33,11.37,11.37,11.33,0.101
2022-11-20 08:59:00,11.33,11.33,11.33,11.33,0.145
2022-11-20 09:03:00,11.28,11.33,11.33,11.3,903.199
2022-11-20 09:07:00,11.29,11.3,11.3,11.29,47.765
2022-11-20 09:08:00,11.3,11.35,11.3,11.35,30.754
2022-11-20 09:12:00,11.33,11.35,11.33,11.35,31.654
2022-11-20 09:16:00,11.35,11.36,11.35,11.36,116.821
2022-11-20 09:18:00,11.36,11.36,11.36,11.36,9.071
2022-11-20 09:25:00,11.35,11.38,11.35,11.38,164.968
2022-11-20 09:33:00,11.38,11.4,11.39,11.4,95.593
2022-11-20 09:44:00,11.36,11.38,11.36,11.38,124.824
2022-11-20 09:45:00,11.41,11.52,11.41,11.48,530.928
2022-11-20 09:46:00,11.51,11.58,11.52,11.51,219.785
2022-11-20 09:51:00,11.49,11.59,11.49,11.56,105.862
2022-11-20 10:03:00,11.53,11.6,11.53,11.6,3.428
2022-11-20 10:07:00,11.57,11.61,11.61,11.57,30.317
2022-11-20 10:17:00,11.58,11.66,11.58,11.64,42.349
2022-11-20 10:26:00,11.55,11.6,11.6,11.55,37.078
2022-11-20 10:39:00,11.52,11.53,11.53,11.52,0.835
2022-11-20 10:53:00,11.49,11.53,11.49,11.53,3.318
2022-11-20 10:58:00,11.55,11.61,11.55,11.61,51.652
2022-11-20 11:00:00,11.64,11.7,11.65,11.64,15.172
2022-11-20 11:01:00,11.64,11.71,11.64,11.71,62.038
2022-11-20 11:03:00,11.69,11.7,11.7,11.69,3.356
2022-11-20 11:04:00,11.66,11.72,11.66,11.71,52.326
2022-11-20 11:07:00,11.69,11.73,11.69,11.73,33.452
2022-11-20 11:08:00,11.72,11.76,11.72,11.75,20.015
2022-11-20 11:09:00,11.74,11.74,11.74,11.74,5.093
2022-11-20 11:10:00,11.76,11.77,11.76,11.77,3.367
2022-11-20 11:11:00,11.77,11.79,11.78,11.79,165.885
2022-11-20 11:13:00,11.7,11.75,11.75,11.71,44.085
2022-11-20 11:20:00,11.66,11.71,11.71,11.66,61.563
2022-11-20 11:23:00,11.62,11.66,11.66,11.62,42.395
2022-11-20 11:25:00,11.59,11.62,11.62,11.59,89.858
2022-11-20 11:27:00,11.59,11.6,11.6,11.59,1.636
2022-11-20 11:31:00,11.52,11.56,11.56,11.52,198.252
2022-11-20 11:33:00,11.49,11.56,11.56,11.49,11.607
2022-11-20 11:34:00,11.48,11.49,11.48,11.49,3.486
2022-11-20 11:37:00,11.53,11.53,11.53,11.53,15.475
2022-11-20 11:38:00,11.54,11.57,11.54,11.57,18.036
2022-11-20 11:43:00,11.46,11.48,11.48,11.46,230.092
2022-11-20 11:46:00,11.44,11.46,11.46,11.44,17.859
2022-11-20 11:47:00,11.41,11.44,11.44,11.41,2.214
2022-11-20 11:51:00,11.4,11.42,11.4,11.42,7.216
2022-11-20 12:01:00,11.43,11.43,11.43,11.43,4.791
2022-11-20 12:07:00,11.41,11.41,11.41,11.41,0.581
2022-11-20 12:10:00,11.4,11.44,11.44,11.4,2.477
