time,low,high,open,close,volume
2022-11-19 16:00:00,0.91,0.912,0.91,0.912,634.96
2022-11-19 16:01:00,0.908,0.912,0.912,0.908,1507.98
2022-11-19 16:05:00,0.908,0.91,0.908,0.91,1507.91
2022-11-19 16:07:00,0.91,0.91,0.91,0.91,500.0
2022-11-19 16:08:00,0.91,0.91,0.91,0.91,1025.46
2022-11-19 16:10:00,0.912,0.913,0.913,0.912,86.09
2022-11-19 16:11:00,0.913,0.914,0.913,0.914,171.99
2022-11-19 16:13:00,0.913,0.919,0.913,0.919,11567.19
2022-11-19 16:16:00,0.916,0.917,0.917,0.916,2192.74
2022-11-19 16:17:00,0.917,0.918,0.917,0.918,1208.56
2022-11-19 16:20:00,0.914,0.918,0.918,0.914,570.34
2022-11-19 16:23:00,0.913,0.915,0.915,0.913,85.12
2022-11-19 16:27:00,0.913,0.915,0.915,0.913,1352.28
2022-11-19 16:34:00,0.914,0.916,0.916,0.916,278.14
2022-11-19 16:47:00,0.911,0.912,0.911,0.912,12668.36
2022-11-19 16:53:00,0.913,0.914,0.914,0.914,1362.46
2022-11-19 16:58:00,0.915,0.917,0.915,0.917,540.19
2022-11-19 17:01:00,0.917,0.917,0.917,0.917,4.0
2022-11-19 17:03:00,0.915,0.916,0.916,0.916,885.09
2022-11-19 17:04:00,0.913,0.914,0.914,0.913,733.19
2022-11-19 17:05:00,0.911,0.913,0.911,0.913,1869.86
2022-11-19 17:07:00,0.91,0.911,0.911,0.911,683.91
2022-11-19 17:08:00,0.91,0.911,0.91,0.911,92.04
2022-11-19 17:09:00,0.912,0.913,0.912,0.913,181.9
2022-11-19 17:12:00,0.911,0.912,0.911,0.912,96.65
2022-11-19 17:17:00,0.909,0.91,0.91,0.909,972.15
2022-11-19 17:19:00,0.908,0.908,0.908,0.908,108.78
2022-11-19 17:20:00,0.908,0.911,0.908,0.911,265.36
2022-11-19 17:24:00,0.91,0.911,0.911,0.91,1147.51
2022-11-19 17:25:00,0.909,0.91,0.909,0.91,1963.46
2022-11-19 17:27:00,0.909,0.91,0.91,0.909,1080.51
2022-11-19 17:31:00,0.909,0.91,0.91,0.909,1407.83
2022-11-19 17:32:00,0.907,0.908,0.908,0.908,1541.9
2022-11-19 17:33:00,0.907,0.907,0.907,0.907,981.73
2022-11-19 17:34:00,0.905,0.908,0.908,0.907,272.85
2022-11-19 17:37:00,0.907,0.907,0.907,0.907,571.01
2022-11-19 17:38:00,0.909,0.91,0.909,0.91,800.96
2022-11-19 17:45:00,0.908,0.908,0.908,0.908,729.35
2022-11-19 17:49:00,0.909,0.91,0.909,0.91,145.35
2022-11-19 17:50:00,0.909,0.909,0.909,0.909,176.55
2022-11-19 17:52:00,0.907,0.909,0.909,0.907,444.05
2022-11-19 17:55:00,0.908,0.909,0.908,0.909,267.5
2022-11-19 17:57:00,0.908,0.91,0.908,0.91,1244.36
2022-11-19 18:03:00,0.908,0.911,0.911,0.908,21.24
2022-11-19 18:09:00,0.908,0.91,0.91,0.908,1617.73
2022-11-19 18:14:00,0.908,0.908,0.908,0.908,550.66
2022-11-19 18:20:00,0.908,0.909,0.908,0.909,1002.27
2022-11-19 18:22:00,0.908,0.91,0.91,0.908,17.02
2022-11-19 18:24:00,0.91,0.91,0.91,0.91,9.86
2022-11-19 18:27:00,0.908,0.91,0.908,0.91,233.23
2022-11-19 18:33:00,0.912,0.912,0.912,0.912,193.24
