time,low,high,open,close,volume
2022-11-19 14:47:00,8.62,8.65,8.64,8.62,21.05
2022-11-19 14:52:00,8.62,8.62,8.62,8.62,0.17
2022-11-19 15:02:00,8.62,8.62,8.62,8.62,7.46
2022-11-19 15:13:00,8.51,8.62,8.62,8.51,21.63
2022-11-19 15:16:00,8.52,8.62,8.61,8.52,12.84
2022-11-19 15:29:00,8.53,8.61,8.6,8.53,23.2
2022-11-19 15:42:00,8.51,8.61,8.52,8.61,13.26
2022-11-19 15:46:00,8.5,8.52,8.52,8.5,122.44
2022-11-19 15:47:00,8.47,8.51,8.51,8.47,118.68
2022-11-19 15:48:00,8.47,8.58,8.58,8.47,13.45
2022-11-19 15:59:00,8.47,8.58,8.49,8.58,178.14
2022-11-19 16:02:00,8.44,8.65,8.48,8.65,292.03
2022-11-19 16:03:00,8.53,8.55,8.54,8.53,5.0
2022-11-19 16:08:00,8.55,8.69,8.55,8.69,213.27
2022-11-19 16:35:00,8.64,8.69,8.64,8.69,3.18
2022-11-19 16:43:00,8.7,8.75,8.7,8.73,89.22
2022-11-19 16:47:00,8.6,8.7,8.7,8.7,104.15
2022-11-19 16:48:00,8.69,8.71,8.69,8.71,6.93
2022-11-19 16:49:00,8.7,8.73,8.7,8.73,41.44
2022-11-19 16:50:00,8.73,8.74,8.74,8.73,10.75
2022-11-19 16:51:00,8.73,8.73,8.73,8.73,45.72
2022-11-19 16:52:00,8.73,8.73,8.73,8.73,5.43
2022-11-19 16:53:00,8.73,8.76,8.74,8.76,65.59
2022-11-19 16:54:00,8.77,8.78,8.77,8.78,9.86
2022-11-19 16:55:00,8.77,8.77,8.77,8.77,22.96
2022-11-19 16:56:00,8.77,8.86,8.77,8.78,252.9
2022-11-19 16:57:00,8.78,8.78,8.78,8.78,3.3
2022-11-19 16:58:00,8.78,8.85,8.78,8.85,21.96
2022-11-19 17:00:00,8.85,8.89,8.85,8.89,244.19
2022-11-19 17:01:00,8.83,8.91,8.87,8.84,132.68
2022-11-19 17:05:00,8.84,8.84,8.84,8.84,19.93
2022-11-19 17:06:00,8.79,8.84,8.8,8.84,67.76
2022-11-19 17:07:00,8.81,8.82,8.82,8.81,10.36
2022-11-19 17:08:00,8.84,8.86,8.84,8.85,97.57
2022-11-19 17:10:00,8.85,8.87,8.85,8.87,130.03
2022-11-19 17:12:00,8.8,8.87,8.87,8.8,136.69
2022-11-19 17:20:00,8.84,8.84,8.84,8.84,1.0
2022-11-19 17:22:00,8.48,8.82,8.82,8.66,1052.69
2022-11-19 17:23:00,8.6,8.76,8.66,8.75,347.76
2022-11-19 17:25:00,8.72,8.84,8.73,8.73,381.0
2022-11-19 17:29:00,8.43,8.73,8.73,8.61,726.79
2022-11-19 17:30:00,8.53,8.58,8.53,8.58,65.2
2022-11-19 17:31:00,8.54,8.59,8.58,8.54,7.09
2022-11-19 17:35:00,8.27,8.49,8.49,8.48,538.78
2022-11-19 17:36:00,8.32,8.43,8.35,8.43,152.27
2022-11-19 17:37:00,8.1,8.49,8.42,8.39,1041.69
2022-11-19 17:38:00,8.27,8.39,8.38,8.37,114.13
2022-11-19 17:39:00,8.32,8.36,8.36,8.32,44.75
2022-11-19 17:44:00,8.19,8.38,8.38,8.38,177.87
2022-11-19 17:46:00,8.3,8.33,8.3,8.33,73.04
2022-11-19 17:47:00,8.33,8.33,8.33,8.33,1.17
2022-11-19 17:48:00,8.33,8.34,8.33,8.34,2.41
2022-11-19 17:51:00,7.97,8.27,8.26,8.2,1909.64
2022-11-19 17:52:00,8.09,8.3,8.23,8.17,317.88
2022-11-19 17:56:00,8.23,8.23,8.23,8.23,0.48
2022-11-19 17:57:00,7.85,8.23,8.19,8.23,1553.64
2022-11-19 17:58:00,8.0,8.22,8.13,8.11,280.68
2022-11-19 17:59:00,7.8,8.17,8.04,8.07,1271.62
2022-11-19 18:00:00,7.68,8.13,8.07,7.68,739.05
2022-11-19 18:01:00,7.73,8.09,7.73,8.02,270.19
2022-11-19 18:02:00,7.6,8.12,8.01,7.99,1953.98
2022-11-19 18:03:00,7.41,8.1,8.0,7.89,1524.2
2022-11-19 18:04:00,7.86,8.05,7.89,7.94,86.07
2022-11-19 18:05:00,7.94,7.96,7.94,7.94,30.19
2022-11-19 18:06:00,7.99,8.05,7.99,8.05,75.64
2022-11-19 18:07:00,7.94,8.15,7.97,8.15,284.95
