time,low,high,open,close,volume
2022-11-19 15:57:00,5.33,5.34,5.33,5.33,49.83991
2022-11-19 16:02:00,5.32,5.33,5.33,5.32,48.935136
2022-11-19 16:04:00,5.29,5.31,5.31,5.3,205.869439
2022-11-19 16:23:00,5.29,5.3,5.3,5.29,71.286714
2022-11-19 16:28:00,5.29,5.3,5.3,5.29,32.812557
2022-11-19 16:34:00,5.29,5.31,5.31,5.29,49.796662
2022-11-19 16:38:00,5.29,5.32,5.29,5.32,36.025
2022-11-19 16:45:00,5.32,5.34,5.33,5.32,33.037804
2022-11-19 17:15:00,5.31,5.31,5.31,5.31,15.474277
2022-11-19 17:30:00,5.31,5.31,5.31,5.31,2.745576
2022-11-19 18:02:00,5.31,5.32,5.31,5.32,22.990304
2022-11-19 18:22:00,5.31,5.33,5.33,5.31,188.57896
2022-11-19 18:34:00,5.31,5.31,5.31,5.31,0.069294
2022-11-19 18:56:00,5.3,5.31,5.31,5.3,83.094425
2022-11-19 19:02:00,5.31,5.32,5.32,5.31,20.466707
2022-11-19 19:15:00,5.32,5.33,5.32,5.33,137.05222
2022-11-19 19:16:00,5.33,5.33,5.33,5.33,25.0
2022-11-19 19:19:00,5.34,5.35,5.34,5.35,104.718775
2022-11-19 19:28:00,5.34,5.34,5.34,5.34,0.061399
2022-11-19 19:30:00,5.34,5.35,5.35,5.34,149.677497
2022-11-19 19:35:00,5.33,5.34,5.34,5.34,88.932785
2022-11-19 20:07:00,5.33,5.34,5.34,5.33,87.747918
2022-11-19 20:18:00,5.33,5.33,5.33,5.33,11.442159
2022-11-19 21:23:00,5.33,5.34,5.33,5.34,20.656789
2022-11-19 21:50:00,5.33,5.34,5.33,5.34,19.289884
2022-11-19 22:02:00,5.34,5.34,5.34,5.34,20.606442
2022-11-19 22:09:00,5.34,5.34,5.34,5.34,3.295627
2022-11-19 22:26:00,5.34,5.35,5.34,5.35,59.107883
2022-11-19 22:27:00,5.35,5.35,5.35,5.35,11.148259
2022-11-19 22:35:00,5.36,5.36,5.36,5.36,7.362474
2022-11-19 22:45:00,5.36,5.36,5.36,5.36,20.7769
2022-11-19 23:00:00,5.37,5.37,5.37,5.37,14.572724
2022-11-19 23:03:00,5.37,5.37,5.37,5.37,2.05838
2022-11-19 23:09:00,5.37,5.38,5.37,5.38,75.886826
2022-11-19 23:10:00,5.38,5.38,5.38,5.38,12.310519
2022-11-19 23:23:00,5.37,5.37,5.37,5.37,3.560773
2022-11-19 23:55:00,5.37,5.38,5.38,5.37,8.326199
2022-11-20 00:01:00,5.37,5.39,5.37,5.38,52.719108
2022-11-20 01:02:00,5.38,5.4,5.38,5.4,29.328409
2022-11-20 01:03:00,5.39,5.4,5.4,5.39,8.002642
2022-11-20 01:07:00,5.4,5.41,5.4,5.41,42.848333
2022-11-20 01:10:00,5.4,5.42,5.4,5.42,12.430928
2022-11-20 01:11:00,5.4,5.43,5.4,5.43,54.202243
2022-11-20 01:12:00,5.42,5.44,5.43,5.42,111.185026
2022-11-20 01:15:00,5.43,5.45,5.43,5.45,32.054001
2022-11-20 01:20:00,5.43,5.45,5.45,5.43,42.027828
2022-11-20 01:23:00,5.43,5.43,5.43,5.43,6.733713
2022-11-20 01:29:00,5.41,5.41,5.41,5.41,264.4895
2022-11-20 01:40:00,5.4,5.4,5.4,5.4,0.041338
2022-11-20 01:42:00,5.41,5.41,5.41,5.41,0.29353
2022-11-20 01:43:00,5.42,5.44,5.42,5.44,16.803212
2022-11-20 01:59:00,5.44,5.44,5.44,5.44,4.221215
2022-11-20 02:01:00,5.41,5.44,5.44,5.41,25.822534
2022-11-20 02:08:00,5.39,5.42,5.42,5.39,1.687571
2022-11-20 02:31:00,5.4,5.4,5.4,5.4,8.0
2022-11-20 02:34:00,5.4,5.41,5.4,5.41,31.0
2022-11-20 03:03:00,5.41,5.41,5.41,5.41,22.205885
2022-11-20 03:13:00,5.41,5.45,5.41,5.43,612.199449
2022-11-20 03:17:00,5.43,5.43,5.43,5.43,24.007405
2022-11-20 03:36:00,5.43,5.43,5.43,5.43,13.534463
2022-11-20 04:02:00,5.42,5.43,5.42,5.43,1.896753
2022-11-20 04:14:00,5.43,5.43,5.43,5.43,4.836942
2022-11-20 04:32:00,5.43,5.47,5.43,5.47,90.757537
2022-11-20 04:55:00,5.47,5.47,5.47,5.47,0.798404
2022-11-20 04:56:00,5.47,5.47,5.47,5.47,61.226366
2022-11-20 05:23:00,5.46,5.47,5.47,5.47,42.836994
2022-11-20 05:48:00,5.46,5.46,5.46,5.46,21.406593
2022-11-20 06:06:00,5.47,5.47,5.47,5.47,12.88437
2022-11-20 06:39:00,5.45,5.46,5.46,5.45,52.976915
2022-11-20 07:06:00,5.46,5.46,5.46,5.46,7.300269
2022-11-20 07:27:00,5.44,5.46,5.46,5.44,0.436122
2022-11-20 07:41:00,5.44,5.45,5.44,5.45,0.504422
2022-11-20 07:55:00,5.46,5.46,5.46,5.46,29.35767
2022-11-20 08:24:00,5.47,5.48,5.47,5.47,39.99285
2022-11-20 08:43:00,5.46,5.46,5.46,5.46,8.740586
2022-11-20 08:44:00,5.46,5.46,5.46,5.46,382.519953
2022-11-20 08:45:00,5.41,5.46,5.46,5.42,267.99088
2022-11-20 08:48:00,5.41,5.41,5.41,5.41,45.90823
2022-11-20 08:49:00,5.39,5.4,5.4,5.4,137.784238
2022-11-20 08:52:00,5.4,5.4,5.4,5.4,1.99601
2022-11-20 08:53:00,5.39,5.4,5.4,5.4,2.967728
2022-11-20 08:54:00,5.4,5.4,5.4,5.4,1.596808
2022-11-20 08:56:00,5.37,5.41,5.39,5.41,299.93613
2022-11-20 09:11:00,5.41,5.41,5.41,5.41,0.262243
2022-11-20 09:16:00,5.42,5.42,5.42,5.42,37.740409
2022-11-20 09:32:00,5.42,5.42,5.42,5.42,0.026983
2022-11-20 09:40:00,5.41,5.41,5.41,5.41,0.281641
2022-11-20 09:53:00,5.42,5.43,5.42,5.42,115.890667
2022-11-20 10:36:00,5.4,5.41,5.41,5.4,19.309952
2022-11-20 10:45:00,5.4,5.4,5.4,5.4,18.0
2022-11-20 11:01:00,5.34,5.38,5.38,5.34,30.823101
2022-11-20 11:33:00,5.33,5.33,5.33,5.33,33.310065
2022-11-20 11:34:00,5.17,5.34,5.33,5.28,2594.685724
2022-11-20 11:37:00,5.28,5.28,5.28,5.28,172.949073
2022-11-20 11:38:00,5.28,5.29,5.28,5.29,21.93624
2022-11-20 11:40:00,5.29,5.29,5.29,5.29,63.44548
2022-11-20 11:41:00,5.29,5.29,5.29,5.29,104.006515
2022-11-20 11:42:00,5.29,5.3,5.29,5.3,52.222849
2022-11-20 11:43:00,5.3,5.31,5.3,5.31,9.133323
2022-11-20 11:44:00,5.28,5.3,5.3,5.29,289.872975
2022-11-20 11:53:00,5.28,5.28,5.28,5.28,20.764327
2022-11-20 12:00:00,5.23,5.24,5.24,5.24,30.240658
2022-11-20 12:01:00,5.23,5.24,5.24,5.24,66.029022
2022-11-20 12:05:00,5.25,5.27,5.25,5.26,224.171958
2022-11-20 12:11:00,5.26,5.26,5.26,5.26,47.495008
2022-11-20 12:14:00,5.25,5.26,5.26,5.25,31.645
2022-11-20 12:25:00,5.24,5.24,5.24,5.24,30.97732
2022-11-20 12:40:00,5.26,5.28,5.27,5.28,138.771357
2022-11-20 12:41:00,5.26,5.27,5.26,5.27,14.93034
2022-11-20 12:49:00,5.27,5.3,5.27,5.3,30.203381
2022-11-20 12:59:00,5.28,5.31,5.28,5.31,76.506694
2022-11-20 13:06:00,5.3,5.3,5.3,5.3,19.025889
2022-11-20 13:11:00,5.31,5.33,5.31,5.32,93.859862
2022-11-20 13:12:00,5.32,5.34,5.33,5.33,68.397651
2022-11-20 13:15:00,5.33,5.33,5.33,5.33,22.170228
2022-11-20 13:16:00,5.3,5.33,5.33,5.3,57.64294
2022-11-20 13:27:00,5.29,5.3,5.3,5.29,7.711112
2022-11-20 13:42:00,5.29,5.29,5.29,5.29,13.72577
2022-11-20 13:48:00,5.29,5.3,5.29,5.3,16.030412
2022-11-20 13:52:00,5.3,5.3,5.3,5.3,5e-06
2022-11-20 13:53:00,5.31,5.33,5.31,5.33,25.3
2022-11-20 14:00:00,5.33,5.4,5.33,5.39,1465.793945
2022-11-20 14:01:00,5.32,5.43,5.39,5.35,1679.069523
2022-11-20 14:02:00,5.28,5.34,5.34,5.29,114.731633
2022-11-20 14:03:00,5.28,5.28,5.28,5.28,73.856214
2022-11-20 14:04:00,5.27,5.28,5.28,5.27,120.361107
2022-11-20 14:05:00,5.27,5.29,5.27,5.29,186.288037
2022-11-20 14:07:00,5.29,5.29,5.29,5.29,25.56283
2022-11-20 14:08:00,5.28,5.29,5.28,5.29,37.620053
2022-11-20 14:14:00,5.28,5.29,5.28,5.29,101.67493
2022-11-20 14:19:00,5.27,5.28,5.28,5.28,56.202657
2022-11-20 14:20:00,5.26,5.28,5.28,5.26,396.246029
2022-11-20 14:24:00,5.26,5.26,5.26,5.26,25.658551
2022-11-20 14:37:00,5.27,5.27,5.27,5.27,0.063763
2022-11-20 14:50:00,5.25,5.3,5.25,5.3,250.507946
2022-11-20 14:51:00,5.28,5.28,5.28,5.28,4.267885
2022-11-20 14:58:00,5.28,5.3,5.28,5.3,71.601861
2022-11-20 15:20:00,5.29,5.31,5.31,5.29,250.508822
2022-11-20 15:26:00,5.29,5.32,5.29,5.32,25.933376
2022-11-20 15:35:00,5.31,5.32,5.31,5.32,82.932557
2022-11-20 15:37:00,5.32,5.33,5.32,5.33,6.020599
2022-11-20 15:41:00,5.34,5.41,5.34,5.41,212.662001
2022-11-20 15:42:00,5.35,5.36,5.36,5.35,40.443419
2022-11-20 15:45:00,5.34,5.35,5.34,5.35,98.583622
2022-11-20 15:47:00,5.35,5.35,5.35,5.35,20.937175
2022-11-20 15:57:00,5.36,5.42,5.36,5.42,138.239963
2022-11-20 15:58:00,5.41,5.42,5.42,5.42,234.438956
2022-11-20 15:59:00,5.41,5.44,5.42,5.44,182.702803
2022-11-20 16:00:00,5.42,5.44,5.43,5.42,160.770542
2022-11-20 16:01:00,5.41,5.42,5.41,5.42,233.35438
2022-11-20 16:02:00,5.41,5.42,5.42,5.42,153.5378
2022-11-20 16:03:00,5.41,5.42,5.42,5.41,189.98803
2022-11-20 16:05:00,5.37,5.4,5.4,5.37,172.10328
2022-11-20 16:07:00,5.34,5.35,5.34,5.35,40.44743
2022-11-20 16:08:00,5.34,5.35,5.35,5.34,331.685548
2022-11-20 16:11:00,5.35,5.37,5.35,5.37,59.456426
2022-11-20 16:14:00,5.37,5.41,5.37,5.41,207.680034
2022-11-20 16:15:00,5.39,5.4,5.4,5.4,76.717457
2022-11-20 16:16:00,5.39,5.41,5.39,5.39,162.88851
2022-11-20 16:17:00,5.37,5.4,5.4,5.37,133.3
2022-11-20 16:23:00,5.4,5.55,5.4,5.55,1484.301289
2022-11-20 16:24:00,5.52,5.94,5.53,5.94,4531.906523
2022-11-20 16:25:00,5.55,5.99,5.81,5.92,4872.832473
2022-11-20 16:26:00,5.89,6.09,5.89,6.06,2698.271081
2022-11-20 16:27:00,6.02,6.18,6.07,6.07,1469.882425
2022-11-20 16:28:00,5.7,6.11,6.11,5.7,1002.702665
2022-11-20 16:29:00,5.5,5.7,5.7,5.52,727.639433
2022-11-20 16:30:00,5.51,5.55,5.55,5.52,217.587991
2022-11-20 16:31:00,5.47,5.56,5.52,5.49,425.401835
2022-11-20 16:32:00,5.48,5.52,5.48,5.48,497.822505
2022-11-20 16:33:00,5.46,5.48,5.48,5.47,588.409161
2022-11-20 16:34:00,5.43,5.45,5.44,5.43,173.145616
2022-11-20 16:35:00,5.4,5.45,5.43,5.41,797.037457
2022-11-20 16:36:00,5.38,5.43,5.41,5.4,88.13865
2022-11-20 16:37:00,5.39,5.4,5.39,5.4,15.590911
2022-11-20 16:38:00,5.37,5.39,5.39,5.38,150.76968
2022-11-20 16:39:00,5.34,5.36,5.36,5.35,267.160295
2022-11-20 16:40:00,5.34,5.37,5.37,5.34,132.224785
2022-11-20 16:42:00,5.32,5.36,5.33,5.36,181.612147
2022-11-20 16:43:00,5.34,5.36,5.35,5.34,39.712681
2022-11-20 16:44:00,5.34,5.37,5.34,5.35,257.851558
2022-11-20 16:45:00,5.33,5.35,5.33,5.34,97.062001
2022-11-20 16:46:00,5.33,5.34,5.34,5.34,168.149055
2022-11-20 16:50:00,5.34,5.34,5.34,5.34,71.366489
2022-11-20 16:53:00,5.32,5.35,5.34,5.32,214.188538
2022-11-20 16:54:00,5.31,5.33,5.31,5.32,449.245333
2022-11-20 16:55:00,5.32,5.32,5.32,5.32,24.493253
2022-11-20 16:57:00,5.33,5.34,5.33,5.34,247.116888
2022-11-20 16:58:00,5.35,5.36,5.35,5.35,159.535151
2022-11-20 16:59:00,5.34,5.34,5.34,5.34,93.629791
2022-11-20 17:02:00,5.34,5.35,5.35,5.34,34.176504
2022-11-20 17:04:00,5.32,5.34,5.34,5.33,304.563574
2022-11-20 17:05:00,5.32,5.32,5.32,5.32,13.773424
2022-11-20 17:06:00,5.31,5.32,5.32,5.31,82.208985
2022-11-20 17:08:00,5.29,5.29,5.29,5.29,8.3
2022-11-20 17:09:00,5.25,5.28,5.28,5.26,115.043091
2022-11-20 17:16:00,5.27,5.27,5.27,5.27,17.626953
2022-11-20 17:17:00,5.26,5.28,5.27,5.26,87.907171
2022-11-20 17:20:00,5.24,5.27,5.25,5.25,165.552126
2022-11-20 17:21:00,5.25,5.26,5.25,5.26,5.588828
2022-11-20 17:22:00,5.26,5.26,5.26,5.26,58.11628
2022-11-20 17:23:00,5.25,5.26,5.26,5.25,46.845513
2022-11-20 17:24:00,5.24,5.25,5.24,5.24,23.868399
2022-11-20 17:26:00,5.23,5.24,5.23,5.24,26.865482
2022-11-20 17:29:00,5.24,5.25,5.24,5.25,111.517758
2022-11-20 17:33:00,5.24,5.24,5.24,5.24,0.399202
2022-11-20 17:34:00,5.24,5.24,5.24,5.24,1.99601
2022-11-20 17:37:00,5.25,5.28,5.25,5.28,185.643896
2022-11-20 17:38:00,5.26,5.27,5.27,5.26,123.520032
2022-11-20 17:39:00,5.25,5.25,5.25,5.25,36.0
2022-11-20 17:40:00,5.25,5.25,5.25,5.25,3.543317
2022-11-20 17:46:00,5.23,5.25,5.25,5.23,60.587434
2022-11-20 17:49:00,5.23,5.24,5.24,5.23,52.051281
2022-11-20 17:51:00,5.25,5.25,5.25,5.25,74.70338
2022-11-20 17:52:00,5.25,5.26,5.26,5.25,51.755293
2022-11-20 17:53:00,5.24,5.24,5.24,5.24,109.22812
2022-11-20 17:56:00,5.21,5.21,5.21,5.21,26.619835
2022-11-20 17:57:00,5.21,5.22,5.22,5.21,62.572231
2022-11-20 18:00:00,5.21,5.23,5.21,5.21,264.341244
