time,low,high,open,close,volume
2022-12-08 17:16:00,20.5,20.6,20.5,20.6,2.895
2022-12-08 17:19:00,20.6,21.0,20.6,21.0,14.223
2022-12-08 17:20:00,20.99,21.0,21.0,20.99,5.231
2022-12-08 17:21:00,20.2,20.99,20.99,20.2,3.169
2022-12-08 17:31:00,19.6,20.75,20.75,19.6,0.118
2022-12-08 17:37:00,19.6,20.65,19.6,20.65,10.941
2022-12-08 17:50:00,20.75,23.0,20.75,23.0,290.206
2022-12-08 17:51:00,23.0,23.99,23.99,23.0,3.9
2022-12-08 17:52:00,22.0,23.0,23.0,22.0,1.1
2022-12-08 17:53:00,21.98,21.98,21.98,21.98,0.45
2022-12-08 17:54:00,21.98,21.98,21.98,21.98,20.46
2022-12-08 17:58:00,21.98,22.98,22.0,22.98,103.543
2022-12-08 18:00:00,22.0,22.5,22.0,22.5,59.8
2022-12-08 18:01:00,22.0,23.99,23.99,22.0,86.842
2022-12-08 18:03:00,21.98,21.99,21.99,21.98,79.983
2022-12-08 18:05:00,20.5,21.33,21.33,20.5,26.49
2022-12-08 18:06:00,21.33,21.33,21.33,21.33,0.2
2022-12-08 18:12:00,20.5,22.99,20.5,22.99,321.8
2022-12-08 18:14:00,21.98,22.97,22.97,22.97,0.3
2022-12-08 18:21:00,22.48,22.48,22.48,22.48,0.1
2022-12-08 18:22:00,22.42,22.46,22.46,22.42,0.3
2022-12-08 18:25:00,20.01,20.03,20.02,20.01,60.638
2022-12-08 18:27:00,19.21,20.0,20.0,19.69,696.813
2022-12-08 18:33:00,19.5,20.01,19.7,19.5,14.362
2022-12-08 19:00:00,19.67,19.98,19.67,19.98,6.488
2022-12-08 19:20:00,19.98,20.0,19.98,20.0,19.478
2022-12-08 19:21:00,20.0,20.04,20.0,20.04,74.444
2022-12-08 19:27:00,20.0,20.1,20.0,20.1,2.99
2022-12-08 19:53:00,20.1,20.39,20.1,20.38,14.808
2022-12-08 20:24:00,20.38,20.38,20.38,20.38,50.0
2022-12-08 20:36:00,19.55,20.25,20.25,19.55,5.692
2022-12-08 20:49:00,19.55,19.55,19.55,19.55,1.833
2022-12-08 21:13:00,20.25,20.28,20.25,20.28,203.175
2022-12-08 21:23:00,20.35,20.37,20.35,20.37,43.078
2022-12-08 21:25:00,20.37,20.5,20.37,20.5,12.922
2022-12-08 21:26:00,20.4,20.6,20.6,20.4,2.94
2022-12-08 21:52:00,20.0,20.4,20.4,20.0,14.482
2022-12-08 21:59:00,19.99,20.04,20.04,19.99,8.0
2022-12-08 23:22:00,19.99,20.4,19.99,20.4,53.889
2022-12-09 00:25:00,20.1,20.26,20.26,20.19,18.075
2022-12-09 00:46:00,20.19,20.19,20.19,20.19,18.901
2022-12-09 01:16:00,20.0,20.66,20.02,20.66,29.177
2022-12-09 01:17:00,19.78,19.99,19.99,19.78,16.13
2022-12-09 01:25:00,19.69,19.78,19.78,19.69,2.262
2022-12-09 01:32:00,19.99,19.99,19.99,19.99,1.353
2022-12-09 03:26:00,20.05,20.05,20.05,20.05,23.11
2022-12-09 04:00:00,20.05,20.05,20.05,20.05,13.948
2022-12-09 04:58:00,20.05,20.05,20.05,20.05,7.737
2022-12-09 04:59:00,19.69,19.76,19.71,19.76,11.33
2022-12-09 07:01:00,19.75,19.75,19.75,19.75,2.319
2022-12-09 08:07:00,19.55,19.55,19.55,19.55,23.734
2022-12-09 14:13:00,19.55,19.55,19.55,19.55,2.835
2022-12-09 15:44:00,19.56,19.56,19.56,19.56,5.0
2022-12-09 15:45:00,19.55,19.55,19.55,19.55,9.707
2022-12-09 15:51:00,19.21,20.19,19.21,20.19,64.184
2022-12-09 19:00:00,20.19,20.19,20.19,20.19,3.711
2022-12-09 19:01:00,20.19,20.2,20.19,20.2,11.037
2022-12-09 19:09:00,20.2,20.2,20.2,20.2,0.08
2022-12-09 19:35:00,20.2,20.2,20.2,20.2,6.488
2022-12-09 19:37:00,19.5,20.2,19.5,20.2,23.09
2022-12-09 19:54:00,19.5,20.2,20.2,19.5,34.049
2022-12-09 20:34:00,19.2,19.22,19.22,19.2,37.524
2022-12-10 02:28:00,18.5,18.5,18.5,18.5,5.372
2022-12-10 03:48:00,19.0,19.55,19.0,19.55,2.628
2022-12-10 06:18:00,19.5,19.55,19.55,19.5,32.29
2022-12-10 19:30:00,19.5,19.5,19.5,19.5,1.0
2022-12-10 22:00:00,19.84,20.54,19.84,20.54,14.702
2022-12-11 00:33:00,20.54,20.54,20.54,20.54,4.536
2022-12-11 01:16:00,20.54,20.7,20.54,20.7,16.494
2022-12-11 01:27:00,19.84,20.7,20.7,19.84,3.301
2022-12-11 10:16:00,20.75,21.0,20.75,21.0,201.79
2022-12-11 10:32:00,21.0,21.5,21.0,21.5,282.571
2022-12-11 10:33:00,21.98,29.99,21.98,29.99,184.44
2022-12-11 10:34:00,29.99,29.99,29.99,29.99,0.945
2022-12-11 10:35:00,29.99,29.99,29.99,29.99,1.68
2022-12-11 10:36:00,29.95,29.99,29.99,29.95,0.735
2022-12-11 10:38:00,29.86,29.98,29.98,29.86,0.655
2022-12-11 10:39:00,29.8,29.98,29.86,29.98,0.165
2022-12-11 10:41:00,29.4,29.92,29.92,29.4,0.22
2022-12-11 10:43:00,20.0,29.95,20.0,27.8,3.11
2022-12-11 10:44:00,23.0,27.4,27.4,23.0,43.609
2022-12-11 10:45:00,22.0,22.5,22.05,22.5,82.992
2022-12-11 10:46:00,21.4,26.5,22.5,26.5,42.899
2022-12-11 10:48:00,22.75,23.99,22.75,23.99,113.261
2022-12-11 10:49:00,24.0,26.99,24.0,26.99,2.642
2022-12-11 10:50:00,26.0,26.6,26.6,26.0,0.11
2022-12-11 10:51:00,27.0,29.97,27.0,29.97,1.0
2022-12-11 10:53:00,27.9,29.53,27.98,29.0,0.33
2022-12-11 10:54:00,28.0,29.0,28.0,29.0,25.088
2022-12-11 10:55:00,29.0,29.0,29.0,29.0,0.11
2022-12-11 10:56:00,24.0,28.0,25.01,24.0,14.178
2022-12-11 10:57:00,22.0,24.5,24.5,22.0,3.848
2022-12-11 10:58:00,21.96,21.98,21.96,21.97,39.924
2022-12-11 10:59:00,21.8,21.96,21.96,21.8,4.45
2022-12-11 11:00:00,21.8,26.0,21.8,26.0,0.165
2022-12-11 11:02:00,25.5,25.5,25.5,25.5,0.054
2022-12-11 11:03:00,24.7,26.93,24.7,26.88,0.275
2022-12-11 11:04:00,21.0,26.5,26.5,21.0,3.973
2022-12-11 11:05:00,20.24,20.99,20.98,20.24,18.247
2022-12-11 11:07:00,20.48,25.9,20.48,25.9,3.555
2022-12-11 11:08:00,25.0,25.0,25.0,25.0,0.12
2022-12-11 11:09:00,23.98,26.0,26.0,23.98,0.11
2022-12-11 11:11:00,21.21,21.97,21.97,21.21,8.055
2022-12-11 11:12:00,20.26,23.7,21.21,23.7,28.99
2022-12-11 11:13:00,23.77,23.78,23.78,23.77,0.11
2022-12-11 11:15:00,23.66,23.66,23.66,23.66,0.055
2022-12-11 11:16:00,23.0,23.4,23.4,23.0,0.11
2022-12-11 11:19:00,22.0,22.5,22.5,22.0,0.11
2022-12-11 11:20:00,20.24,21.0,20.26,21.0,33.355
2022-12-11 11:22:00,19.5,22.42,22.42,19.5,48.837
2022-12-11 11:23:00,19.0,21.97,19.04,21.97,111.055
2022-12-11 11:25:00,20.0,20.01,20.01,20.0,30.502
2022-12-11 11:29:00,19.02,19.03,19.03,19.02,0.451
2022-12-11 11:30:00,19.02,21.0,19.02,21.0,3.103
2022-12-11 11:39:00,20.95,21.0,21.0,21.0,5.581
2022-12-11 11:50:00,20.4,20.9,20.9,20.4,0.576
2022-12-11 11:58:00,20.4,20.4,20.4,20.4,1.215
2022-12-11 12:05:00,20.25,20.3,20.3,20.25,5.382
2022-12-11 12:08:00,20.25,20.3,20.25,20.29,3.158
2022-12-11 12:19:00,20.25,21.0,20.28,21.0,2.489
2022-12-11 12:28:00,21.0,21.0,21.0,21.0,2.84
2022-12-11 12:35:00,20.0,21.67,20.0,21.66,17.031
2022-12-11 12:53:00,21.65,21.65,21.65,21.65,1.519
2022-12-11 13:14:00,21.0,21.0,21.0,21.0,1.0
2022-12-11 14:12:00,21.22,21.22,21.22,21.22,2.2
2022-12-11 14:18:00,19.52,20.47,20.47,19.52,6.966
2022-12-11 14:26:00,20.0,20.0,20.0,20.0,7.3
2022-12-11 14:51:00,19.75,19.75,19.75,19.75,1.649
2022-12-11 15:51:00,21.47,23.0,23.0,22.5,1.315
2022-12-11 15:53:00,22.41,23.0,23.0,22.5,29.611
2022-12-11 15:55:00,20.2,21.97,21.97,20.29,110.077
2022-12-11 15:58:00,19.98,19.98,19.98,19.98,8.61
2022-12-11 15:59:00,19.98,20.57,20.57,19.98,2.32
2022-12-11 16:00:00,19.98,19.98,19.98,19.98,1.0
2022-12-11 16:01:00,19.64,19.98,19.98,19.64,8.0
2022-12-11 16:03:00,19.67,20.4,19.67,20.4,6.5
2022-12-11 16:04:00,20.4,20.61,20.4,20.61,10.296
2022-12-11 16:05:00,20.6,21.58,20.6,21.58,51.0
2022-12-11 16:26:00,21.06,21.09,21.09,21.06,12.0
2022-12-11 16:27:00,21.07,21.21,21.07,21.21,6.1
2022-12-11 16:32:00,21.02,21.21,21.21,21.02,14.75
2022-12-11 16:37:00,20.34,20.34,20.34,20.34,10.152
2022-12-11 16:38:00,19.95,20.34,20.33,19.95,12.85
2022-12-11 16:42:00,20.01,20.49,20.49,20.01,4.623
2022-12-11 17:31:00,20.1,21.2,20.1,21.2,25.348
2022-12-11 17:48:00,21.2,21.2,21.2,21.2,19.25
2022-12-11 17:49:00,21.2,21.2,21.2,21.2,32.797
2022-12-11 17:50:00,21.19,21.19,21.19,21.19,22.543
2022-12-11 17:53:00,20.03,21.06,21.06,20.03,15.663
2022-12-11 19:41:00,20.0,20.0,20.0,20.0,2.253
2022-12-11 19:55:00,20.0,20.01,20.0,20.01,10.509
2022-12-11 21:08:00,20.3,20.31,20.31,20.31,22.133
2022-12-11 22:19:00,20.0,20.56,20.56,20.0,13.087
2022-12-11 23:33:00,20.3,20.3,20.3,20.3,12.0
2022-12-11 23:59:00,20.0,20.1,20.1,20.0,26.401
2022-12-12 01:57:00,19.66,20.0,20.0,19.66,33.0
2022-12-12 01:58:00,19.52,19.67,19.67,19.52,19.0
2022-12-12 01:59:00,19.52,19.52,19.52,19.52,20.0
2022-12-12 02:00:00,19.52,19.97,19.94,19.97,48.4
2022-12-12 02:05:00,19.38,20.0,19.97,19.38,27.2
2022-12-12 02:36:00,19.43,19.57,19.47,19.57,66.0
2022-12-12 02:37:00,19.55,19.57,19.57,19.56,16.0
2022-12-12 02:38:00,19.31,19.55,19.55,19.31,8.0
2022-12-12 02:40:00,19.33,19.6,19.6,19.6,9.405
2022-12-12 04:01:00,19.49,19.63,19.61,19.63,15.559
2022-12-12 04:14:00,19.41,19.42,19.42,19.41,11.986
2022-12-12 05:01:00,19.38,19.65,19.41,19.65,109.91
2022-12-12 05:09:00,19.0,19.88,19.62,19.73,15.9
2022-12-12 06:25:00,19.74,19.74,19.74,19.74,0.4
2022-12-12 06:42:00,19.66,20.37,19.73,20.3,21.33
2022-12-12 08:38:00,20.0,20.8,20.8,20.0,0.15
