time,low,high,open,close,volume
2022-11-28 18:28:00,1.3228,1.3238,1.3229,1.3238,1053.72
2022-11-28 18:29:00,1.3227,1.3237,1.3237,1.3227,5.59
2022-11-28 18:30:00,1.3226,1.3237,1.3226,1.3237,1202.47
2022-11-28 18:32:00,1.3236,1.3251,1.3236,1.3248,812.64
2022-11-28 18:33:00,1.3255,1.3255,1.3255,1.3255,55.35
2022-11-28 18:34:00,1.3243,1.3249,1.3248,1.3243,1156.93
2022-11-28 18:35:00,1.3219,1.3232,1.3219,1.3232,18.35
2022-11-28 18:36:00,1.3222,1.3223,1.3223,1.3222,301.51
2022-11-28 18:39:00,1.3233,1.3245,1.3235,1.3245,57.76
2022-11-28 18:41:00,1.3229,1.3235,1.3235,1.3231,432.34
2022-11-28 18:42:00,1.3224,1.3224,1.3224,1.3224,13.43
2022-11-28 18:45:00,1.3205,1.3217,1.3217,1.3205,959.22
2022-11-28 18:50:00,1.3201,1.3227,1.3227,1.3201,8.1
2022-11-28 18:51:00,1.3196,1.3216,1.3204,1.3196,1410.22
2022-11-28 18:52:00,1.3205,1.3211,1.3211,1.3206,180.67
2022-11-28 18:53:00,1.3205,1.3217,1.3205,1.3217,805.02
2022-11-28 18:54:00,1.3224,1.3237,1.3224,1.323,345.16
2022-11-28 18:56:00,1.3189,1.3189,1.3189,1.3189,3.63
2022-11-28 18:58:00,1.3183,1.3197,1.3197,1.3183,651.39
2022-11-28 18:59:00,1.3181,1.3181,1.3181,1.3181,18.0
2022-11-28 19:00:00,1.3189,1.3196,1.3196,1.3189,369.74
2022-11-28 19:01:00,1.3174,1.3196,1.3196,1.3174,290.67
2022-11-28 19:02:00,1.3133,1.3177,1.3175,1.3133,542.21
2022-11-28 19:03:00,1.3132,1.3136,1.3136,1.3132,811.28
2022-11-28 19:04:00,1.3138,1.3159,1.3138,1.3159,3363.4
2022-11-28 19:05:00,1.3164,1.3178,1.3178,1.3164,711.36
2022-11-28 19:06:00,1.3159,1.3167,1.3159,1.3166,1181.04
2022-11-28 19:07:00,1.3168,1.3168,1.3168,1.3168,54.77
2022-11-28 19:08:00,1.3166,1.3177,1.3177,1.3166,23.37
2022-11-28 19:10:00,1.315,1.3164,1.3163,1.315,901.51
2022-11-28 19:13:00,1.3128,1.3144,1.3144,1.3128,195.47
2022-11-28 19:14:00,1.3118,1.3127,1.3127,1.3118,168.21
2022-11-28 19:15:00,1.3111,1.3118,1.3118,1.3114,374.56
2022-11-28 19:17:00,1.31,1.3106,1.3106,1.3105,934.15
2022-11-28 19:22:00,1.3122,1.3129,1.3129,1.3124,120.87
2022-11-28 19:23:00,1.3146,1.3162,1.3146,1.3162,248.92
2022-11-28 19:24:00,1.3158,1.3169,1.3167,1.3158,775.12
2022-11-28 19:25:00,1.3142,1.3158,1.3158,1.3142,383.98
2022-11-28 19:28:00,1.3146,1.3146,1.3146,1.3146,0.76
2022-11-28 19:29:00,1.3115,1.3137,1.3137,1.3115,390.55
2022-11-28 19:30:00,1.3099,1.3126,1.3108,1.3126,4471.83
2022-11-28 19:33:00,1.3109,1.3119,1.3109,1.3119,5.56
2022-11-28 19:34:00,1.3093,1.311,1.311,1.3093,231.71
2022-11-28 19:36:00,1.3073,1.3093,1.3093,1.3081,494.9
2022-11-28 19:39:00,1.3092,1.3098,1.3098,1.3092,355.18
2022-11-28 19:40:00,1.3088,1.3103,1.3103,1.3096,1149.41
2022-11-28 19:42:00,1.3086,1.3109,1.3086,1.3109,571.3
2022-11-28 19:44:00,1.3121,1.3128,1.3125,1.3126,634.6
2022-11-28 19:45:00,1.3118,1.3124,1.3124,1.3118,113.96
2022-11-28 19:46:00,1.3111,1.3121,1.3111,1.3121,739.92
2022-11-28 19:48:00,1.3119,1.3127,1.3119,1.312,463.31
2022-11-28 19:51:00,1.3132,1.3132,1.3132,1.3132,761.48
2022-11-28 19:52:00,1.3132,1.3144,1.3132,1.3132,6.68
2022-11-28 19:53:00,1.3145,1.3152,1.3149,1.3145,776.9
2022-11-28 19:54:00,1.3124,1.3139,1.3139,1.3124,10.98
2022-11-28 20:00:00,1.3095,1.311,1.3106,1.311,148.89
2022-11-28 20:02:00,1.3107,1.3127,1.3117,1.3127,71.39
2022-11-28 20:03:00,1.3119,1.3119,1.3119,1.3119,0.48
2022-11-28 20:04:00,1.3116,1.3128,1.3127,1.3128,217.58
2022-11-28 20:06:00,1.3129,1.315,1.3129,1.315,560.58
2022-11-28 20:07:00,1.3144,1.3148,1.3144,1.3148,422.53
2022-11-28 20:09:00,1.3134,1.3148,1.3142,1.3146,123.22
2022-11-28 20:13:00,1.3137,1.3137,1.3137,1.3137,7.56
2022-11-28 20:14:00,1.3139,1.3182,1.3139,1.3173,38131.19
2022-11-28 20:15:00,1.3161,1.3162,1.3161,1.3162,212.27
2022-11-28 20:16:00,1.3138,1.3153,1.3153,1.3138,167.79
2022-11-28 20:17:00,1.3151,1.3154,1.3151,1.3154,2705.78
2022-11-28 20:18:00,1.3155,1.3174,1.3155,1.3174,457.49
2022-11-28 20:19:00,1.3182,1.3199,1.3182,1.3198,628.47
2022-11-28 20:21:00,1.3196,1.3211,1.3196,1.3205,131.65
2022-11-28 20:22:00,1.32,1.3207,1.3201,1.3207,632.15
2022-11-28 20:23:00,1.3207,1.3208,1.3208,1.3207,637.78
2022-11-28 20:25:00,1.3202,1.3218,1.3218,1.321,597.97
2022-11-28 20:27:00,1.3218,1.3232,1.3218,1.3232,6.27
2022-11-28 20:28:00,1.324,1.3266,1.325,1.324,7480.4
2022-11-28 20:29:00,1.3229,1.324,1.324,1.3237,4107.2
2022-11-28 20:32:00,1.3252,1.3276,1.3252,1.3276,69.32
2022-11-28 20:33:00,1.3264,1.3287,1.3282,1.3264,18175.1
2022-11-28 20:34:00,1.3266,1.3284,1.3274,1.3284,2139.45
2022-11-28 20:35:00,1.3292,1.3329,1.3304,1.3329,9483.76
2022-11-28 20:36:00,1.3329,1.333,1.333,1.333,2739.09
2022-11-28 20:37:00,1.3329,1.3332,1.333,1.3329,1377.85
2022-11-28 20:38:00,1.3289,1.3313,1.3313,1.3301,1301.76
2022-11-28 20:39:00,1.3288,1.3297,1.3288,1.3297,164.05
2022-11-28 20:43:00,1.3311,1.3354,1.3311,1.3347,2258.28
2022-11-28 20:45:00,1.3352,1.3361,1.3352,1.3361,44.59
2022-11-28 20:47:00,1.3355,1.3371,1.3362,1.3371,4366.17
2022-11-28 20:49:00,1.3351,1.3357,1.3357,1.3352,850.13
