time,low,high,open,close,volume
2022-11-19 15:15:00,11.4,11.46,11.43,11.4,91.208
2022-11-19 15:16:00,11.41,11.42,11.41,11.42,65.771
2022-11-19 15:17:00,11.41,11.41,11.41,11.41,112.25
2022-11-19 15:18:00,11.39,11.42,11.42,11.39,102.657
2022-11-19 15:20:00,11.38,11.4,11.4,11.38,151.722
2022-11-19 15:25:00,11.38,11.4,11.38,11.4,84.964
2022-11-19 15:30:00,11.4,11.43,11.43,11.4,50.815
2022-11-19 15:32:00,11.4,11.43,11.4,11.43,25.919
2022-11-19 15:35:00,11.42,11.43,11.43,11.42,25.759
2022-11-19 15:43:00,11.39,11.42,11.42,11.39,51.395
2022-11-19 15:47:00,11.39,11.41,11.41,11.39,13.382
2022-11-19 15:52:00,11.35,11.38,11.38,11.35,50.065
2022-11-19 16:01:00,11.37,11.4,11.37,11.4,33.764
2022-11-19 16:04:00,11.38,11.41,11.41,11.38,0.495
2022-11-19 16:25:00,11.37,11.41,11.37,11.41,20.438
2022-11-19 16:30:00,11.37,11.4,11.4,11.37,445.706
2022-11-19 16:38:00,11.41,11.42,11.41,11.42,8.614
2022-11-19 17:02:00,11.36,11.41,11.41,11.36,113.389
2022-11-19 17:08:00,11.37,11.39,11.37,11.39,177.518
2022-11-19 17:32:00,11.32,11.33,11.33,11.32,3.083
2022-11-19 17:57:00,11.32,11.35,11.32,11.35,35.237
2022-11-19 18:48:00,11.31,11.34,11.34,11.33,274.338
2022-11-19 19:11:00,11.34,11.35,11.34,11.35,35.571
2022-11-19 20:29:00,11.32,11.32,11.32,11.32,11.357
2022-11-19 21:05:00,11.32,11.33,11.32,11.33,55.048
2022-11-19 21:32:00,11.33,11.36,11.33,11.36,20.352
2022-11-19 22:03:00,11.36,11.37,11.37,11.36,20.158
2022-11-19 22:16:00,11.38,11.38,11.38,11.38,0.854
2022-11-19 22:20:00,11.38,11.47,11.38,11.47,32.454
2022-11-19 22:36:00,11.41,11.45,11.45,11.41,13.193
2022-11-19 22:45:00,11.4,11.4,11.4,11.4,5.736
2022-11-19 22:49:00,11.38,11.4,11.4,11.38,2.146
2022-11-19 23:00:00,11.39,11.41,11.39,11.41,4.12
2022-11-19 23:23:00,11.39,11.39,11.39,11.39,25.67
2022-11-19 23:38:00,11.36,11.37,11.37,11.36,25.575
2022-11-19 23:49:00,11.34,11.34,11.34,11.34,50.672
2022-11-19 23:50:00,11.39,11.39,11.39,11.39,20.907
2022-11-20 00:00:00,11.39,11.41,11.41,11.39,63.851
2022-11-20 00:11:00,11.34,11.38,11.38,11.34,71.155
2022-11-20 00:20:00,11.35,11.35,11.35,11.35,24.376
2022-11-20 00:30:00,11.39,11.43,11.39,11.43,31.41
2022-11-20 00:36:00,11.41,11.43,11.43,11.41,7.056
2022-11-20 00:55:00,11.46,11.54,11.46,11.54,250.984
2022-11-20 01:04:00,11.55,11.56,11.55,11.55,48.552
2022-11-20 01:13:00,11.48,11.51,11.51,11.48,436.351
2022-11-20 01:17:00,11.47,11.47,11.47,11.47,3.263
2022-11-20 01:21:00,11.46,11.48,11.46,11.48,62.041
2022-11-20 01:26:00,11.49,11.53,11.49,11.53,111.299
2022-11-20 01:32:00,11.5,11.54,11.5,11.54,207.509
2022-11-20 01:49:00,11.5,11.53,11.53,11.52,1111.169
2022-11-20 01:59:00,11.53,11.53,11.53,11.53,10.277
2022-11-20 02:10:00,11.5,11.52,11.5,11.52,35.996
2022-11-20 02:13:00,11.47,11.53,11.49,11.53,122.785
2022-11-20 02:24:00,11.53,11.53,11.53,11.53,4.143
2022-11-20 02:25:00,11.53,11.53,11.53,11.53,17.433
2022-11-20 03:00:00,11.5,11.52,11.52,11.5,32.679
2022-11-20 03:07:00,11.48,11.52,11.52,11.48,8.423
2022-11-20 03:36:00,11.49,11.51,11.51,11.49,433.144
2022-11-20 03:42:00,11.5,11.54,11.5,11.54,20.013
2022-11-20 03:45:00,11.54,11.54,11.54,11.54,20.0
2022-11-20 03:47:00,11.53,11.54,11.54,11.53,66.08
2022-11-20 03:50:00,11.51,11.51,11.51,11.51,51.323
2022-11-20 03:57:00,11.53,11.55,11.53,11.55,125.35
2022-11-20 04:01:00,11.59,11.59,11.59,11.59,0.12
2022-11-20 04:31:00,11.57,11.57,11.57,11.57,0.012
2022-11-20 04:35:00,11.56,11.56,11.56,11.56,139.365
2022-11-20 04:42:00,11.53,11.56,11.56,11.53,65.957
2022-11-20 05:09:00,11.55,11.56,11.55,11.56,28.571
2022-11-20 05:21:00,11.54,11.57,11.56,11.54,86.613
2022-11-20 05:32:00,11.52,11.56,11.56,11.52,0.126
2022-11-20 05:33:00,11.52,11.53,11.52,11.53,31.993
2022-11-20 05:36:00,11.53,11.55,11.53,11.55,28.64
2022-11-20 05:54:00,11.51,11.53,11.53,11.51,54.454
2022-11-20 06:26:00,11.52,11.52,11.52,11.52,0.087
2022-11-20 06:40:00,11.51,11.53,11.51,11.53,12.523
2022-11-20 06:58:00,11.53,11.54,11.53,11.54,69.235
2022-11-20 07:00:00,11.48,11.54,11.54,11.48,962.623
2022-11-20 07:20:00,11.53,11.53,11.53,11.53,66.245
2022-11-20 07:23:00,11.53,11.54,11.53,11.53,69.932
2022-11-20 07:33:00,11.51,11.53,11.53,11.51,154.882
2022-11-20 07:52:00,11.55,11.55,11.55,11.55,114.249
2022-11-20 08:21:00,11.55,11.55,11.55,11.55,25.747
2022-11-20 08:24:00,11.57,11.61,11.57,11.61,72.575
2022-11-20 08:27:00,11.61,11.62,11.61,11.62,71.323
2022-11-20 08:38:00,11.45,11.6,11.6,11.51,110.019
2022-11-20 08:41:00,11.49,11.53,11.52,11.49,289.632
2022-11-20 08:42:00,11.45,11.48,11.45,11.48,99.268
2022-11-20 08:43:00,11.44,11.48,11.47,11.44,171.005
2022-11-20 08:44:00,11.43,11.46,11.46,11.45,198.532
2022-11-20 08:46:00,11.43,11.45,11.44,11.43,186.16
2022-11-20 08:51:00,11.44,11.45,11.45,11.45,60.0
2022-11-20 08:53:00,11.47,11.51,11.47,11.51,236.553
2022-11-20 08:59:00,11.51,11.52,11.52,11.51,40.0
2022-11-20 09:01:00,11.51,11.52,11.51,11.52,45.504
2022-11-20 09:02:00,11.52,11.54,11.52,11.54,24.816
2022-11-20 09:05:00,11.53,11.53,11.53,11.53,1.719
2022-11-20 09:10:00,11.56,11.57,11.57,11.57,91.862
2022-11-20 09:13:00,11.57,11.57,11.57,11.57,25.747
2022-11-20 09:23:00,11.57,11.58,11.57,11.58,77.241
2022-11-20 09:25:00,11.59,11.59,11.59,11.59,25.576
2022-11-20 09:26:00,11.6,11.61,11.6,11.61,98.65
2022-11-20 09:27:00,11.61,11.62,11.61,11.62,101.323
2022-11-20 09:31:00,11.63,11.66,11.63,11.66,156.033
2022-11-20 09:35:00,11.67,11.7,11.68,11.67,10.52
2022-11-20 09:37:00,11.71,11.72,11.71,11.72,1.548
2022-11-20 09:41:00,11.71,11.72,11.72,11.71,76.898
2022-11-20 09:43:00,11.71,11.71,11.71,11.71,25.748
2022-11-20 09:46:00,11.68,11.71,11.68,11.71,25.762
2022-11-20 09:48:00,11.68,11.72,11.72,11.68,41.276
2022-11-20 09:56:00,11.69,11.72,11.72,11.69,16.66
2022-11-20 10:01:00,11.72,11.76,11.72,11.76,32.384
2022-11-20 10:04:00,11.78,11.82,11.78,11.82,50.971
2022-11-20 10:05:00,11.83,11.84,11.84,11.83,51.222
2022-11-20 10:08:00,11.87,11.93,11.88,11.87,27.346
2022-11-20 10:15:00,11.82,11.82,11.82,11.82,25.575
2022-11-20 10:17:00,11.78,11.81,11.81,11.78,29.758
2022-11-20 10:19:00,11.79,11.81,11.79,11.81,24.011
2022-11-20 10:32:00,11.79,11.79,11.79,11.79,48.75
2022-11-20 10:39:00,11.71,11.78,11.78,11.71,38.819
2022-11-20 10:42:00,11.68,11.68,11.68,11.68,25.2
2022-11-20 10:44:00,11.6,11.67,11.63,11.67,263.724
2022-11-20 10:45:00,11.67,11.71,11.67,11.71,53.721
2022-11-20 10:55:00,11.71,11.71,11.71,11.71,25.575
2022-11-20 10:58:00,11.7,11.75,11.72,11.75,200.485
2022-11-20 11:03:00,11.75,11.75,11.75,11.75,25.575
2022-11-20 11:07:00,11.71,11.76,11.71,11.76,51.323
2022-11-20 11:19:00,11.7,11.73,11.72,11.73,71.323
2022-11-20 11:21:00,11.75,11.78,11.75,11.78,46.799
2022-11-20 11:26:00,11.79,11.8,11.79,11.8,57.343
2022-11-20 11:28:00,11.78,11.8,11.78,11.8,58.375
2022-11-20 11:32:00,11.74,11.77,11.77,11.74,129.818
2022-11-20 11:33:00,11.72,11.75,11.75,11.72,41.288
2022-11-20 11:35:00,11.65,11.67,11.65,11.67,3.096
2022-11-20 11:36:00,11.68,11.7,11.68,11.7,20.688
2022-11-20 11:37:00,11.71,11.71,11.71,11.71,58.613
2022-11-20 11:38:00,11.71,11.71,11.71,11.71,38.613
2022-11-20 11:40:00,11.75,11.75,11.75,11.75,12.71
2022-11-20 11:42:00,11.75,11.75,11.75,11.75,63.182
2022-11-20 11:44:00,11.75,11.77,11.75,11.77,0.344
2022-11-20 11:45:00,11.78,11.84,11.78,11.84,52.095
2022-11-20 11:47:00,11.72,11.76,11.76,11.72,39.66
2022-11-20 11:49:00,11.66,11.73,11.73,11.66,12.118
2022-11-20 11:55:00,11.66,11.66,11.66,11.66,34.127
2022-11-20 11:58:00,11.54,11.61,11.56,11.6,105.962
2022-11-20 11:59:00,11.59,11.7,11.59,11.7,45.511
2022-11-20 12:03:00,11.72,11.72,11.72,11.72,52.967
2022-11-20 12:11:00,11.68,11.71,11.69,11.68,34.038
2022-11-20 12:20:00,11.75,11.81,11.75,11.81,62.342
2022-11-20 12:36:00,11.72,11.76,11.72,11.76,0.855
2022-11-20 12:51:00,11.76,11.87,11.76,11.87,25.782
2022-11-20 13:04:00,11.88,11.9,11.88,11.9,27.651
2022-11-20 13:05:00,11.87,11.93,11.93,11.87,7.321
2022-11-20 13:10:00,11.87,11.87,11.87,11.87,65.27
2022-11-20 13:14:00,11.89,11.92,11.89,11.92,25.592
2022-11-20 13:21:00,11.93,11.94,11.94,11.93,45.764
2022-11-20 13:23:00,11.93,11.97,11.93,11.97,151.722
2022-11-20 13:29:00,11.91,11.93,11.93,11.91,21.454
2022-11-20 13:36:00,11.87,11.9,11.87,11.9,0.459
2022-11-20 13:38:00,11.87,11.87,11.87,11.87,25.575
2022-11-20 13:42:00,11.89,11.9,11.9,11.9,261.639
2022-11-20 14:01:00,11.9,11.93,11.93,11.9,23.729
2022-11-20 14:14:00,11.88,11.88,11.88,11.88,7.374
2022-11-20 14:15:00,11.88,11.88,11.88,11.88,88.07
