time,low,high,open,close,volume
2022-11-28 18:02:00,15.29,15.34,15.34,15.29,0.905
2022-11-28 18:03:00,15.2,15.24,15.23,15.22,223.854
2022-11-28 18:05:00,15.24,15.33,15.26,15.31,142.798
2022-11-28 18:06:00,15.25,15.3,15.3,15.25,154.251
2022-11-28 18:07:00,15.17,15.28,15.27,15.17,230.684
2022-11-28 18:08:00,15.21,15.23,15.21,15.23,41.009
2022-11-28 18:10:00,15.2,15.3,15.2,15.28,142.001
2022-11-28 18:12:00,15.24,15.26,15.25,15.24,68.375
2022-11-28 18:13:00,15.22,15.26,15.26,15.22,45.599
2022-11-28 18:14:00,15.15,15.25,15.25,15.15,193.142
2022-11-28 18:15:00,15.15,15.22,15.17,15.22,206.144
2022-11-28 18:16:00,15.2,15.25,15.2,15.25,21.927
2022-11-28 18:17:00,15.21,15.31,15.26,15.31,1.233
2022-11-28 18:18:00,15.3,15.32,15.3,15.32,93.422
2022-11-28 18:19:00,15.33,15.36,15.33,15.35,434.487
2022-11-28 18:20:00,15.3,15.3,15.3,15.3,9.26
2022-11-28 18:21:00,15.29,15.32,15.29,15.31,34.151
2022-11-28 18:22:00,15.29,15.29,15.29,15.29,45.523
2022-11-28 18:23:00,15.25,15.31,15.31,15.28,86.719
2022-11-28 18:24:00,15.25,15.29,15.29,15.25,136.351
2022-11-28 18:25:00,15.25,15.27,15.25,15.27,23.377
2022-11-28 18:27:00,15.35,15.37,15.36,15.37,94.751
2022-11-28 18:28:00,15.39,15.46,15.39,15.46,408.318
2022-11-28 18:29:00,15.37,15.52,15.44,15.41,302.405
2022-11-28 18:32:00,15.4,15.44,15.4,15.44,12.342
2022-11-28 18:33:00,15.44,15.48,15.44,15.48,9.161
2022-11-28 18:35:00,15.38,15.44,15.44,15.38,74.656
2022-11-28 18:36:00,15.35,15.41,15.38,15.41,9.81
2022-11-28 18:37:00,15.4,15.44,15.4,15.44,12.661
2022-11-28 18:40:00,15.42,15.42,15.42,15.42,11.377
2022-11-28 18:42:00,15.42,15.42,15.42,15.42,145.629
2022-11-28 18:43:00,15.32,15.38,15.38,15.32,87.336
2022-11-28 18:45:00,15.3,15.41,15.37,15.41,214.215
2022-11-28 18:46:00,15.36,15.36,15.36,15.36,13.828
2022-11-28 18:47:00,15.36,15.4,15.36,15.39,47.229
2022-11-28 18:49:00,15.39,15.42,15.39,15.42,21.102
2022-11-28 18:50:00,15.41,15.46,15.42,15.46,152.187
2022-11-28 18:51:00,15.37,15.45,15.41,15.44,589.125
2022-11-28 18:52:00,15.38,15.4,15.38,15.4,60.521
2022-11-28 18:53:00,15.43,15.43,15.43,15.43,12.93
2022-11-28 18:54:00,15.48,15.49,15.48,15.48,72.486
2022-11-28 18:55:00,15.45,15.46,15.45,15.45,179.018
2022-11-28 18:56:00,15.41,15.46,15.41,15.43,137.863
2022-11-28 18:57:00,15.37,15.43,15.43,15.37,39.041
2022-11-28 18:58:00,15.37,15.37,15.37,15.37,24.444
2022-11-28 18:59:00,15.37,15.38,15.38,15.37,12.176
2022-11-28 19:01:00,15.3,15.41,15.37,15.3,155.658
2022-11-28 19:03:00,15.2,15.32,15.23,15.22,345.19
2022-11-28 19:04:00,15.23,15.25,15.25,15.23,251.744
2022-11-28 19:05:00,15.19,15.3,15.3,15.19,27.951
2022-11-28 19:08:00,15.15,15.23,15.23,15.15,181.438
2022-11-28 19:09:00,15.06,15.22,15.12,15.22,228.063
2022-11-28 19:10:00,15.15,15.24,15.15,15.23,50.359
2022-11-28 19:12:00,15.16,15.21,15.21,15.16,0.033
2022-11-28 19:13:00,15.18,15.24,15.22,15.24,167.682
2022-11-28 19:15:00,15.21,15.27,15.21,15.27,20.783
2022-11-28 19:16:00,15.23,15.29,15.29,15.23,17.592
2022-11-28 19:19:00,15.28,15.28,15.28,15.28,0.633
2022-11-28 19:21:00,15.23,15.27,15.27,15.23,124.102
2022-11-28 19:23:00,15.28,15.31,15.28,15.31,17.714
2022-11-28 19:24:00,15.31,15.33,15.31,15.33,0.092
2022-11-28 19:27:00,15.32,15.35,15.34,15.32,104.517
2022-11-28 19:28:00,15.29,15.31,15.29,15.31,5.162
2022-11-28 19:30:00,15.3,15.32,15.3,15.32,18.29
2022-11-28 19:31:00,15.35,15.36,15.35,15.36,32.165
2022-11-28 19:32:00,15.35,15.36,15.35,15.36,0.086
2022-11-28 19:33:00,15.4,15.43,15.4,15.43,0.813
2022-11-28 19:34:00,15.37,15.42,15.37,15.42,0.201
2022-11-28 19:35:00,15.38,15.43,15.43,15.39,62.658
2022-11-28 19:36:00,15.38,15.38,15.38,15.38,0.429
2022-11-28 19:37:00,15.35,15.38,15.37,15.35,76.54
2022-11-28 19:39:00,15.31,15.41,15.31,15.41,25.131
2022-11-28 19:41:00,15.33,15.38,15.38,15.38,67.641
2022-11-28 19:43:00,15.36,15.39,15.39,15.36,43.988
2022-11-28 19:44:00,15.38,15.38,15.38,15.38,10.901
2022-11-28 19:45:00,15.33,15.37,15.37,15.37,14.256
2022-11-28 19:46:00,15.36,15.37,15.37,15.37,19.777
2022-11-28 19:47:00,15.35,15.39,15.36,15.37,3.53
2022-11-28 19:49:00,15.39,15.41,15.4,15.39,3.741
2022-11-28 19:50:00,15.36,15.4,15.36,15.4,9.717
2022-11-28 19:52:00,15.38,15.39,15.38,15.39,12.421
2022-11-28 19:53:00,15.35,15.38,15.35,15.35,18.272
2022-11-28 19:55:00,15.34,15.36,15.36,15.36,139.589
2022-11-28 19:56:00,15.4,15.44,15.4,15.43,8.991
2022-11-28 19:58:00,15.39,15.39,15.39,15.39,0.007
2022-11-28 20:00:00,15.41,15.55,15.41,15.55,148.338
2022-11-28 20:01:00,15.59,15.73,15.59,15.66,197.054
2022-11-28 20:02:00,15.55,15.57,15.55,15.57,15.052
2022-11-28 20:04:00,15.49,15.57,15.56,15.49,93.997
2022-11-28 20:05:00,15.48,15.54,15.54,15.48,0.701
2022-11-28 20:06:00,15.45,15.48,15.48,15.45,74.377
2022-11-28 20:07:00,15.46,15.6,15.46,15.6,7.761
2022-11-28 20:08:00,15.52,15.6,15.6,15.52,3.947
2022-11-28 20:09:00,15.53,15.54,15.53,15.54,94.128
2022-11-28 20:11:00,15.51,15.54,15.54,15.54,75.485
2022-11-28 20:12:00,15.53,15.53,15.53,15.53,0.007
2022-11-28 20:13:00,15.49,15.54,15.54,15.49,12.449
2022-11-28 20:14:00,15.47,15.58,15.49,15.47,25.608
2022-11-28 20:17:00,15.41,15.49,15.42,15.41,10.481
2022-11-28 20:18:00,15.48,15.49,15.48,15.49,89.082
2022-11-28 20:19:00,15.43,15.51,15.47,15.48,474.266
2022-11-28 20:20:00,15.47,15.53,15.53,15.47,79.435
2022-11-28 20:21:00,15.49,15.49,15.49,15.49,2.754
2022-11-28 20:22:00,15.46,15.5,15.5,15.48,158.526
2022-11-28 20:23:00,15.46,15.5,15.49,15.5,61.491
2022-11-28 20:24:00,15.46,15.51,15.46,15.51,1.614
2022-11-28 20:26:00,15.46,15.46,15.46,15.46,0.033
2022-11-28 20:27:00,15.42,15.48,15.42,15.48,27.464
2022-11-28 20:28:00,15.44,15.48,15.44,15.48,11.738
2022-11-28 20:29:00,15.45,15.45,15.45,15.45,6.528
2022-11-28 20:31:00,15.41,15.5,15.49,15.47,183.858
2022-11-28 20:32:00,15.49,15.49,15.49,15.49,0.947
2022-11-28 20:33:00,15.4,15.43,15.43,15.4,154.396
2022-11-28 20:34:00,15.45,15.45,15.45,15.45,6.996
2022-11-28 20:36:00,15.48,15.51,15.48,15.51,1.581
2022-11-28 20:37:00,15.44,15.47,15.47,15.44,31.762
2022-11-28 20:38:00,15.45,15.48,15.45,15.48,39.655
2022-11-28 20:39:00,15.45,15.5,15.45,15.49,5.022
2022-11-28 20:41:00,15.47,15.48,15.48,15.47,2.265
2022-11-28 20:42:00,15.45,15.45,15.45,15.45,0.126
2022-11-28 20:43:00,15.4,15.41,15.41,15.4,154.6
2022-11-28 20:45:00,15.47,15.5,15.47,15.5,26.944
2022-11-28 20:47:00,15.44,15.45,15.44,15.45,0.504
2022-11-28 20:48:00,15.46,15.47,15.46,15.47,8.5
2022-11-28 20:50:00,15.46,15.51,15.51,15.46,184.912
2022-11-28 20:51:00,15.44,15.5,15.44,15.5,78.981
2022-11-28 20:54:00,15.45,15.49,15.45,15.49,3.536
2022-11-28 20:55:00,15.48,15.5,15.48,15.49,91.392
2022-11-28 20:56:00,15.45,15.46,15.45,15.46,42.335
2022-11-28 20:58:00,15.46,15.5,15.46,15.5,54.845
2022-11-28 21:00:00,15.49,15.5,15.49,15.5,61.821
2022-11-28 21:02:00,15.54,15.57,15.57,15.54,58.867
2022-11-28 21:03:00,15.52,15.59,15.58,15.52,289.719
2022-11-28 21:04:00,15.52,15.56,15.56,15.52,14.141
2022-11-28 21:06:00,15.5,15.55,15.54,15.5,29.235
2022-11-28 21:07:00,15.5,15.57,15.5,15.55,5.042
2022-11-28 21:08:00,15.58,15.61,15.61,15.58,2.24
2022-11-28 21:10:00,15.52,15.59,15.59,15.53,1.915
2022-11-28 21:11:00,15.58,15.62,15.59,15.62,53.499
2022-11-28 21:12:00,15.61,15.62,15.61,15.61,70.748
2022-11-28 21:13:00,15.53,15.59,15.59,15.53,333.842
2022-11-28 21:14:00,15.59,15.6,15.59,15.59,111.172
2022-11-28 21:16:00,15.54,15.61,15.59,15.54,145.083
2022-11-28 21:17:00,15.5,15.57,15.57,15.5,4.287
2022-11-28 21:19:00,15.47,15.49,15.48,15.49,1.632
2022-11-28 21:20:00,15.48,15.54,15.48,15.54,4.323
2022-11-28 21:23:00,15.5,15.55,15.5,15.55,90.491
2022-11-28 21:24:00,15.53,15.54,15.54,15.53,0.199
2022-11-28 21:26:00,15.53,15.57,15.57,15.56,37.951
2022-11-28 21:28:00,15.55,15.57,15.57,15.55,49.346
2022-11-28 21:29:00,15.49,15.56,15.55,15.49,65.345
2022-11-28 21:31:00,15.56,15.64,15.58,15.59,69.392
2022-11-28 21:32:00,15.58,15.59,15.58,15.58,115.467
2022-11-28 21:34:00,15.5,15.52,15.52,15.51,98.54
2022-11-28 21:35:00,15.55,15.58,15.56,15.55,15.579
2022-11-28 21:36:00,15.47,15.52,15.52,15.47,6.901
2022-11-28 21:38:00,15.48,15.48,15.48,15.48,0.896
2022-11-28 21:39:00,15.44,15.49,15.48,15.44,106.943
2022-11-28 21:40:00,15.47,15.47,15.47,15.47,6.185
2022-11-28 21:41:00,15.3,15.47,15.47,15.3,45.782
2022-11-28 21:42:00,15.28,15.34,15.29,15.28,34.741
2022-11-28 21:43:00,15.22,15.3,15.3,15.22,63.135
2022-11-28 21:44:00,15.25,15.25,15.25,15.25,0.682
2022-11-28 21:46:00,15.14,15.26,15.23,15.26,865.814
2022-11-28 21:47:00,15.24,15.26,15.26,15.25,113.046
2022-11-28 21:49:00,15.25,15.33,15.26,15.27,98.237
2022-11-28 21:51:00,15.19,15.31,15.31,15.19,25.768
2022-11-28 21:53:00,15.16,15.19,15.16,15.19,2.52
2022-11-28 21:54:00,15.13,15.14,15.14,15.13,249.521
2022-11-28 21:55:00,15.22,15.27,15.23,15.22,35.881
2022-11-28 21:57:00,15.21,15.25,15.25,15.24,0.652
2022-11-28 21:58:00,15.2,15.23,15.23,15.2,30.862
2022-11-28 21:59:00,15.19,15.24,15.19,15.24,62.133
2022-11-28 22:00:00,15.24,15.28,15.24,15.28,73.838
2022-11-28 22:01:00,15.3,15.33,15.3,15.33,9.269
2022-11-28 22:02:00,15.27,15.33,15.33,15.27,43.099
2022-11-28 22:03:00,15.25,15.29,15.26,15.25,91.56
2022-11-28 22:06:00,15.29,15.3,15.3,15.29,3.955
2022-11-28 22:07:00,15.32,15.32,15.32,15.32,2.736
2022-11-28 22:08:00,15.32,15.34,15.34,15.32,1.15
2022-11-28 22:11:00,15.29,15.34,15.33,15.29,12.157
