time,low,high,open,close,volume
2022-12-28 17:52:00,8.95,8.97,8.96,8.97,265.123
2022-12-28 17:58:00,8.97,8.99,8.97,8.99,38.861
2022-12-28 18:08:00,8.99,9.02,8.99,9.02,11.748
2022-12-28 18:14:00,9.03,9.03,9.03,9.03,15.095
2022-12-28 18:17:00,9.02,9.03,9.02,9.03,29.441
2022-12-28 18:32:00,9.02,9.02,9.02,9.02,14.807
2022-12-28 18:35:00,9.0,9.0,9.0,9.0,0.989
2022-12-28 19:05:00,9.0,9.0,9.0,9.0,4.66
2022-12-28 19:32:00,8.94,8.96,8.96,8.94,0.848
2022-12-28 20:03:00,8.91,8.91,8.91,8.91,0.831
2022-12-28 20:04:00,8.9,8.9,8.9,8.9,0.053
2022-12-28 20:05:00,8.9,8.9,8.9,8.9,0.16
2022-12-28 20:06:00,8.9,8.9,8.9,8.9,0.166
2022-12-28 20:07:00,8.91,8.91,8.91,8.91,0.76
2022-12-28 20:09:00,8.92,8.93,8.92,8.93,6.294
2022-12-28 20:27:00,8.93,8.93,8.93,8.93,1.175
2022-12-28 20:34:00,8.93,8.93,8.93,8.93,5.261
2022-12-28 20:37:00,8.92,8.93,8.92,8.92,57.663
2022-12-28 21:00:00,8.92,8.92,8.92,8.92,8.036
2022-12-28 21:09:00,8.91,8.92,8.91,8.92,15.27
2022-12-28 21:10:00,8.94,8.94,8.94,8.94,8.288
2022-12-28 21:12:00,8.95,8.96,8.96,8.95,21.785
2022-12-28 21:25:00,8.85,8.85,8.85,8.85,10.041
2022-12-28 21:27:00,8.8,8.82,8.82,8.8,14.094
2022-12-28 21:36:00,8.83,8.83,8.83,8.83,0.768
2022-12-28 21:39:00,8.84,8.84,8.84,8.84,1.12
2022-12-28 21:41:00,8.8,8.82,8.82,8.8,4.726
2022-12-28 22:30:00,8.8,8.81,8.8,8.81,1.019
2022-12-28 22:44:00,8.8,8.81,8.81,8.8,1.393
2022-12-28 22:50:00,8.79,8.8,8.8,8.79,9.565
2022-12-28 23:21:00,8.82,8.84,8.82,8.84,0.938
2022-12-28 23:51:00,8.84,8.85,8.85,8.84,8.964
2022-12-28 23:57:00,8.84,8.85,8.84,8.85,11.158
2022-12-29 00:01:00,8.86,8.86,8.86,8.86,7.752
2022-12-29 00:05:00,8.87,8.87,8.87,8.87,10.815
2022-12-29 00:11:00,8.88,8.9,8.88,8.89,18.793
2022-12-29 00:20:00,8.86,8.87,8.87,8.86,5.282
2022-12-29 00:32:00,8.86,8.86,8.86,8.86,9.005
2022-12-29 00:36:00,8.87,8.88,8.87,8.88,6.644
2022-12-29 00:41:00,8.88,8.88,8.88,8.88,1.481
2022-12-29 00:45:00,8.89,8.9,8.9,8.89,2.259
2022-12-29 01:10:00,8.88,8.92,8.92,8.88,6.353
2022-12-29 01:38:00,8.9,8.9,8.9,8.9,4.813
2022-12-29 01:58:00,8.89,8.9,8.9,8.89,5.229
2022-12-29 02:10:00,8.86,8.87,8.86,8.87,21.501
2022-12-29 02:22:00,8.87,8.87,8.87,8.87,14.256
2022-12-29 02:33:00,8.89,8.92,8.89,8.92,2.016
2022-12-29 02:40:00,8.93,8.96,8.93,8.96,0.918
2022-12-29 02:50:00,8.96,8.97,8.97,8.96,21.414
2022-12-29 03:09:00,8.97,8.99,8.97,8.99,0.137
2022-12-29 03:55:00,8.98,8.99,8.98,8.99,4.996
2022-12-29 04:10:00,8.96,8.96,8.96,8.96,5.541
2022-12-29 04:11:00,8.94,8.95,8.95,8.94,1.115
2022-12-29 04:41:00,8.94,8.94,8.94,8.94,12.69
2022-12-29 04:51:00,8.96,8.98,8.96,8.98,8.702
2022-12-29 05:10:00,8.96,8.96,8.96,8.96,4.548
2022-12-29 05:17:00,8.93,8.94,8.94,8.93,54.591
2022-12-29 05:27:00,8.92,8.93,8.93,8.92,42.0
2022-12-29 05:35:00,8.92,8.92,8.92,8.92,29.0
2022-12-29 05:47:00,8.92,8.95,8.92,8.95,42.804
2022-12-29 06:18:00,8.93,8.93,8.93,8.93,12.212
2022-12-29 06:19:00,8.92,8.93,8.93,8.92,85.829
2022-12-29 06:38:00,8.88,8.91,8.91,8.88,68.589
2022-12-29 07:24:00,8.85,8.86,8.85,8.85,54.164
2022-12-29 07:36:00,8.87,8.87,8.87,8.87,4.504
2022-12-29 07:40:00,8.88,8.89,8.88,8.89,1.337
2022-12-29 07:50:00,8.86,8.88,8.86,8.86,91.349
2022-12-29 07:58:00,8.86,8.86,8.86,8.86,30.643
2022-12-29 08:01:00,8.86,8.86,8.86,8.86,74.352
2022-12-29 08:02:00,8.87,8.88,8.87,8.88,32.318
2022-12-29 08:03:00,8.92,8.93,8.92,8.92,19.796
2022-12-29 08:05:00,8.91,8.91,8.91,8.91,18.955
2022-12-29 08:06:00,8.91,8.92,8.91,8.92,72.896
2022-12-29 08:12:00,8.93,8.95,8.93,8.94,44.436
2022-12-29 08:15:00,8.93,8.93,8.93,8.93,23.893
2022-12-29 08:22:00,8.93,8.94,8.94,8.93,1.351
2022-12-29 08:32:00,8.95,8.95,8.95,8.95,0.892
2022-12-29 08:33:00,8.95,8.96,8.96,8.95,1.007
2022-12-29 08:34:00,8.94,8.94,8.94,8.94,27.799
2022-12-29 08:36:00,8.93,8.95,8.95,8.93,2.131
2022-12-29 08:43:00,8.93,8.93,8.93,8.93,7.187
2022-12-29 08:49:00,8.95,8.95,8.95,8.95,19.893
