,Crypto,Profit,Volatility,Volume,Volume Percent Deviation,,,,,,,,
115,WBTC-USD,-0.048435909,0.029307595,0.042616641,5.01109302,,,,WBTC-USD,-0.048435909,0.029307595,0.042616641,5.01109302
120,YFI-USD,1.337328136,0.069902066,0.364423919,2.582770782,,,,YFI-USD,1.337328136,0.069902066,0.364423919,2.582770782
78,MONA-USD,-1.809020968,0.050625943,1.730977181,1.885961495,,,,MONA-USD,-1.809020968,0.050625943,1.730977181,1.885961495
28,CBETH-USD,0.376960246,0.046270653,2.705762715,3.436501374,,,,CBETH-USD,0.376960246,0.046270653,2.705762715,3.436501374
39,EGLD-USD,0.061826073,0.059994797,12.0502472,2.989343348,,,,EGLD-USD,0.061826073,0.059994797,12.0502472,2.989343348
61,ILV-USD,0.49779585,0.079139024,13.20806189,1.997172295,,,,ILV-USD,0.49779585,0.079139024,13.20806189,1.997172295
65,INV-USD,-2.052069596,0.069117638,15.94800967,2.204080512,,,,INV-USD,-2.052069596,0.069117638,15.94800967,2.204080512
20,BCH-USD,0.703372336,0.036106691,16.6724383,2.390832574,,,,BCH-USD,0.703372336,0.036106691,16.6724383,2.390832574
77,METIS-USD,-0.008312997,0.045472594,22.98542335,2.388488543,,,,METIS-USD,-0.008312997,0.045472594,22.98542335,2.388488543
4,ALCX-USD,-0.484270586,0.055469204,24.99783231,2.331125277,,,,ALCX-USD,-0.484270586,0.055469204,24.99783231,2.331125277
30,COMP-USD,0.975757883,0.038643413,25.59206327,3.153955098,,,,COMP-USD,0.975757883,0.038643413,25.59206327,3.153955098
80,MSOL-USD,-1.004645746,0.064733322,26.73257657,1.654933017,,,,MSOL-USD,-1.004645746,0.064733322,26.73257657,1.654933017
121,ZEN-USD,0.443335985,0.070550516,32.35222601,2.375988977,,,,ZEN-USD,0.443335985,0.070550516,32.35222601,2.375988977
101,RPL-USD,-0.060458319,0.104252228,39.40148366,1.891319061,,,,RPL-USD,-0.060458319,0.104252228,39.40148366,1.891319061
44,FARM-USD,1.579532192,0.084232222,40.69118066,2.144745603,,,,FARM-USD,1.579532192,0.084232222,40.69118066,2.144745603
76,MEDIA-USD,-7.433776785,0.181622319,51.8485956,1.922294049,,,,MEDIA-USD,-7.433776785,0.181622319,51.8485956,1.922294049
12,AUCTION-USD,0.169329861,0.061357921,59.71433461,2.867447071,,,,AUCTION-USD,0.169329861,0.061357921,59.71433461,2.867447071
87,PLU-USD,-0.914066212,0.027863182,61.60134021,2.687264295,,,,PLU-USD,-0.914066212,0.027863182,61.60134021,2.687264295
95,RAI-USD,-0.144822507,0.005676471,67.63478182,7.799479495,,,,RAI-USD,-0.144822507,0.005676471,67.63478182,7.799479495
42,ETC-USD,0.482669421,0.060834916,98.67842652,3.211136428,,,,ETC-USD,0.482669421,0.060834916,98.67842652,3.211136428
112,TRB-USD,1.015070176,0.092956197,101.6159014,2.402609437,,,,TRB-USD,1.015070176,0.092956197,101.6159014,2.402609437
98,REP-USD,-0.523073825,0.079849153,115.845611,2.723186587,,,,REP-USD,-0.523073825,0.079849153,115.845611,2.723186587
